source_database,source_table,source_column,target_table,target_column,mapping_type,difficulty,notes
PLM,product_model,model_code,upper_equipment,equipment_code,Direct Copy,hard,型号编码作为上级装备编号
PLM,product_model,model_name,upper_equipment,equipment_name,Direct Copy,hard,
PLM,product_model,model_series,upper_equipment,equipment_type,Lookup Normalize,medium,
PLM,product_model,model_code,upper_equipment,product_code,Direct Copy,simple,
PLM,product_model,model_name,upper_equipment,product_name,Direct Copy,simple,
PLM,product_model,cert_level_cd,upper_equipment,secret_level,Lookup Normalize,hard,
PLM,gear_system_def,product_model_id,landing_gear_system,upper_equipment_id,Joined Copy,medium,
PLM,gear_system_def,sys_code,landing_gear_system,system_code,Direct Copy,simple,
PLM,gear_system_def,sys_name,landing_gear_system,system_name,Direct Copy,simple,
PLM,gear_system_def,install_zone,landing_gear_system,system_position,Lookup Normalize,hard,
PLM,gear_system_def,tech_status_cd,landing_gear_system,technical_status,Lookup Normalize,medium,
PLM,product_model,product_line,installed_position,upper_equipment_id,Joined Copy,hard,
PLM,gear_system_def,gear_system_def_id,installed_position,landing_gear_system_id,Joined Copy,medium,
PLM,gear_system_def,install_zone,installed_position,position_code,Direct Copy,hard,
PLM,gear_system_def,sys_name,installed_position,position_name,Direct Copy,medium,
PLM,gear_system_def,side_mark,installed_position,side_code,Lookup Normalize,medium,
PLM,actuator_model,actuator_code,component_type,component_code,Direct Copy,simple,
PLM,actuator_model,actuator_name,component_type,component_name,Direct Copy,simple,
PLM,actuator_model,actuator_spec,component_type,component_spec,Direct Copy,medium,
PLM,product_model,model_code,component_type,product_code,Joined Copy,medium,
PLM,product_model,model_name,component_type,product_name,Joined Copy,medium,
PLM,actuator_model,dwg_no,component_type,drawing_code,Direct Copy,simple,
PLM,actuator_model,tech_status_text,component_type,technical_status,Lookup Normalize,hard,
PLM,design_revision,rev_no,design_version,version_code,Direct Copy,simple,
PLM,design_revision,rev_name,design_version,version_name,Direct Copy,medium,
PLM,design_revision,dwg_no,design_version,drawing_code,Direct Copy,simple,
PLM,design_revision,doc_rev,design_version,doc_version,Direct Copy,simple,
PLM,design_revision,eff_date_txt,design_version,effective_date,Rename + Cast,simple,
PLM,design_revision,expire_date_txt,design_version,expire_date,Rename + Cast,simple,
PLM,design_revision,issue_status_cd,design_version,release_status,Lookup Normalize,medium,
PLM,part_master,material_no,material,material_code,Direct Copy,medium,
PLM,part_master,part_cn_name,material,material_name,Direct Copy,medium,
PLM,part_master,part_cat_cd,material,material_type,Lookup Normalize,hard,
PLM,part_master,mat_grade,material,trademark,Direct Copy,hard,
PLM,part_master,spec_text,material,material_spec,Direct Copy,medium,
PLM,part_master,uom,material,unit,Lookup Normalize,simple,
PLM,part_master,make_buy_cd,material,purchased_flag,Rename + Cast,medium,
PLM,part_master,material_no,part_definition,material_id,Joined Copy,hard,
PLM,part_master,design_revision_id,part_definition,design_version_id,Joined Copy,medium,
PLM,part_master,part_no,part_definition,part_no,Direct Copy,simple,
PLM,part_master,part_cn_name,part_definition,part_name,Direct Copy,simple,
PLM,part_master,part_cat_cd,part_definition,part_type,Lookup Normalize,hard,
PLM,part_master,dwg_no,part_definition,drawing_code,Direct Copy,simple,
PLM,part_master,make_buy_cd,part_definition,source_type,Lookup Normalize,medium,
PLM,part_master,key_level_cd,part_definition,critical_level,Lookup Normalize,hard,
PLM,bom_header,actuator_model_id,bom_item,component_type_id,Joined Copy,medium,
PLM,bom_line,parent_part_master_id,bom_item,parent_bom_item_id,Joined Copy,hard,
