source_database,source_table,source_column,target_table,target_column,mapping_type,difficulty,notes
MES,process_param,worklog_id,process_parameter_record,operation_execution_id,Joined Copy,hard,
MES,process_param,steplog_id,process_parameter_record,step_execution_id,Joined Copy,hard,
MES,process_param,param_std_code,process_parameter_record,parameter_standard_id,Joined Copy,hard,
MES,process_param,equipment_asset_id,process_parameter_record,equipment_id,Joined Copy,hard,
MES,process_param,paramid,process_parameter_record,parameter_code,Direct Copy,simple,
MES,process_param,paramname,process_parameter_record,parameter_name,Direct Copy,simple,
MES,process_param,lqyl,process_parameter_record,measured_value,Rename + Cast,hard,
MES,process_param,bzval,process_parameter_record,standard_value,Rename + Cast,hard,
MES,process_param,llower,process_parameter_record,lower_limit,Rename + Cast,medium,
MES,process_param,uupper,process_parameter_record,upper_limit,Rename + Cast,medium,
MES,process_param,unitname,process_parameter_record,parameter_unit,Direct Copy,simple,
MES,process_param,collect_dt,process_parameter_record,collect_time,Rename + Cast,medium,
MES,process_param,pdjg,process_parameter_record,judge_result,Lookup Normalize,medium,
