source_database,source_table,source_column,target_table,target_column,mapping_type,difficulty,notes
MES,sys_task,workid,work_order,order_no,Direct Copy,simple,
MES,sys_task,taskcode,work_order,task_code,Direct Copy,medium,
MES,sys_task,worktype,work_order,work_order_type,Lookup Normalize,medium,
MES,sys_task,workname,work_order,order_name,Direct Copy,simple,
MES,sys_task,planqty,work_order,amount,Rename + Cast,simple,
MES,sys_task,yxj,work_order,priority_level,Rename + Cast,simple,
MES,sys_task,urgent_tab,work_order,urgent_flag,Rename + Cast,simple,
MES,sys_task,plandate,work_order,plan_start_time,Rename + Cast,medium,
MES,sys_task,delivery_date_char,work_order,plan_finish_time,Rename + Cast,medium,
MES,sys_task,reportman,work_order,report_person_name,Direct Copy,medium,
MES,sys_task,reportdate,work_order,report_time,Rename + Cast,medium,
MES,sys_task,rwstate,work_order,order_status,Lookup Normalize,medium,
MES,sys_task,partno,work_order,part_definition_id,Joined Copy,hard,
MES,sys_task,zzh,work_order,component_instance_id,Joined Copy,hard,
MES,sys_task,route_no,work_order,process_route_id,Joined Copy,medium,
MES,sys_task,zzh,component_instance,component_serial_no,Direct Copy,hard,
MES,sys_task,partno,component_instance,component_type_id,Joined Copy,hard,
MES,sys_task,workid,component_instance,assembly_order_no,Direct Copy,medium,
MES,sys_task,delivery_date_char,component_instance,delivery_date,Rename + Cast,medium,
MES,sys_task,rwstate,component_instance,component_status,Lookup Normalize,hard,
