source_database,source_table,source_column,target_table,target_column,mapping_type,difficulty,notes
PLM,part_master,material_no,material,material_code,Direct Copy,medium,
PLM,part_master,part_cn_name,material,material_name,Direct Copy,medium,
PLM,part_master,part_cat_cd,material,material_type,Lookup Normalize,hard,
PLM,part_master,mat_grade,material,trademark,Direct Copy,hard,
PLM,part_master,spec_text,material,material_spec,Direct Copy,medium,
PLM,part_master,uom,material,unit,Lookup Normalize,simple,
PLM,part_master,make_buy_cd,material,purchased_flag,Rename + Cast,medium,
PLM,part_master,material_no,part_definition,material_id,Joined Copy,hard,
PLM,part_master,design_revision_id,part_definition,design_version_id,Joined Copy,medium,
PLM,part_master,part_no,part_definition,part_no,Direct Copy,simple,
PLM,part_master,part_cn_name,part_definition,part_name,Direct Copy,simple,
PLM,part_master,part_cat_cd,part_definition,part_type,Lookup Normalize,hard,
PLM,part_master,dwg_no,part_definition,drawing_code,Direct Copy,simple,
PLM,part_master,make_buy_cd,part_definition,source_type,Lookup Normalize,medium,
PLM,part_master,key_level_cd,part_definition,critical_level,Lookup Normalize,hard,
PLM,part_master,part_no,bom_item,part_no,Joined Copy,medium,
