source_database,source_table,source_column,target_table,target_column,mapping_type,difficulty,notes
QMS,disposal_order,quality_event_doc_id,disposition_record,quality_event_id,Joined Copy,medium,
QMS,disposal_order,iqs_failure_id,disposition_record,iqs_failure_id,Joined Copy,medium,
QMS,disposal_order,iqs_failure_content_id,disposition_record,iqs_failure_content_id,Joined Copy,medium,
QMS,disposal_order,work_order_no,disposition_record,work_order_id,Joined Copy,medium,
QMS,disposal_order,responsible_user_code,disposition_record,responsible_personnel_id,Joined Copy,hard,
QMS,disposal_order,disposal_no,disposition_record,disposition_no,Direct Copy,medium,
QMS,disposal_order,deal_type_find_code,disposition_record,deal_type_find,Lookup Normalize,hard,
QMS,disposal_order,deal_type_pass_code,disposition_record,deal_type_pass,Lookup Normalize,hard,
QMS,disposal_order,deal_type_tech_code,disposition_record,deal_type_tech,Lookup Normalize,hard,
QMS,disposal_order,disposal_type_code,disposition_record,disposition_type,Lookup Normalize,hard,
QMS,disposal_order,disposal_desc,disposition_record,disposition_desc,Direct Copy,hard,
QMS,disposal_order,disposal_date_text,disposition_record,disposition_date,Rename + Cast,medium,
QMS,disposal_order,disposal_status_code,disposition_record,disposition_status,Lookup Normalize,medium,
