source_database,source_table,source_column,target_table,target_column,mapping_type,difficulty,notes
QMS,iqs_failure,quality_event_doc_id,iqs_failure,quality_event_id,Joined Copy,medium,
QMS,iqs_failure,inspection_doc_id,iqs_failure,inspection_record_id,Joined Copy,medium,
QMS,iqs_failure,defect_log_id,iqs_failure,defect_record_id,Joined Copy,hard,
QMS,iqs_failure,component_serial_no,iqs_failure,component_instance_id,Joined Copy,hard,
QMS,iqs_failure,part_serial_no,iqs_failure,part_instance_id,Joined Copy,hard,
QMS,iqs_failure,work_order_no,iqs_failure,work_order_id,Joined Copy,medium,
QMS,iqs_failure,op_no,iqs_failure,operation_execution_id,Joined Copy,hard,
QMS,iqs_failure,supplier_code,iqs_failure,supplier_id,Joined Copy,medium,
QMS,iqs_failure,maintenance_event_no,iqs_failure,maintenance_event_id,Joined Copy,hard,
QMS,iqs_failure,doc_source,iqs_failure,doc_source,Lookup Normalize,simple,
QMS,iqs_failure,failure_type,iqs_failure,failure_type,Lookup Normalize,hard,
QMS,iqs_failure,quality_code,iqs_failure,quality_code,Direct Copy,simple,
QMS,iqs_failure,iqs_failure_order,iqs_failure,iqs_failure_order,Direct Copy,simple,
QMS,iqs_failure,task_code,iqs_failure,task_code,Direct Copy,simple,
QMS,iqs_failure,product_code,iqs_failure,product_code,Direct Copy,simple,
QMS,iqs_failure,product_name,iqs_failure,product_name,Direct Copy,simple,
QMS,iqs_failure,piece_no,iqs_failure,piece_no,Direct Copy,simple,
QMS,iqs_failure,op_no,iqs_failure,op_no,Direct Copy,simple,
QMS,iqs_failure,find_dept_code,iqs_failure,find_dept_code,Direct Copy,simple,
QMS,iqs_failure,find_dept_name,iqs_failure,find_dept_name,Direct Copy,simple,
QMS,iqs_failure,doc_status_code,iqs_failure,doc_status,Lookup Normalize,medium,
QMS,iqs_failure,secret_level_code,iqs_failure,secret_level,Lookup Normalize,medium,
QMS,iqs_failure,starttime_text,iqs_failure,start_time,Rename + Cast,medium,
QMS,iqs_failure,finishtime_text,iqs_failure,finish_time,Rename + Cast,medium,
