source_database,source_table,source_column,target_table,target_column,mapping_type,difficulty,notes
QMS,iqs_failure_content,iqs_failure_id,iqs_failure_content,iqs_failure_id,Joined Copy,medium,
QMS,iqs_failure_content,start_piece_no_text,iqs_failure_content,start_piece_no,Rename + Cast,medium,
QMS,iqs_failure_content,end_piece_no_text,iqs_failure_content,end_piece_no,Rename + Cast,medium,
QMS,iqs_failure_content,failure_desc,iqs_failure_content,failure_desc,Direct Copy,medium,
QMS,iqs_failure_content,failure_place_brief,iqs_failure_content,failure_place_brief,Direct Copy,hard,
QMS,iqs_failure_content,find_type_code,iqs_failure_content,find_type,Lookup Normalize,medium,
QMS,iqs_failure_content,find_date_text,iqs_failure_content,find_date,Rename + Cast,simple,
QMS,iqs_failure_content,finder_type_code,iqs_failure_content,finder_type,Lookup Normalize,medium,
QMS,iqs_failure_content,find_user_code,iqs_failure_content,find_user_code,Direct Copy,simple,
QMS,iqs_failure_content,find_user_name,iqs_failure_content,find_user_name,Direct Copy,simple,
QMS,iqs_failure_content,duty_worksec_code,iqs_failure_content,duty_worksec_code,Direct Copy,hard,
QMS,iqs_failure_content,duty_worksec_name,iqs_failure_content,duty_worksec_name,Direct Copy,hard,
QMS,iqs_failure_content,duty_dept_code,iqs_failure_content,duty_dept_code,Direct Copy,simple,
QMS,iqs_failure_content,duty_dept_name,iqs_failure_content,duty_dept_name,Direct Copy,simple,
QMS,iqs_failure_content,actual_method,iqs_failure_content,actual_method,Direct Copy,hard,
QMS,iqs_failure_content,doc_no,iqs_failure_content,doc_no,Direct Copy,simple,
