source_database,source_table,source_column,target_table,target_column,mapping_type,difficulty,notes
QMS,quality_event_doc,quality_event_no,quality_event,event_no,Direct Copy,simple,
QMS,quality_event_doc,event_source_code,quality_event,event_source,Lookup Normalize,medium,
QMS,quality_event_doc,event_type_code,quality_event,event_type,Lookup Normalize,simple,
QMS,quality_event_doc,event_title,quality_event,event_title,Direct Copy,simple,
QMS,quality_event_doc,event_desc,quality_event,event_desc,Direct Copy,medium,
QMS,quality_event_doc,event_time_text,quality_event,event_time,Rename + Cast,simple,
QMS,quality_event_doc,severity_code,quality_event,severity_level,Lookup Normalize,medium,
QMS,quality_event_doc,event_status_code,quality_event,event_status,Lookup Normalize,simple,
QMS,quality_event_doc,trigger_source_no,quality_event,trigger_source_no,Direct Copy,medium,
QMS,quality_event_doc,quality_event_doc_id,quality_event_subject,quality_event_id,Joined Copy,medium,
QMS,quality_event_doc,component_serial_no,quality_event_subject,component_instance_id,Joined Copy,hard,
QMS,quality_event_doc,part_serial_no,quality_event_subject,part_instance_id,Joined Copy,hard,
QMS,quality_event_doc,work_order_no,quality_event_subject,work_order_id,Joined Copy,medium,
QMS,quality_event_doc,trigger_source_no,quality_event_subject,process_parameter_record_id,Joined Copy,hard,
QMS,quality_event_doc,subject_type_code,quality_event_subject,subject_type,Lookup Normalize,medium,
QMS,quality_event_doc,subject_role_code,quality_event_subject,subject_role,Lookup Normalize,medium,
QMS,quality_event_doc,impact_desc,quality_event_subject,impact_desc,Direct Copy,medium,
