issue_id,inv_lot_id,mo_no,issue_no,issue_time_txt,issue_qty_txt,picker_name,use_for,issue_stat_cd
1,1,WO-LG-2026-0001,ISSUENO-0001,2026/05/09 08:07:00,20.850 MPa,Piston Rod Assembly 001,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
2,2,WO-LG-2026-0002,ISSUENO-0002,2026/05/10 08:14:00,0.080 mL/min,Cylinder Barrel Assembly 002,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
3,3,WO-LG-2026-0003,ISSUENO-0003,2026/05/11 08:21:00,155.150 mm,Front End Cap 003,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
4,4,WO-LG-2026-0004,ISSUENO-0004,2026/05/12 08:28:00,5.100 s,Rear End Cap 004,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
5,5,WO-LG-2026-0005,ISSUENO-0005,2026/05/13 08:35:00,37.7 C,Seal Ring Assembly 005,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
6,6,WO-LG-2026-0006,ISSUENO-0006,2026/05/14 08:42:00,0.150 mm,Trunnion Bushing 006,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
7,7,WO-LG-2026-0007,ISSUENO-0007,2026/05/15 08:49:00,23.400 MPa,Spherical Bearing 007,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
8,8,WO-LG-2026-0008,ISSUENO-0008,2026/05/16 08:56:00,0.220 mL/min,Throttle Connector 008,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
9,9,WO-LG-2026-0009,ISSUENO-0009,2026/05/17 09:03:00,155.300 mm,Displacement Sensor Bracket 009,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
10,10,WO-LG-2026-0010,ISSUENO-0010,2026/05/18 09:10:00,4.500 s,Locking Nut 010,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
11,11,WO-LG-2026-0011,ISSUENO-0011,2026/05/19 09:17:00,37.9 C,Piston Rod Assembly 011,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
12,12,WO-LG-2026-0012,ISSUENO-0012,2026/05/20 09:24:00,0.180 mm,Cylinder Barrel Assembly 012,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
13,13,WO-LG-2026-0013,ISSUENO-0013,2026/05/21 09:31:00,23.400 MPa,Front End Cap 013,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
14,14,WO-LG-2026-0014,ISSUENO-0014,2026/05/22 09:38:00,0.140 mL/min,Rear End Cap 014,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
15,15,WO-LG-2026-0015,ISSUENO-0015,2026/05/23 09:45:00,154.700 mm,Seal Ring Assembly 015,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
16,16,WO-LG-2026-0016,ISSUENO-0016,2026/05/24 09:52:00,4.650 s,Trunnion Bushing 016,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
17,17,WO-LG-2026-0017,ISSUENO-0017,2026/05/25 09:59:00,38.0 C,Spherical Bearing 017,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
18,18,WO-LG-2026-0018,ISSUENO-0018,2026/05/26 10:06:00,0.210 mm,Throttle Connector 018,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
19,19,WO-LG-2026-0019,ISSUENO-0019,2026/05/27 10:13:00,21.300 MPa,Displacement Sensor Bracket 019,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
20,20,WO-LG-2026-0020,ISSUENO-0020,2026/05/28 10:20:00,0.020 mL/min,Locking Nut 020,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
21,21,WO-LG-2026-0021,ISSUENO-0021,2026/05/29 10:27:00,154.850 mm,Piston Rod Assembly 021,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
22,22,WO-LG-2026-0022,ISSUENO-0022,2026/05/30 10:34:00,4.800 s,Cylinder Barrel Assembly 022,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
23,23,WO-LG-2026-0023,ISSUENO-0023,2026/05/31 10:41:00,38.1 C,Front End Cap 023,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
24,24,WO-LG-2026-0024,ISSUENO-0024,2026/06/01 10:48:00,0.240 mm,Rear End Cap 024,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
25,25,WO-LG-2026-0025,ISSUENO-0025,2026/06/02 10:55:00,20.700 MPa,Seal Ring Assembly 025,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
26,26,WO-LG-2026-0026,ISSUENO-0026,2026/06/03 11:02:00,0.220 mL/min,Trunnion Bushing 026,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
27,27,WO-LG-2026-0027,ISSUENO-0027,2026/06/04 11:09:00,155.000 mm,Spherical Bearing 027,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
28,28,WO-LG-2026-0028,ISSUENO-0028,2026/06/05 11:16:00,4.950 s,Throttle Connector 028,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
29,29,WO-LG-2026-0029,ISSUENO-0029,2026/05/09 11:23:00,38.3 C,Displacement Sensor Bracket 029,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
30,30,WO-LG-2026-0030,ISSUENO-0030,2026/05/10 11:30:00,0.120 mm,Locking Nut 030,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
31,31,WO-LG-2026-0031,ISSUENO-0031,2026/05/11 11:37:00,20.850 MPa,Piston Rod Assembly 031,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
32,32,WO-LG-2026-0032,ISSUENO-0032,2026/05/12 11:44:00,0.080 mL/min,Cylinder Barrel Assembly 032,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
33,33,WO-LG-2026-0033,ISSUENO-0033,2026/05/13 11:51:00,155.150 mm,Front End Cap 033,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
34,34,WO-LG-2026-0034,ISSUENO-0034,2026/05/14 11:58:00,5.100 s,Rear End Cap 034,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
35,35,WO-LG-2026-0035,ISSUENO-0035,2026/05/15 12:05:00,37.7 C,Seal Ring Assembly 035,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
36,36,WO-LG-2026-0036,ISSUENO-0036,2026/05/16 12:12:00,0.150 mm,Trunnion Bushing 036,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
37,37,WO-LG-2026-0037,ISSUENO-0037,2026/05/17 12:19:00,21.000 MPa,Spherical Bearing 037,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
38,38,WO-LG-2026-0038,ISSUENO-0038,2026/05/18 12:26:00,0.110 mL/min,Throttle Connector 038,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
39,39,WO-LG-2026-0039,ISSUENO-0039,2026/05/19 12:33:00,158.400 mm,Displacement Sensor Bracket 039,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
40,40,WO-LG-2026-0040,ISSUENO-0040,2026/05/20 12:40:00,4.500 s,Locking Nut 040,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
41,41,WO-LG-2026-0041,ISSUENO-0041,2026/05/21 12:47:00,37.9 C,Piston Rod Assembly 041,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
42,42,WO-LG-2026-0042,ISSUENO-0042,2026/05/22 12:54:00,0.180 mm,Cylinder Barrel Assembly 042,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
43,43,WO-LG-2026-0043,ISSUENO-0043,2026/05/23 13:01:00,21.150 MPa,Front End Cap 043,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
44,44,WO-LG-2026-0044,ISSUENO-0044,2026/05/24 13:08:00,0.140 mL/min,Rear End Cap 044,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
45,45,WO-LG-2026-0045,ISSUENO-0045,2026/05/25 13:15:00,154.700 mm,Seal Ring Assembly 045,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
46,46,WO-LG-2026-0046,ISSUENO-0046,2026/05/26 13:22:00,4.650 s,Trunnion Bushing 046,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
47,47,WO-LG-2026-0047,ISSUENO-0047,2026/05/27 13:29:00,38.0 C,Spherical Bearing 047,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
48,48,WO-LG-2026-0048,ISSUENO-0048,2026/05/28 13:36:00,0.210 mm,Throttle Connector 048,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
49,49,WO-LG-2026-0049,ISSUENO-0049,2026/05/29 13:43:00,21.300 MPa,Displacement Sensor Bracket 049,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
50,50,WO-LG-2026-0050,ISSUENO-0050,2026/05/30 13:50:00,0.020 mL/min,Locking Nut 050,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
51,51,WO-LG-2026-0051,ISSUENO-0051,2026/05/31 13:57:00,154.850 mm,Piston Rod Assembly 051,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
52,52,WO-LG-2026-0052,ISSUENO-0052,2026/06/01 14:04:00,6.200 s,Cylinder Barrel Assembly 052,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
53,53,WO-LG-2026-0053,ISSUENO-0053,2026/06/02 14:11:00,38.1 C,Front End Cap 053,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
54,54,WO-LG-2026-0054,ISSUENO-0054,2026/06/03 14:18:00,0.240 mm,Rear End Cap 054,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
55,55,WO-LG-2026-0055,ISSUENO-0055,2026/06/04 14:25:00,20.700 MPa,Seal Ring Assembly 055,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
56,56,WO-LG-2026-0056,ISSUENO-0056,2026/06/05 14:32:00,0.050 mL/min,Trunnion Bushing 056,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
57,57,WO-LG-2026-0057,ISSUENO-0057,2026/05/09 14:39:00,155.000 mm,Spherical Bearing 057,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
58,58,WO-LG-2026-0058,ISSUENO-0058,2026/05/10 14:46:00,4.950 s,Throttle Connector 058,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
59,59,WO-LG-2026-0059,ISSUENO-0059,2026/05/11 14:53:00,38.3 C,Displacement Sensor Bracket 059,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
60,60,WO-LG-2026-0060,ISSUENO-0060,2026/05/12 15:00:00,0.120 mm,Locking Nut 060,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
61,61,WO-LG-2026-0061,ISSUENO-0061,2026/05/13 15:07:00,20.850 MPa,Piston Rod Assembly 061,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
62,62,WO-LG-2026-0062,ISSUENO-0062,2026/05/14 15:14:00,0.080 mL/min,Cylinder Barrel Assembly 062,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
