po_line_id,po_id,item_id,line_seq,req_qty_txt,order_uom,need_dt_char,dlv_dt_txt,line_stat_cd
1,1,1,002,20.850 MPa,ERP_EA,20260509,20260509,ERP_OPEN
2,2,2,003,0.080 mL/min,ERP_SET,20260510,20260510,ERP_RUNNING
3,3,3,004,155.150 mm,ERP_KG,20260511,20260511,ERP_CLOSED
4,4,4,005,5.100 s,ERP_M,20260512,20260512,ERP_HOLD
5,5,5,006,37.7 C,ERP_EA,20260513,20260513,ERP_OPEN
6,6,6,007,0.150 mm,ERP_SET,20260514,20260514,ERP_RUNNING
7,7,7,008,23.400 MPa,ERP_KG,20260515,20260515,ERP_CLOSED
8,8,8,009,0.220 mL/min,ERP_M,20260516,20260516,ERP_HOLD
9,9,9,001,155.300 mm,ERP_EA,20260517,20260517,ERP_OPEN
10,10,10,002,4.500 s,ERP_SET,20260518,20260518,ERP_RUNNING
11,11,11,003,37.9 C,ERP_KG,20260519,20260519,ERP_CLOSED
12,12,12,004,0.180 mm,ERP_M,20260520,20260520,ERP_HOLD
13,13,13,005,23.400 MPa,ERP_EA,20260521,20260521,ERP_OPEN
14,14,14,006,0.140 mL/min,ERP_SET,20260522,20260522,ERP_RUNNING
15,15,15,007,154.700 mm,ERP_KG,20260523,20260523,ERP_CLOSED
16,16,16,008,4.650 s,ERP_M,20260524,20260524,ERP_HOLD
17,17,17,009,38.0 C,ERP_EA,20260525,20260525,ERP_OPEN
18,18,18,001,0.210 mm,ERP_SET,20260526,20260526,ERP_RUNNING
19,19,19,002,21.300 MPa,ERP_KG,20260527,20260527,ERP_CLOSED
20,20,20,003,0.020 mL/min,ERP_M,20260528,20260528,ERP_HOLD
21,21,21,004,154.850 mm,ERP_EA,20260529,20260529,ERP_OPEN
22,22,22,005,4.800 s,ERP_SET,20260530,20260530,ERP_RUNNING
23,23,23,006,38.1 C,ERP_KG,20260531,20260531,ERP_CLOSED
24,24,24,007,0.240 mm,ERP_M,20260601,20260601,ERP_HOLD
25,25,25,008,20.700 MPa,ERP_EA,20260602,20260602,ERP_OPEN
26,26,26,009,0.220 mL/min,ERP_SET,20260603,20260603,ERP_RUNNING
27,27,27,001,155.000 mm,ERP_KG,20260604,20260604,ERP_CLOSED
28,28,28,002,4.950 s,ERP_M,20260605,20260605,ERP_HOLD
29,29,29,003,38.3 C,ERP_EA,20260509,20260509,ERP_OPEN
30,30,30,004,0.120 mm,ERP_SET,20260510,20260510,ERP_RUNNING
31,31,31,005,20.850 MPa,ERP_KG,20260511,20260511,ERP_CLOSED
32,32,32,006,0.080 mL/min,ERP_M,20260512,20260512,ERP_HOLD
33,33,33,007,155.150 mm,ERP_EA,20260513,20260513,ERP_OPEN
34,34,34,008,5.100 s,ERP_SET,20260514,20260514,ERP_RUNNING
35,35,35,009,37.7 C,ERP_KG,20260515,20260515,ERP_CLOSED
36,36,36,001,0.150 mm,ERP_M,20260516,20260516,ERP_HOLD
37,37,37,002,21.000 MPa,ERP_EA,20260517,20260517,ERP_OPEN
38,38,38,003,0.110 mL/min,ERP_SET,20260518,20260518,ERP_RUNNING
39,39,39,004,158.400 mm,ERP_KG,20260519,20260519,ERP_CLOSED
40,40,40,005,4.500 s,ERP_M,20260520,20260520,ERP_HOLD
41,41,41,006,37.9 C,ERP_EA,20260521,20260521,ERP_OPEN
42,42,42,007,0.180 mm,ERP_SET,20260522,20260522,ERP_RUNNING
43,43,43,008,21.150 MPa,ERP_KG,20260523,20260523,ERP_CLOSED
44,44,44,009,0.140 mL/min,ERP_M,20260524,20260524,ERP_HOLD
45,45,45,001,154.700 mm,ERP_EA,20260525,20260525,ERP_OPEN
46,46,46,002,4.650 s,ERP_SET,20260526,20260526,ERP_RUNNING
47,47,47,003,38.0 C,ERP_KG,20260527,20260527,ERP_CLOSED
48,48,48,004,0.210 mm,ERP_M,20260528,20260528,ERP_HOLD
49,49,49,005,21.300 MPa,ERP_EA,20260529,20260529,ERP_OPEN
50,50,50,006,0.020 mL/min,ERP_SET,20260530,20260530,ERP_RUNNING
51,51,51,007,154.850 mm,ERP_KG,20260531,20260531,ERP_CLOSED
52,52,52,008,6.200 s,ERP_M,20260601,20260601,ERP_HOLD
53,53,53,009,38.1 C,ERP_EA,20260602,20260602,ERP_OPEN
54,54,54,001,0.240 mm,ERP_SET,20260603,20260603,ERP_RUNNING
55,55,55,002,20.700 MPa,ERP_KG,20260604,20260604,ERP_CLOSED
56,56,56,003,0.050 mL/min,ERP_M,20260605,20260605,ERP_HOLD
57,57,57,004,155.000 mm,ERP_EA,20260509,20260509,ERP_OPEN
58,58,58,005,4.950 s,ERP_SET,20260510,20260510,ERP_RUNNING
59,59,59,006,38.3 C,ERP_KG,20260511,20260511,ERP_CLOSED
60,60,60,007,0.120 mm,ERP_M,20260512,20260512,ERP_HOLD
61,61,61,008,20.850 MPa,ERP_EA,20260513,20260513,ERP_OPEN
62,62,62,009,0.080 mL/min,ERP_SET,20260514,20260514,ERP_RUNNING
63,63,63,001,155.150 mm,ERP_KG,20260515,20260515,ERP_CLOSED
64,64,64,002,5.100 s,ERP_M,20260516,20260516,ERP_HOLD
65,65,65,003,62.0 C,ERP_EA,20260517,20260517,ERP_OPEN
66,66,66,004,0.150 mm,ERP_SET,20260518,20260518,ERP_RUNNING
67,67,67,005,21.000 MPa,ERP_KG,20260519,20260519,ERP_CLOSED
68,68,68,006,0.110 mL/min,ERP_M,20260520,20260520,ERP_HOLD
69,69,69,007,155.300 mm,ERP_EA,20260521,20260521,ERP_OPEN
70,70,70,008,4.500 s,ERP_SET,20260522,20260522,ERP_RUNNING
71,71,71,009,37.9 C,ERP_KG,20260523,20260523,ERP_CLOSED
72,72,72,001,0.180 mm,ERP_M,20260524,20260524,ERP_HOLD
73,73,73,002,21.150 MPa,ERP_EA,20260525,20260525,ERP_OPEN
74,74,74,003,0.140 mL/min,ERP_SET,20260526,20260526,ERP_RUNNING
75,75,75,004,154.700 mm,ERP_KG,20260527,20260527,ERP_CLOSED
76,76,76,005,4.650 s,ERP_M,20260528,20260528,ERP_HOLD
77,77,77,006,38.0 C,ERP_EA,20260529,20260529,ERP_OPEN
78,78,78,007,0.310 mm,ERP_SET,20260530,20260530,ERP_RUNNING
79,79,79,008,21.300 MPa,ERP_KG,20260531,20260531,ERP_CLOSED
80,80,80,009,0.020 mL/min,ERP_M,20260601,20260601,ERP_HOLD
81,81,81,001,154.850 mm,ERP_EA,20260602,20260602,ERP_OPEN
82,82,82,002,4.800 s,ERP_SET,20260603,20260603,ERP_RUNNING
83,83,83,003,38.1 C,ERP_KG,20260604,20260604,ERP_CLOSED
84,84,84,004,0.240 mm,ERP_M,20260605,20260605,ERP_HOLD
85,85,85,005,20.700 MPa,ERP_EA,20260509,20260509,ERP_OPEN
86,86,86,006,0.050 mL/min,ERP_SET,20260510,20260510,ERP_RUNNING
87,87,87,007,155.000 mm,ERP_KG,20260511,20260511,ERP_CLOSED
88,88,88,008,4.950 s,ERP_M,20260512,20260512,ERP_HOLD
89,89,89,009,38.3 C,ERP_EA,20260513,20260513,ERP_OPEN
90,90,90,001,0.120 mm,ERP_SET,20260514,20260514,ERP_RUNNING
91,91,91,002,23.400 MPa,ERP_KG,20260515,20260515,ERP_CLOSED
92,92,92,003,0.080 mL/min,ERP_M,20260516,20260516,ERP_HOLD
93,93,93,004,155.150 mm,ERP_EA,20260517,20260517,ERP_OPEN
94,94,94,005,5.100 s,ERP_SET,20260518,20260518,ERP_RUNNING
95,95,95,006,37.7 C,ERP_KG,20260519,20260519,ERP_CLOSED
96,96,96,007,0.150 mm,ERP_M,20260520,20260520,ERP_HOLD
97,97,97,008,21.000 MPa,ERP_EA,20260521,20260521,ERP_OPEN
98,98,98,009,0.110 mL/min,ERP_SET,20260522,20260522,ERP_RUNNING
99,99,99,001,155.300 mm,ERP_KG,20260523,20260523,ERP_CLOSED
100,100,100,002,4.500 s,ERP_M,20260524,20260524,ERP_HOLD
101,101,101,003,37.9 C,ERP_EA,20260525,20260525,ERP_OPEN
