po_id,vendor_id,po_no,task_no,order_dt_txt,plan_arrive_yyyymmdd,po_stat_cd,pri_lvl,urgent_tab
1,1,PO-CF-2026-0001,TASKNO-0001,20260509,20260509,ERP_OPEN,002,Y
2,2,PO-CF-2026-0002,TASKNO-0002,20260510,20260510,ERP_RUNNING,003,Y
3,3,PO-CF-2026-0003,TASKNO-0003,20260511,20260511,ERP_CLOSED,004,N
4,4,PO-CF-2026-0004,TASKNO-0004,20260512,20260512,ERP_HOLD,005,Y
5,5,PO-CF-2026-0005,TASKNO-0005,20260513,20260513,ERP_OPEN,006,Y
6,6,PO-CF-2026-0006,TASKNO-0006,20260514,20260514,ERP_RUNNING,007,N
7,7,PO-CF-2026-0007,TASKNO-0007,20260515,20260515,ERP_CLOSED,008,Y
8,8,PO-CF-2026-0008,TASKNO-0008,20260516,20260516,ERP_HOLD,009,Y
9,9,PO-CF-2026-0009,TASKNO-0009,20260517,20260517,ERP_OPEN,001,N
10,10,PO-CF-2026-0010,TASKNO-0010,20260518,20260518,ERP_RUNNING,002,Y
11,11,PO-CF-2026-0011,TASKNO-0011,20260519,20260519,ERP_CLOSED,003,Y
12,12,PO-CF-2026-0012,TASKNO-0012,20260520,20260520,ERP_HOLD,004,N
13,13,PO-CF-2026-0013,TASKNO-0013,20260521,20260521,ERP_OPEN,005,Y
14,14,PO-CF-2026-0014,TASKNO-0014,20260522,20260522,ERP_RUNNING,006,Y
15,15,PO-CF-2026-0015,TASKNO-0015,20260523,20260523,ERP_CLOSED,007,N
16,16,PO-CF-2026-0016,TASKNO-0016,20260524,20260524,ERP_HOLD,008,Y
17,17,PO-CF-2026-0017,TASKNO-0017,20260525,20260525,ERP_OPEN,009,Y
18,18,PO-CF-2026-0018,TASKNO-0018,20260526,20260526,ERP_RUNNING,001,N
19,19,PO-CF-2026-0019,TASKNO-0019,20260527,20260527,ERP_CLOSED,002,Y
20,20,PO-CF-2026-0020,TASKNO-0020,20260528,20260528,ERP_HOLD,003,Y
21,21,PO-CF-2026-0021,TASKNO-0021,20260529,20260529,ERP_OPEN,004,N
22,22,PO-CF-2026-0022,TASKNO-0022,20260530,20260530,ERP_RUNNING,005,Y
23,23,PO-CF-2026-0023,TASKNO-0023,20260531,20260531,ERP_CLOSED,006,Y
24,24,PO-CF-2026-0024,TASKNO-0024,20260601,20260601,ERP_HOLD,007,N
25,25,PO-CF-2026-0025,TASKNO-0025,20260602,20260602,ERP_OPEN,008,Y
26,26,PO-CF-2026-0026,TASKNO-0026,20260603,20260603,ERP_RUNNING,009,Y
27,27,PO-CF-2026-0027,TASKNO-0027,20260604,20260604,ERP_CLOSED,001,N
28,28,PO-CF-2026-0028,TASKNO-0028,20260605,20260605,ERP_HOLD,002,Y
29,29,PO-CF-2026-0029,TASKNO-0029,20260509,20260509,ERP_OPEN,003,Y
30,30,PO-CF-2026-0030,TASKNO-0030,20260510,20260510,ERP_RUNNING,004,N
31,31,PO-CF-2026-0031,TASKNO-0031,20260511,20260511,ERP_CLOSED,005,Y
32,32,PO-CF-2026-0032,TASKNO-0032,20260512,20260512,ERP_HOLD,006,Y
33,33,PO-CF-2026-0033,TASKNO-0033,20260513,20260513,ERP_OPEN,007,N
