receipt_id,inv_lot_id,po_line_id,recv_no,recv_time_txt,recv_qty_txt,wh_keeper,iqc_flag,recv_stat_cd
1,1,1,RECVNO-0001,2026/05/09 08:07:00,20.850 MPa,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_OPEN
2,2,2,RECVNO-0002,2026/05/10 08:14:00,0.080 mL/min,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_RUNNING
3,3,3,RECVNO-0003,2026/05/11 08:21:00,155.150 mm,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,N,ERP_CLOSED
4,4,4,RECVNO-0004,2026/05/12 08:28:00,5.100 s,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_HOLD
5,5,5,RECVNO-0005,2026/05/13 08:35:00,37.7 C,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_OPEN
6,6,6,RECVNO-0006,2026/05/14 08:42:00,0.150 mm,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,N,ERP_RUNNING
7,7,7,RECVNO-0007,2026/05/15 08:49:00,23.400 MPa,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_CLOSED
8,8,8,RECVNO-0008,2026/05/16 08:56:00,0.220 mL/min,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_HOLD
9,9,9,RECVNO-0009,2026/05/17 09:03:00,155.300 mm,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,N,ERP_OPEN
10,10,10,RECVNO-0010,2026/05/18 09:10:00,4.500 s,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_RUNNING
11,11,11,RECVNO-0011,2026/05/19 09:17:00,37.9 C,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_CLOSED
12,12,12,RECVNO-0012,2026/05/20 09:24:00,0.180 mm,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,N,ERP_HOLD
13,13,13,RECVNO-0013,2026/05/21 09:31:00,23.400 MPa,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_OPEN
14,14,14,RECVNO-0014,2026/05/22 09:38:00,0.140 mL/min,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_RUNNING
15,15,15,RECVNO-0015,2026/05/23 09:45:00,154.700 mm,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,N,ERP_CLOSED
16,16,16,RECVNO-0016,2026/05/24 09:52:00,4.650 s,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_HOLD
17,17,17,RECVNO-0017,2026/05/25 09:59:00,38.0 C,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_OPEN
18,18,18,RECVNO-0018,2026/05/26 10:06:00,0.210 mm,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,N,ERP_RUNNING
19,19,19,RECVNO-0019,2026/05/27 10:13:00,21.300 MPa,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_CLOSED
20,20,20,RECVNO-0020,2026/05/28 10:20:00,0.020 mL/min,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_HOLD
21,21,21,RECVNO-0021,2026/05/29 10:27:00,154.850 mm,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,N,ERP_OPEN
22,22,22,RECVNO-0022,2026/05/30 10:34:00,4.800 s,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_RUNNING
23,23,23,RECVNO-0023,2026/05/31 10:41:00,38.1 C,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_CLOSED
24,24,24,RECVNO-0024,2026/06/01 10:48:00,0.240 mm,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,N,ERP_HOLD
25,25,25,RECVNO-0025,2026/06/02 10:55:00,20.700 MPa,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_OPEN
26,26,26,RECVNO-0026,2026/06/03 11:02:00,0.220 mL/min,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_RUNNING
27,27,27,RECVNO-0027,2026/06/04 11:09:00,155.000 mm,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,N,ERP_CLOSED
28,28,28,RECVNO-0028,2026/06/05 11:16:00,4.950 s,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_HOLD
29,29,29,RECVNO-0029,2026/05/09 11:23:00,38.3 C,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_OPEN
30,30,30,RECVNO-0030,2026/05/10 11:30:00,0.120 mm,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,N,ERP_RUNNING
31,31,31,RECVNO-0031,2026/05/11 11:37:00,20.850 MPa,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_CLOSED
32,32,32,RECVNO-0032,2026/05/12 11:44:00,0.080 mL/min,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_HOLD
33,33,33,RECVNO-0033,2026/05/13 11:51:00,155.150 mm,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,N,ERP_OPEN
34,34,34,RECVNO-0034,2026/05/14 11:58:00,5.100 s,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_RUNNING
35,35,35,RECVNO-0035,2026/05/15 12:05:00,37.7 C,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_CLOSED
36,36,36,RECVNO-0036,2026/05/16 12:12:00,0.150 mm,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,N,ERP_HOLD
37,37,37,RECVNO-0037,2026/05/17 12:19:00,21.000 MPa,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_OPEN
38,38,38,RECVNO-0038,2026/05/18 12:26:00,0.110 mL/min,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_RUNNING
39,39,39,RECVNO-0039,2026/05/19 12:33:00,158.400 mm,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,N,ERP_CLOSED
40,40,40,RECVNO-0040,2026/05/20 12:40:00,4.500 s,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_HOLD
41,41,41,RECVNO-0041,2026/05/21 12:47:00,37.9 C,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_OPEN
42,42,42,RECVNO-0042,2026/05/22 12:54:00,0.180 mm,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,N,ERP_RUNNING
43,43,43,RECVNO-0043,2026/05/23 13:01:00,21.150 MPa,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_CLOSED
44,44,44,RECVNO-0044,2026/05/24 13:08:00,0.140 mL/min,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_HOLD
45,45,45,RECVNO-0045,2026/05/25 13:15:00,154.700 mm,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,N,ERP_OPEN
46,46,46,RECVNO-0046,2026/05/26 13:22:00,4.650 s,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_RUNNING
47,47,47,RECVNO-0047,2026/05/27 13:29:00,38.0 C,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_CLOSED
48,48,48,RECVNO-0048,2026/05/28 13:36:00,0.210 mm,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,N,ERP_HOLD
49,49,49,RECVNO-0049,2026/05/29 13:43:00,21.300 MPa,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_OPEN
50,50,50,RECVNO-0050,2026/05/30 13:50:00,0.020 mL/min,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_RUNNING
51,51,51,RECVNO-0051,2026/05/31 13:57:00,154.850 mm,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,N,ERP_CLOSED
52,52,52,RECVNO-0052,2026/06/01 14:04:00,6.200 s,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_HOLD
53,53,53,RECVNO-0053,2026/06/02 14:11:00,38.1 C,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_OPEN
54,54,54,RECVNO-0054,2026/06/03 14:18:00,0.240 mm,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,N,ERP_RUNNING
55,55,55,RECVNO-0055,2026/06/04 14:25:00,20.700 MPa,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_CLOSED
56,56,56,RECVNO-0056,2026/06/05 14:32:00,0.050 mL/min,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_HOLD
57,57,57,RECVNO-0057,2026/05/09 14:39:00,155.000 mm,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,N,ERP_OPEN
58,58,58,RECVNO-0058,2026/05/10 14:46:00,4.950 s,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_RUNNING
59,59,59,RECVNO-0059,2026/05/11 14:53:00,38.3 C,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_CLOSED
60,60,60,RECVNO-0060,2026/05/12 15:00:00,0.120 mm,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,N,ERP_HOLD
61,61,61,RECVNO-0061,2026/05/13 15:07:00,20.850 MPa,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_OPEN
62,62,62,RECVNO-0062,2026/05/14 15:14:00,0.080 mL/min,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_RUNNING
63,63,63,RECVNO-0063,2026/05/15 15:21:00,155.150 mm,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,N,ERP_CLOSED
64,64,64,RECVNO-0064,2026/05/16 15:28:00,5.100 s,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_HOLD
65,65,65,RECVNO-0065,2026/05/17 15:35:00,62.0 C,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_OPEN
66,66,66,RECVNO-0066,2026/05/18 15:42:00,0.150 mm,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,N,ERP_RUNNING
67,67,67,RECVNO-0067,2026/05/19 15:49:00,21.000 MPa,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_CLOSED
68,68,68,RECVNO-0068,2026/05/20 15:56:00,0.110 mL/min,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_HOLD
69,69,69,RECVNO-0069,2026/05/21 16:03:00,155.300 mm,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,N,ERP_OPEN
70,70,70,RECVNO-0070,2026/05/22 16:10:00,4.500 s,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_RUNNING
71,71,71,RECVNO-0071,2026/05/23 16:17:00,37.9 C,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_CLOSED
72,72,72,RECVNO-0072,2026/05/24 16:24:00,0.180 mm,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,N,ERP_HOLD
73,73,73,RECVNO-0073,2026/05/25 16:31:00,21.150 MPa,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_OPEN
74,74,74,RECVNO-0074,2026/05/26 16:38:00,0.140 mL/min,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_RUNNING
75,75,75,RECVNO-0075,2026/05/27 16:45:00,154.700 mm,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,N,ERP_CLOSED
76,76,76,RECVNO-0076,2026/05/28 16:52:00,4.650 s,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_HOLD
77,77,77,RECVNO-0077,2026/05/29 16:59:00,38.0 C,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_OPEN
78,78,78,RECVNO-0078,2026/05/30 17:06:00,0.310 mm,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,N,ERP_RUNNING
