vendor_batch_id,po_line_id,vendor_id,item_id,ven_lot_no,cert_doc_no,mfg_dt_txt,exp_dt_txt,batch_stat_cd
1,1,1,1,SUP-LOT-2026-0001,CERTDOCN-0001,20260509,20260509,ERP_OPEN
2,2,2,2,SUP-LOT-2026-0002,CERTDOCN-0002,20260510,20260510,ERP_RUNNING
3,3,3,3,SUP-LOT-2026-0003,CERTDOCN-0003,20260511,20260511,ERP_CLOSED
4,4,4,4,SUP-LOT-2026-0004,CERTDOCN-0004,20260512,20260512,ERP_HOLD
5,5,5,5,SUP-LOT-2026-0005,CERTDOCN-0005,20260513,20260513,ERP_OPEN
6,6,6,6,SUP-LOT-2026-0006,CERTDOCN-0006,20260514,20260514,ERP_RUNNING
7,7,7,7,SUP-LOT-2026-0007,CERTDOCN-0007,20260515,20260515,ERP_CLOSED
8,8,8,8,SUP-LOT-2026-0008,CERTDOCN-0008,20260516,20260516,ERP_HOLD
9,9,9,9,SUP-LOT-2026-0009,CERTDOCN-0009,20260517,20260517,ERP_OPEN
10,10,10,10,SUP-LOT-2026-0010,CERTDOCN-0010,20260518,20260518,ERP_RUNNING
11,11,11,11,SUP-LOT-2026-0011,CERTDOCN-0011,20260519,20260519,ERP_CLOSED
12,12,12,12,SUP-LOT-2026-0012,CERTDOCN-0012,20260520,20260520,ERP_HOLD
13,13,13,13,SUP-LOT-2026-0013,CERTDOCN-0013,20260521,20260521,ERP_OPEN
14,14,14,14,SUP-LOT-2026-0014,CERTDOCN-0014,20260522,20260522,ERP_RUNNING
15,15,15,15,SUP-LOT-2026-0015,CERTDOCN-0015,20260523,20260523,ERP_CLOSED
16,16,16,16,SUP-LOT-2026-0016,CERTDOCN-0016,20260524,20260524,ERP_HOLD
17,17,17,17,SUP-LOT-2026-0017,CERTDOCN-0017,20260525,20260525,ERP_OPEN
18,18,18,18,SUP-LOT-2026-0018,CERTDOCN-0018,20260526,20260526,ERP_RUNNING
19,19,19,19,SUP-LOT-2026-0019,CERTDOCN-0019,20260527,20260527,ERP_CLOSED
20,20,20,20,SUP-LOT-2026-0020,CERTDOCN-0020,20260528,20260528,ERP_HOLD
21,21,21,21,SUP-LOT-2026-0021,CERTDOCN-0021,20260529,20260529,ERP_OPEN
22,22,22,22,SUP-LOT-2026-0022,CERTDOCN-0022,20260530,20260530,ERP_RUNNING
23,23,23,23,SUP-LOT-2026-0023,CERTDOCN-0023,20260531,20260531,ERP_CLOSED
24,24,24,24,SUP-LOT-2026-0024,CERTDOCN-0024,20260601,20260601,ERP_HOLD
25,25,25,25,SUP-LOT-2026-0025,CERTDOCN-0025,20260602,20260602,ERP_OPEN
26,26,26,26,SUP-LOT-2026-0026,CERTDOCN-0026,20260603,20260603,ERP_RUNNING
27,27,27,27,SUP-LOT-2026-0027,CERTDOCN-0027,20260604,20260604,ERP_CLOSED
28,28,28,28,SUP-LOT-2026-0028,CERTDOCN-0028,20260605,20260605,ERP_HOLD
29,29,29,29,SUP-LOT-2026-0029,CERTDOCN-0029,20260509,20260509,ERP_OPEN
30,30,30,30,SUP-LOT-2026-0030,CERTDOCN-0030,20260510,20260510,ERP_RUNNING
31,31,31,31,SUP-LOT-2026-0031,CERTDOCN-0031,20260511,20260511,ERP_CLOSED
32,32,32,32,SUP-LOT-2026-0032,CERTDOCN-0032,20260512,20260512,ERP_HOLD
33,33,33,33,SUP-LOT-2026-0033,CERTDOCN-0033,20260513,20260513,ERP_OPEN
34,34,34,34,SUP-LOT-2026-0034,CERTDOCN-0034,20260514,20260514,ERP_RUNNING
35,35,35,35,SUP-LOT-2026-0035,CERTDOCN-0035,20260515,20260515,ERP_CLOSED
36,36,36,36,SUP-LOT-2026-0036,CERTDOCN-0036,20260516,20260516,ERP_HOLD
37,37,37,37,SUP-LOT-2026-0037,CERTDOCN-0037,20260517,20260517,ERP_OPEN
38,38,38,38,SUP-LOT-2026-0038,CERTDOCN-0038,20260518,20260518,ERP_RUNNING
39,39,39,39,SUP-LOT-2026-0039,CERTDOCN-0039,20260519,20260519,ERP_CLOSED
40,40,40,40,SUP-LOT-2026-0040,CERTDOCN-0040,20260520,20260520,ERP_HOLD
41,41,41,41,SUP-LOT-2026-0041,CERTDOCN-0041,20260521,20260521,ERP_OPEN
42,42,42,42,SUP-LOT-2026-0042,CERTDOCN-0042,20260522,20260522,ERP_RUNNING
