batch_id,task_id,batchno,partno,batch_qty,starttime_txt,fintime_txt,zhuangtai,quality_code
1,1,BATCHNO-0001,LGACT-PART-002,002,2026/05/09 08:07:00,2026/05/09 08:07:00,MES_OPEN,QC-LG-0001
2,2,BATCHNO-0002,LGACT-PART-003,003,2026/05/10 08:14:00,2026/05/10 08:14:00,MES_RUNNING,QC-LG-0002
3,3,BATCHNO-0003,LGACT-PART-004,004,2026/05/11 08:21:00,2026/05/11 08:21:00,MES_CLOSED,QC-LG-0003
4,4,BATCHNO-0004,LGACT-PART-005,005,2026/05/12 08:28:00,2026/05/12 08:28:00,MES_HOLD,QC-LG-0004
5,5,BATCHNO-0005,LGACT-PART-006,006,2026/05/13 08:35:00,2026/05/13 08:35:00,MES_OPEN,QC-LG-0005
6,6,BATCHNO-0006,LGACT-PART-007,007,2026/05/14 08:42:00,2026/05/14 08:42:00,MES_RUNNING,QC-LG-0006
7,7,BATCHNO-0007,LGACT-PART-008,008,2026/05/15 08:49:00,2026/05/15 08:49:00,MES_CLOSED,QC-LG-0007
8,8,BATCHNO-0008,LGACT-PART-009,009,2026/05/16 08:56:00,2026/05/16 08:56:00,MES_HOLD,QC-LG-0008
9,9,BATCHNO-0009,LGACT-PART-010,001,2026/05/17 09:03:00,2026/05/17 09:03:00,MES_OPEN,QC-LG-0009
10,10,BATCHNO-0010,LGACT-PART-011,002,2026/05/18 09:10:00,2026/05/18 09:10:00,MES_RUNNING,QC-LG-0010
11,11,BATCHNO-0011,LGACT-PART-012,003,2026/05/19 09:17:00,2026/05/19 09:17:00,MES_CLOSED,QC-LG-0011
12,12,BATCHNO-0012,LGACT-PART-013,004,2026/05/20 09:24:00,2026/05/20 09:24:00,MES_HOLD,QC-LG-0012
13,13,BATCHNO-0013,LGACT-PART-014,005,2026/05/21 09:31:00,2026/05/21 09:31:00,MES_OPEN,QC-LG-0013
14,14,BATCHNO-0014,LGACT-PART-015,006,2026/05/22 09:38:00,2026/05/22 09:38:00,MES_RUNNING,QC-LG-0014
15,15,BATCHNO-0015,LGACT-PART-016,007,2026/05/23 09:45:00,2026/05/23 09:45:00,MES_CLOSED,QC-LG-0015
16,16,BATCHNO-0016,LGACT-PART-017,008,2026/05/24 09:52:00,2026/05/24 09:52:00,MES_HOLD,QC-LG-0016
17,17,BATCHNO-0017,LGACT-PART-018,009,2026/05/25 09:59:00,2026/05/25 09:59:00,MES_OPEN,QC-LG-0017
18,18,BATCHNO-0018,LGACT-PART-019,001,2026/05/26 10:06:00,2026/05/26 10:06:00,MES_RUNNING,QC-LG-0018
19,19,BATCHNO-0019,LGACT-PART-020,002,2026/05/27 10:13:00,2026/05/27 10:13:00,MES_CLOSED,QC-LG-0019
20,20,BATCHNO-0020,LGACT-PART-001,003,2026/05/28 10:20:00,2026/05/28 10:20:00,MES_HOLD,QC-LG-0020
21,21,BATCHNO-0021,LGACT-PART-002,004,2026/05/29 10:27:00,2026/05/29 10:27:00,MES_OPEN,QC-LG-0021
22,22,BATCHNO-0022,LGACT-PART-003,005,2026/05/30 10:34:00,2026/05/30 10:34:00,MES_RUNNING,QC-LG-0022
23,23,BATCHNO-0023,LGACT-PART-004,006,2026/05/31 10:41:00,2026/05/31 10:41:00,MES_CLOSED,QC-LG-0023
24,24,BATCHNO-0024,LGACT-PART-005,007,2026/06/01 10:48:00,2026/06/01 10:48:00,MES_HOLD,QC-LG-0024
25,25,BATCHNO-0025,LGACT-PART-006,008,2026/06/02 10:55:00,2026/06/02 10:55:00,MES_OPEN,QC-LG-0025
26,26,BATCHNO-0026,LGACT-PART-007,009,2026/06/03 11:02:00,2026/06/03 11:02:00,MES_RUNNING,QC-LG-0026
27,27,BATCHNO-0027,LGACT-PART-008,001,2026/06/04 11:09:00,2026/06/04 11:09:00,MES_CLOSED,QC-LG-0027
28,28,BATCHNO-0028,LGACT-PART-009,002,2026/06/05 11:16:00,2026/06/05 11:16:00,MES_HOLD,QC-LG-0028
29,29,BATCHNO-0029,LGACT-PART-010,003,2026/05/09 11:23:00,2026/05/09 11:23:00,MES_OPEN,QC-LG-0029
30,30,BATCHNO-0030,LGACT-PART-011,004,2026/05/10 11:30:00,2026/05/10 11:30:00,MES_RUNNING,QC-LG-0030
31,31,BATCHNO-0031,LGACT-PART-012,005,2026/05/11 11:37:00,2026/05/11 11:37:00,MES_CLOSED,QC-LG-0031
32,32,BATCHNO-0032,LGACT-PART-013,006,2026/05/12 11:44:00,2026/05/12 11:44:00,MES_HOLD,QC-LG-0032
33,33,BATCHNO-0033,LGACT-PART-014,007,2026/05/13 11:51:00,2026/05/13 11:51:00,MES_OPEN,QC-LG-0033
34,34,BATCHNO-0034,LGACT-PART-015,008,2026/05/14 11:58:00,2026/05/14 11:58:00,MES_RUNNING,QC-LG-0034
35,35,BATCHNO-0035,LGACT-PART-016,009,2026/05/15 12:05:00,2026/05/15 12:05:00,MES_CLOSED,QC-LG-0035
36,36,BATCHNO-0036,LGACT-PART-017,001,2026/05/16 12:12:00,2026/05/16 12:12:00,MES_HOLD,QC-LG-0036
37,37,BATCHNO-0037,LGACT-PART-018,002,2026/05/17 12:19:00,2026/05/17 12:19:00,MES_OPEN,QC-LG-0037
38,38,BATCHNO-0038,LGACT-PART-019,003,2026/05/18 12:26:00,2026/05/18 12:26:00,MES_RUNNING,QC-LG-0038
39,39,BATCHNO-0039,LGACT-PART-020,004,2026/05/19 12:33:00,2026/05/19 12:33:00,MES_CLOSED,QC-LG-0039
40,40,BATCHNO-0040,LGACT-PART-001,005,2026/05/20 12:40:00,2026/05/20 12:40:00,MES_HOLD,QC-LG-0040
41,41,BATCHNO-0041,LGACT-PART-002,006,2026/05/21 12:47:00,2026/05/21 12:47:00,MES_OPEN,QC-LG-0041
42,42,BATCHNO-0042,LGACT-PART-003,007,2026/05/22 12:54:00,2026/05/22 12:54:00,MES_RUNNING,QC-LG-0042
43,43,BATCHNO-0043,LGACT-PART-004,008,2026/05/23 13:01:00,2026/05/23 13:01:00,MES_CLOSED,QC-LG-0043
