usage_id,worklog_id,steplog_id,equipment_asset_id,person_id,station_id,tooling_asset_id,use_start_txt,use_end_txt,mastery_txt,use_state
1,1,1,1,1,1,1,2026/05/09 08:07:00,2026/05/09 08:07:00,20.850 MPa,MES_OPEN
2,2,2,2,2,2,2,2026/05/10 08:14:00,2026/05/10 08:14:00,0.080 mL/min,MES_RUNNING
3,3,3,3,3,3,3,2026/05/11 08:21:00,2026/05/11 08:21:00,155.150 mm,MES_CLOSED
4,4,4,4,4,4,4,2026/05/12 08:28:00,2026/05/12 08:28:00,5.100 s,MES_HOLD
5,5,5,5,5,5,5,2026/05/13 08:35:00,2026/05/13 08:35:00,37.7 C,MES_OPEN
6,6,6,6,6,6,6,2026/05/14 08:42:00,2026/05/14 08:42:00,0.150 mm,MES_RUNNING
7,7,7,7,7,7,7,2026/05/15 08:49:00,2026/05/15 08:49:00,23.400 MPa,MES_CLOSED
8,8,8,8,8,8,8,2026/05/16 08:56:00,2026/05/16 08:56:00,0.220 mL/min,MES_HOLD
9,9,9,9,9,9,9,2026/05/17 09:03:00,2026/05/17 09:03:00,155.300 mm,MES_OPEN
10,10,10,10,10,10,10,2026/05/18 09:10:00,2026/05/18 09:10:00,4.500 s,MES_RUNNING
11,11,11,11,11,11,11,2026/05/19 09:17:00,2026/05/19 09:17:00,37.9 C,MES_CLOSED
12,12,12,12,12,12,12,2026/05/20 09:24:00,2026/05/20 09:24:00,0.180 mm,MES_HOLD
13,13,13,13,13,13,13,2026/05/21 09:31:00,2026/05/21 09:31:00,23.400 MPa,MES_OPEN
14,14,14,14,14,14,14,2026/05/22 09:38:00,2026/05/22 09:38:00,0.140 mL/min,MES_RUNNING
15,15,15,15,15,15,15,2026/05/23 09:45:00,2026/05/23 09:45:00,154.700 mm,MES_CLOSED
16,16,16,16,16,16,16,2026/05/24 09:52:00,2026/05/24 09:52:00,4.650 s,MES_HOLD
17,17,17,17,17,17,17,2026/05/25 09:59:00,2026/05/25 09:59:00,38.0 C,MES_OPEN
18,18,18,18,18,18,18,2026/05/26 10:06:00,2026/05/26 10:06:00,0.210 mm,MES_RUNNING
19,19,19,19,19,19,19,2026/05/27 10:13:00,2026/05/27 10:13:00,21.300 MPa,MES_CLOSED
20,20,20,20,20,20,20,2026/05/28 10:20:00,2026/05/28 10:20:00,0.020 mL/min,MES_HOLD
21,21,21,21,21,21,21,2026/05/29 10:27:00,2026/05/29 10:27:00,154.850 mm,MES_OPEN
22,22,22,22,22,22,22,2026/05/30 10:34:00,2026/05/30 10:34:00,4.800 s,MES_RUNNING
23,23,23,23,23,23,23,2026/05/31 10:41:00,2026/05/31 10:41:00,38.1 C,MES_CLOSED
24,24,24,24,24,24,24,2026/06/01 10:48:00,2026/06/01 10:48:00,0.240 mm,MES_HOLD
25,25,25,25,25,25,25,2026/06/02 10:55:00,2026/06/02 10:55:00,20.700 MPa,MES_OPEN
26,26,26,26,26,26,26,2026/06/03 11:02:00,2026/06/03 11:02:00,0.220 mL/min,MES_RUNNING
27,27,27,27,27,27,27,2026/06/04 11:09:00,2026/06/04 11:09:00,155.000 mm,MES_CLOSED
28,28,28,28,28,28,28,2026/06/05 11:16:00,2026/06/05 11:16:00,4.950 s,MES_HOLD
29,29,29,29,29,29,29,2026/05/09 11:23:00,2026/05/09 11:23:00,38.3 C,MES_OPEN
30,30,30,30,30,30,30,2026/05/10 11:30:00,2026/05/10 11:30:00,0.120 mm,MES_RUNNING
31,31,31,31,31,31,31,2026/05/11 11:37:00,2026/05/11 11:37:00,20.850 MPa,MES_CLOSED
32,32,32,32,32,32,32,2026/05/12 11:44:00,2026/05/12 11:44:00,0.080 mL/min,MES_HOLD
33,33,33,33,33,33,33,2026/05/13 11:51:00,2026/05/13 11:51:00,155.150 mm,MES_OPEN
34,34,34,34,34,34,34,2026/05/14 11:58:00,2026/05/14 11:58:00,5.100 s,MES_RUNNING
35,35,35,35,35,35,35,2026/05/15 12:05:00,2026/05/15 12:05:00,37.7 C,MES_CLOSED
36,36,36,36,36,36,36,2026/05/16 12:12:00,2026/05/16 12:12:00,0.150 mm,MES_HOLD
