station_id,stationid,stationname,workshop,percount,equcount,zhuangtai
1,ST-CF-0001,Machining Station 1,Machining Section 1,002,002,MES_OPEN
2,ST-CF-0002,Precision Grinding Station,Precision Grinding Section,003,003,MES_RUNNING
3,ST-CF-0003,Honing Station,Hydraulic Assembly Section,004,004,MES_CLOSED
4,ST-CF-0004,Surface Treatment Station,Pressure Test Section,005,005,MES_HOLD
5,ST-CF-0005,Hydraulic Assembly Station,Final Inspection Section,006,006,MES_OPEN
6,ST-CF-0006,Pressure Test Station,Repair Processing Section,007,007,MES_RUNNING
7,ST-CF-0007,Final Inspection Station,Machining Section 1,008,008,MES_CLOSED
8,ST-CF-0008,Repair Processing Station,Precision Grinding Section,009,009,MES_HOLD
9,ST-CF-0009,Machining Station 1,Hydraulic Assembly Section,001,001,MES_OPEN
10,ST-CF-0010,Precision Grinding Station,Pressure Test Section,002,002,MES_RUNNING
11,ST-CF-0011,Honing Station,Final Inspection Section,003,003,MES_CLOSED
12,ST-CF-0012,Surface Treatment Station,Repair Processing Section,004,004,MES_HOLD
13,ST-CF-0013,Hydraulic Assembly Station,Machining Section 1,005,005,MES_OPEN
14,ST-CF-0014,Pressure Test Station,Precision Grinding Section,006,006,MES_RUNNING
15,ST-CF-0015,Final Inspection Station,Hydraulic Assembly Section,007,007,MES_CLOSED
16,ST-CF-0016,Repair Processing Station,Pressure Test Section,008,008,MES_HOLD
17,ST-CF-0017,Machining Station 1,Final Inspection Section,009,009,MES_OPEN
18,ST-CF-0018,Precision Grinding Station,Repair Processing Section,001,001,MES_RUNNING
19,ST-CF-0019,Honing Station,Machining Section 1,002,002,MES_CLOSED
20,ST-CF-0020,Surface Treatment Station,Precision Grinding Section,003,003,MES_HOLD
21,ST-CF-0021,Hydraulic Assembly Station,Hydraulic Assembly Section,004,004,MES_OPEN
22,ST-CF-0022,Pressure Test Station,Pressure Test Section,005,005,MES_RUNNING
23,ST-CF-0023,Final Inspection Station,Final Inspection Section,006,006,MES_CLOSED
24,ST-CF-0024,Repair Processing Station,Repair Processing Section,007,007,MES_HOLD
25,ST-CF-0025,Machining Station 1,Machining Section 1,008,008,MES_OPEN
26,ST-CF-0026,Precision Grinding Station,Precision Grinding Section,009,009,MES_RUNNING
27,ST-CF-0027,Honing Station,Hydraulic Assembly Section,001,001,MES_CLOSED
28,ST-CF-0028,Surface Treatment Station,Pressure Test Section,002,002,MES_HOLD
29,ST-CF-0029,Hydraulic Assembly Station,Final Inspection Section,003,003,MES_OPEN
30,ST-CF-0030,Pressure Test Station,Repair Processing Section,004,004,MES_RUNNING
31,ST-CF-0031,Final Inspection Station,Machining Section 1,005,005,MES_CLOSED
32,ST-CF-0032,Repair Processing Station,Precision Grinding Section,006,006,MES_HOLD
33,ST-CF-0033,Machining Station 1,Hydraulic Assembly Section,007,007,MES_OPEN
34,ST-CF-0034,Precision Grinding Station,Pressure Test Section,008,008,MES_RUNNING
35,ST-CF-0035,Honing Station,Final Inspection Section,009,009,MES_CLOSED
