tooling_asset_id,station_id,toolingid,toolingname,gzzl,jzrq_txt,zhuangtai
1,1,TOOL-0001,Dedicated Assembly Tooling for Piston Rod Assembly,MES_MAKE,20260509,MES_OPEN
2,2,TOOL-0002,Dedicated Assembly Tooling for Cylinder Barrel Assembly,MES_BUY,20260510,MES_RUNNING
3,3,TOOL-0003,Dedicated Assembly Tooling for Front End Cap,MES_ASSEMBLY,20260511,MES_CLOSED
4,4,TOOL-0004,Dedicated Assembly Tooling for Rear End Cap,MES_SERVICE,20260512,MES_HOLD
5,5,TOOL-0005,Dedicated Assembly Tooling for Seal Ring Assembly,MES_MAKE,20260513,MES_OPEN
6,6,TOOL-0006,Dedicated Assembly Tooling for Trunnion Bushing,MES_BUY,20260514,MES_RUNNING
7,7,TOOL-0007,Dedicated Assembly Tooling for Spherical Bearing,MES_ASSEMBLY,20260515,MES_CLOSED
8,8,TOOL-0008,Dedicated Assembly Tooling for Throttle Connector,MES_SERVICE,20260516,MES_HOLD
9,9,TOOL-0009,Dedicated Assembly Tooling for Displacement Sensor Bracket,MES_MAKE,20260517,MES_OPEN
10,10,TOOL-0010,Dedicated Assembly Tooling for Locking Nut,MES_BUY,20260518,MES_RUNNING
11,11,TOOL-0011,Dedicated Assembly Tooling for Piston Rod Assembly,MES_ASSEMBLY,20260519,MES_CLOSED
12,12,TOOL-0012,Dedicated Assembly Tooling for Cylinder Barrel Assembly,MES_SERVICE,20260520,MES_HOLD
13,13,TOOL-0013,Dedicated Assembly Tooling for Front End Cap,MES_MAKE,20260521,MES_OPEN
14,14,TOOL-0014,Dedicated Assembly Tooling for Rear End Cap,MES_BUY,20260522,MES_RUNNING
15,15,TOOL-0015,Dedicated Assembly Tooling for Seal Ring Assembly,MES_ASSEMBLY,20260523,MES_CLOSED
16,16,TOOL-0016,Dedicated Assembly Tooling for Trunnion Bushing,MES_SERVICE,20260524,MES_HOLD
