worklog_id,task_id,batch_id,part_id,assembly_id,station_id,equipment_asset_id,person_id,zzh,op_no,workid,workname,startdate_txt,enddate_txt,status_code
1,1,1,1,1,1,1,1,LGACT-2026-0001,OP020,WO-LG-2026-0001,Cylinder Barrel Rough Machining,2026/05/09 08:07:00,2026/05/09 08:07:00,MES_OP_DONE
2,2,2,2,2,2,2,2,LGACT-2026-0002,OP030,WO-LG-2026-0002,Piston Rod Precision Grinding,2026/05/10 08:14:00,2026/05/10 08:14:00,MES_OP_RUN
3,3,3,3,3,3,3,3,LGACT-2026-0003,OP040,WO-LG-2026-0003,Inner Bore Honing,2026/05/11 08:21:00,2026/05/11 08:21:00,MES_OP_HOLD
4,4,4,4,4,4,4,4,LGACT-2026-0004,OP050,WO-LG-2026-0004,Chrome Plating Layer Grinding,2026/05/12 08:28:00,2026/05/12 08:28:00,MES_OP_REWORK
5,5,5,5,5,5,5,5,LGACT-2026-0005,OP060,WO-LG-2026-0005,Seal Component Assembly,2026/05/13 08:35:00,2026/05/13 08:35:00,MES_OP_DONE
6,6,6,6,6,6,6,6,LGACT-2026-0006,OP070,WO-LG-2026-0006,Actuator Final Assembly,2026/05/14 08:42:00,2026/05/14 08:42:00,MES_OP_RUN
7,7,7,7,7,7,7,7,LGACT-2026-0007,OP080,WO-LG-2026-0007,Pressure Holding Test,2026/05/15 08:49:00,2026/05/15 08:49:00,MES_OP_HOLD
8,8,8,8,8,8,8,8,LGACT-2026-0008,OP010,WO-LG-2026-0008,Extension and Retraction Function Test,2026/05/16 08:56:00,2026/05/16 08:56:00,MES_OP_REWORK
9,9,9,9,9,9,9,9,LGACT-2026-0009,OP020,WO-LG-2026-0009,Cylinder Barrel Rough Machining,2026/05/17 09:03:00,2026/05/17 09:03:00,MES_OP_DONE
10,10,10,10,10,10,10,10,LGACT-2026-0010,OP030,WO-LG-2026-0010,Piston Rod Precision Grinding,2026/05/18 09:10:00,2026/05/18 09:10:00,MES_OP_RUN
11,11,11,11,11,11,11,11,LGACT-2026-0011,OP040,WO-LG-2026-0011,Inner Bore Honing,2026/05/19 09:17:00,2026/05/19 09:17:00,MES_OP_HOLD
12,12,12,12,12,12,12,12,LGACT-2026-0012,OP050,WO-LG-2026-0012,Chrome Plating Layer Grinding,2026/05/20 09:24:00,2026/05/20 09:24:00,MES_OP_REWORK
13,13,13,13,13,13,13,13,LGACT-2026-0013,OP060,WO-LG-2026-0013,Seal Component Assembly,2026/05/21 09:31:00,2026/05/21 09:31:00,MES_OP_DONE
14,14,14,14,14,14,14,14,LGACT-2026-0014,OP070,WO-LG-2026-0014,Actuator Final Assembly,2026/05/22 09:38:00,2026/05/22 09:38:00,MES_OP_RUN
15,15,15,15,15,15,15,15,LGACT-2026-0015,OP080,WO-LG-2026-0015,Pressure Holding Test,2026/05/23 09:45:00,2026/05/23 09:45:00,MES_OP_HOLD
16,16,16,16,16,16,16,16,LGACT-2026-0016,OP010,WO-LG-2026-0016,Extension and Retraction Function Test,2026/05/24 09:52:00,2026/05/24 09:52:00,MES_OP_REWORK
17,17,17,17,17,17,17,17,LGACT-2026-0017,OP020,WO-LG-2026-0017,Cylinder Barrel Rough Machining,2026/05/25 09:59:00,2026/05/25 09:59:00,MES_OP_DONE
18,18,18,18,18,18,18,18,LGACT-2026-0018,OP030,WO-LG-2026-0018,Piston Rod Precision Grinding,2026/05/26 10:06:00,2026/05/26 10:06:00,MES_OP_RUN
19,19,19,19,19,19,19,19,LGACT-2026-0019,OP040,WO-LG-2026-0019,Inner Bore Honing,2026/05/27 10:13:00,2026/05/27 10:13:00,MES_OP_HOLD
20,20,20,20,20,20,20,20,LGACT-2026-0020,OP050,WO-LG-2026-0020,Chrome Plating Layer Grinding,2026/05/28 10:20:00,2026/05/28 10:20:00,MES_OP_REWORK
21,21,21,21,21,21,21,21,LGACT-2026-0021,OP060,WO-LG-2026-0021,Seal Component Assembly,2026/05/29 10:27:00,2026/05/29 10:27:00,MES_OP_DONE
22,22,22,22,22,22,22,22,LGACT-2026-0022,OP070,WO-LG-2026-0022,Actuator Final Assembly,2026/05/30 10:34:00,2026/05/30 10:34:00,MES_OP_RUN
23,23,23,23,23,23,23,23,LGACT-2026-0023,OP080,WO-LG-2026-0023,Pressure Holding Test,2026/05/31 10:41:00,2026/05/31 10:41:00,MES_OP_HOLD
24,24,24,24,24,24,24,24,LGACT-2026-0024,OP010,WO-LG-2026-0024,Extension and Retraction Function Test,2026/06/01 10:48:00,2026/06/01 10:48:00,MES_OP_REWORK
25,25,25,25,25,25,25,25,LGACT-2026-0025,OP020,WO-LG-2026-0025,Cylinder Barrel Rough Machining,2026/06/02 10:55:00,2026/06/02 10:55:00,MES_OP_DONE
26,26,26,26,26,26,26,26,LGACT-2026-0026,OP030,WO-LG-2026-0026,Piston Rod Precision Grinding,2026/06/03 11:02:00,2026/06/03 11:02:00,MES_OP_RUN
27,27,27,27,27,27,27,27,LGACT-2026-0027,OP040,WO-LG-2026-0027,Inner Bore Honing,2026/06/04 11:09:00,2026/06/04 11:09:00,MES_OP_HOLD
28,28,28,28,28,28,28,28,LGACT-2026-0028,OP050,WO-LG-2026-0028,Chrome Plating Layer Grinding,2026/06/05 11:16:00,2026/06/05 11:16:00,MES_OP_REWORK
29,29,29,29,29,29,29,29,LGACT-2026-0029,OP060,WO-LG-2026-0029,Seal Component Assembly,2026/05/09 11:23:00,2026/05/09 11:23:00,MES_OP_DONE
30,30,30,30,30,30,30,30,LGACT-2026-0030,OP070,WO-LG-2026-0030,Actuator Final Assembly,2026/05/10 11:30:00,2026/05/10 11:30:00,MES_OP_RUN
31,31,31,31,31,31,31,31,LGACT-2026-0031,OP080,WO-LG-2026-0031,Pressure Holding Test,2026/05/11 11:37:00,2026/05/11 11:37:00,MES_OP_HOLD
32,32,32,32,32,32,32,32,LGACT-2026-0032,OP010,WO-LG-2026-0032,Extension and Retraction Function Test,2026/05/12 11:44:00,2026/05/12 11:44:00,MES_OP_REWORK
