field_feedback_id,service_event_id,fault_report_id,quality_event_no,component_serial_no,feedback_no,feedback_source_code,feedback_time_text,feedback_content,feedback_state
1,1,1,QE-CF-2026-0001,LGACT-2026-0001,FB-CF-0001,MRO_MAKE,2026/05/09 08:07:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
2,2,2,QE-CF-2026-0002,LGACT-2026-0002,FB-CF-0002,MRO_BUY,2026/05/10 08:14:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
3,3,3,QE-CF-2026-0003,LGACT-2026-0003,FB-CF-0003,MRO_ASSEMBLY,2026/05/11 08:21:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
4,4,4,QE-CF-2026-0004,LGACT-2026-0004,FB-CF-0004,MRO_SERVICE,2026/05/12 08:28:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
5,5,5,QE-CF-2026-0005,LGACT-2026-0005,FB-CF-0005,MRO_MAKE,2026/05/13 08:35:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
6,6,6,QE-CF-2026-0006,LGACT-2026-0006,FB-CF-0006,MRO_BUY,2026/05/14 08:42:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
7,7,7,QE-CF-2026-0007,LGACT-2026-0007,FB-CF-0007,MRO_ASSEMBLY,2026/05/15 08:49:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
8,8,8,QE-CF-2026-0008,LGACT-2026-0008,FB-CF-0008,MRO_SERVICE,2026/05/16 08:56:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
9,9,9,QE-CF-2026-0009,LGACT-2026-0009,FB-CF-0009,MRO_MAKE,2026/05/17 09:03:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
10,10,10,QE-CF-2026-0010,LGACT-2026-0010,FB-CF-0010,MRO_BUY,2026/05/18 09:10:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
11,11,11,QE-CF-2026-0011,LGACT-2026-0011,FB-CF-0011,MRO_ASSEMBLY,2026/05/19 09:17:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
12,12,12,QE-CF-2026-0012,LGACT-2026-0012,FB-CF-0012,MRO_SERVICE,2026/05/20 09:24:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
