repair_order_id,service_event_id,repair_order_no,component_serial_no,wo_no,task_title,plan_start_text,plan_finish_text,ro_state,report_man
1,1,WO-LG-2026-0001,LGACT-2026-0001,WO-LG-2026-0001,Piston Rod Assembly 001,2026/05/09 08:07:00,2026/05/09 08:07:00,MRO_OPEN,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked
2,2,WO-LG-2026-0002,LGACT-2026-0002,WO-LG-2026-0002,Cylinder Barrel Assembly 002,2026/05/10 08:14:00,2026/05/10 08:14:00,MRO_RUNNING,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the 
3,3,WO-LG-2026-0003,LGACT-2026-0003,WO-LG-2026-0003,Front End Cap 003,2026/05/11 08:21:00,2026/05/11 08:21:00,MRO_CLOSED,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linke
4,4,WO-LG-2026-0004,LGACT-2026-0004,WO-LG-2026-0004,Rear End Cap 004,2026/05/12 08:28:00,2026/05/12 08:28:00,MRO_HOLD,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has b
5,5,WO-LG-2026-0005,LGACT-2026-0005,WO-LG-2026-0005,Seal Ring Assembly 005,2026/05/13 08:35:00,2026/05/13 08:35:00,MRO_OPEN,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced
6,6,WO-LG-2026-0006,LGACT-2026-0006,WO-LG-2026-0006,Trunnion Bushing 006,2026/05/14 08:42:00,2026/05/14 08:42:00,MRO_RUNNING,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked t
7,7,WO-LG-2026-0007,LGACT-2026-0007,WO-LG-2026-0007,Spherical Bearing 007,2026/05/15 08:49:00,2026/05/15 08:49:00,MRO_CLOSED,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked
8,8,WO-LG-2026-0008,LGACT-2026-0008,WO-LG-2026-0008,Throttle Connector 008,2026/05/16 08:56:00,2026/05/16 08:56:00,MRO_HOLD,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to
9,9,WO-LG-2026-0009,LGACT-2026-0009,WO-LG-2026-0009,Displacement Sensor Bracket 009,2026/05/17 09:03:00,2026/05/17 09:03:00,MRO_OPEN,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked
10,10,WO-LG-2026-0010,LGACT-2026-0010,WO-LG-2026-0010,Locking Nut 010,2026/05/18 09:10:00,2026/05/18 09:10:00,MRO_RUNNING,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the 
11,11,WO-LG-2026-0011,LGACT-2026-0011,WO-LG-2026-0011,Piston Rod Assembly 011,2026/05/19 09:17:00,2026/05/19 09:17:00,MRO_CLOSED,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linke
12,12,WO-LG-2026-0012,LGACT-2026-0012,WO-LG-2026-0012,Cylinder Barrel Assembly 012,2026/05/20 09:24:00,2026/05/20 09:24:00,MRO_HOLD,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has b
13,13,WO-LG-2026-0013,LGACT-2026-0013,WO-LG-2026-0013,Front End Cap 013,2026/05/21 09:31:00,2026/05/21 09:31:00,MRO_OPEN,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced
14,14,WO-LG-2026-0014,LGACT-2026-0014,WO-LG-2026-0014,Rear End Cap 014,2026/05/22 09:38:00,2026/05/22 09:38:00,MRO_RUNNING,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked t
15,15,WO-LG-2026-0015,LGACT-2026-0015,WO-LG-2026-0015,Seal Ring Assembly 015,2026/05/23 09:45:00,2026/05/23 09:45:00,MRO_CLOSED,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked
16,16,WO-LG-2026-0016,LGACT-2026-0016,WO-LG-2026-0016,Trunnion Bushing 016,2026/05/24 09:52:00,2026/05/24 09:52:00,MRO_HOLD,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to
17,17,WO-LG-2026-0017,LGACT-2026-0017,WO-LG-2026-0017,Spherical Bearing 017,2026/05/25 09:59:00,2026/05/25 09:59:00,MRO_OPEN,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked
18,18,WO-LG-2026-0018,LGACT-2026-0018,WO-LG-2026-0018,Throttle Connector 018,2026/05/26 10:06:00,2026/05/26 10:06:00,MRO_RUNNING,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the 
19,19,WO-LG-2026-0019,LGACT-2026-0019,WO-LG-2026-0019,Displacement Sensor Bracket 019,2026/05/27 10:13:00,2026/05/27 10:13:00,MRO_CLOSED,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linke
20,20,WO-LG-2026-0020,LGACT-2026-0020,WO-LG-2026-0020,Locking Nut 020,2026/05/28 10:20:00,2026/05/28 10:20:00,MRO_HOLD,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has b
21,21,WO-LG-2026-0021,LGACT-2026-0021,WO-LG-2026-0021,Piston Rod Assembly 021,2026/05/29 10:27:00,2026/05/29 10:27:00,MRO_OPEN,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced
22,22,WO-LG-2026-0022,LGACT-2026-0022,WO-LG-2026-0022,Cylinder Barrel Assembly 022,2026/05/30 10:34:00,2026/05/30 10:34:00,MRO_RUNNING,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked t
23,23,WO-LG-2026-0023,LGACT-2026-0023,WO-LG-2026-0023,Front End Cap 023,2026/05/31 10:41:00,2026/05/31 10:41:00,MRO_CLOSED,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked
24,24,WO-LG-2026-0024,LGACT-2026-0024,WO-LG-2026-0024,Rear End Cap 024,2026/06/01 10:48:00,2026/06/01 10:48:00,MRO_HOLD,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to
25,25,WO-LG-2026-0025,LGACT-2026-0025,WO-LG-2026-0025,Seal Ring Assembly 025,2026/06/02 10:55:00,2026/06/02 10:55:00,MRO_OPEN,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked
26,26,WO-LG-2026-0026,LGACT-2026-0026,WO-LG-2026-0026,Trunnion Bushing 026,2026/06/03 11:02:00,2026/06/03 11:02:00,MRO_RUNNING,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the 
27,27,WO-LG-2026-0027,LGACT-2026-0027,WO-LG-2026-0027,Spherical Bearing 027,2026/06/04 11:09:00,2026/06/04 11:09:00,MRO_CLOSED,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linke
