service_event_id,event_no,component_serial_no,install_pos_code,service_time_text,event_kind_code,service_unit_code,service_unit_name,evt_state,event_summary
1,MRO-EVT-0001,LGACT-2026-0001,POS-LG-02,2026/05/09 08:07:00,MRO_MRO_FIELD,EA,EA,MRO_EV_OPEN,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.
2,MRO-EVT-0002,LGACT-2026-0002,POS-LG-03,2026/05/10 08:14:00,MRO_MRO_SHOP,EA,EA,MRO_EV_ANALYZE,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.
3,MRO-EVT-0003,LGACT-2026-0003,POS-LG-04,2026/05/11 08:21:00,MRO_MRO_INSPECT,EA,EA,MRO_EV_DISPOSE,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.
4,MRO-EVT-0004,LGACT-2026-0004,POS-LG-05,2026/05/12 08:28:00,MRO_MRO_RETROFIT,EA,EA,MRO_EV_CLOSED,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.
5,MRO-EVT-0005,LGACT-2026-0005,POS-LG-06,2026/05/13 08:35:00,MRO_MRO_FIELD,EA,EA,MRO_EV_OPEN,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.
6,MRO-EVT-0006,LGACT-2026-0006,POS-LG-01,2026/05/14 08:42:00,MRO_MRO_SHOP,EA,EA,MRO_EV_ANALYZE,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.
7,MRO-EVT-0007,LGACT-2026-0007,POS-LG-02,2026/05/15 08:49:00,MRO_MRO_INSPECT,EA,EA,MRO_EV_DISPOSE,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.
8,MRO-EVT-0008,LGACT-2026-0008,POS-LG-03,2026/05/16 08:56:00,MRO_MRO_RETROFIT,EA,EA,MRO_EV_CLOSED,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.
9,MRO-EVT-0009,LGACT-2026-0009,POS-LG-04,2026/05/17 09:03:00,MRO_MRO_FIELD,EA,EA,MRO_EV_OPEN,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.
10,MRO-EVT-0010,LGACT-2026-0010,POS-LG-05,2026/05/18 09:10:00,MRO_MRO_SHOP,EA,EA,MRO_EV_ANALYZE,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.
11,QE-CF-2026-0011,LGACT-2026-0011,POS-LG-06,2026/05/19 09:17:00,MRO_MRO_INSPECT,EA,EA,MRO_EV_DISPOSE,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.
12,QE-CF-2026-0012,LGACT-2026-0012,POS-LG-01,2026/05/20 09:24:00,MRO_MRO_RETROFIT,EA,EA,MRO_EV_CLOSED,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.
13,QE-CF-2026-0013,LGACT-2026-0013,POS-LG-02,2026/05/21 09:31:00,MRO_MRO_FIELD,EA,EA,MRO_EV_OPEN,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.
14,QE-CF-2026-0014,LGACT-2026-0014,POS-LG-03,2026/05/22 09:38:00,MRO_MRO_SHOP,EA,EA,MRO_EV_ANALYZE,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.
15,QE-CF-2026-0015,LGACT-2026-0015,POS-LG-04,2026/05/23 09:45:00,MRO_MRO_INSPECT,EA,EA,MRO_EV_DISPOSE,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.
16,QE-CF-2026-0016,LGACT-2026-0016,POS-LG-05,2026/05/24 09:52:00,MRO_MRO_RETROFIT,EA,EA,MRO_EV_CLOSED,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.
17,QE-CF-2026-0017,LGACT-2026-0017,POS-LG-06,2026/05/25 09:59:00,MRO_MRO_FIELD,EA,EA,MRO_EV_OPEN,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.
18,QE-CF-2026-0018,LGACT-2026-0018,POS-LG-01,2026/05/26 10:06:00,MRO_MRO_SHOP,EA,EA,MRO_EV_ANALYZE,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.
