actuator_model_id,gear_system_def_id,actuator_code,actuator_name,actuator_spec,dwg_no,config_no,model_status_cd,secret_lvl_cd,tech_status_text
1,1,CF-ACTUATORCO-0001,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0001,CONFIGNO-0001,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
2,2,CF-ACTUATORCO-0002,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0002,CONFIGNO-0002,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
3,3,CF-ACTUATORCO-0003,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0003,CONFIGNO-0003,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
4,4,CF-ACTUATORCO-0004,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0004,CONFIGNO-0004,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
5,5,CF-ACTUATORCO-0005,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0005,CONFIGNO-0005,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
6,6,CF-ACTUATORCO-0006,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0006,CONFIGNO-0006,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
7,7,CF-ACTUATORCO-0007,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0007,CONFIGNO-0007,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
8,8,CF-ACTUATORCO-0008,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0008,CONFIGNO-0008,PLM_HOLD,Throttle Connector a,PLM_HOLD
9,9,CF-ACTUATORCO-0009,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0009,CONFIGNO-0009,PLM_OPEN,Displacement Sensor ,PLM_OPEN
10,10,CF-ACTUATORCO-0010,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0010,CONFIGNO-0010,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
11,11,CF-ACTUATORCO-0011,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0011,CONFIGNO-0011,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
12,12,CF-ACTUATORCO-0012,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0012,CONFIGNO-0012,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
13,13,CF-ACTUATORCO-0013,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0013,CONFIGNO-0013,PLM_OPEN,Front End Cap aviati,PLM_OPEN
14,14,CF-ACTUATORCO-0014,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0014,CONFIGNO-0014,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
15,15,CF-ACTUATORCO-0015,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0015,CONFIGNO-0015,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
16,16,CF-ACTUATORCO-0016,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0016,CONFIGNO-0016,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
17,17,CF-ACTUATORCO-0017,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0017,CONFIGNO-0017,PLM_OPEN,Spherical Bearing av,PLM_OPEN
18,18,CF-ACTUATORCO-0018,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0018,CONFIGNO-0018,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
19,19,CF-ACTUATORCO-0019,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0019,CONFIGNO-0019,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
20,20,CF-ACTUATORCO-0020,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0020,CONFIGNO-0020,PLM_HOLD,Locking Nut aviation,PLM_HOLD
21,21,CF-ACTUATORCO-0021,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0021,CONFIGNO-0021,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
22,22,CF-ACTUATORCO-0022,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0022,CONFIGNO-0022,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
23,23,CF-ACTUATORCO-0023,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0023,CONFIGNO-0023,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
24,24,CF-ACTUATORCO-0024,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0024,CONFIGNO-0024,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
25,25,CF-ACTUATORCO-0025,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0025,CONFIGNO-0025,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
26,26,CF-ACTUATORCO-0026,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0026,CONFIGNO-0026,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
27,27,CF-ACTUATORCO-0027,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0027,CONFIGNO-0027,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
28,28,CF-ACTUATORCO-0028,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0028,CONFIGNO-0028,PLM_HOLD,Throttle Connector a,PLM_HOLD
29,29,CF-ACTUATORCO-0029,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0029,CONFIGNO-0029,PLM_OPEN,Displacement Sensor ,PLM_OPEN
30,30,CF-ACTUATORCO-0030,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0030,CONFIGNO-0030,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
31,31,CF-ACTUATORCO-0031,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0031,CONFIGNO-0031,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
32,32,CF-ACTUATORCO-0032,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0032,CONFIGNO-0032,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
33,33,CF-ACTUATORCO-0033,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0033,CONFIGNO-0033,PLM_OPEN,Front End Cap aviati,PLM_OPEN
34,34,CF-ACTUATORCO-0034,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0034,CONFIGNO-0034,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
35,35,CF-ACTUATORCO-0035,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0035,CONFIGNO-0035,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
36,36,CF-ACTUATORCO-0036,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0036,CONFIGNO-0036,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
37,37,CF-ACTUATORCO-0037,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0037,CONFIGNO-0037,PLM_OPEN,Spherical Bearing av,PLM_OPEN
38,38,CF-ACTUATORCO-0038,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0038,CONFIGNO-0038,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
39,39,CF-ACTUATORCO-0039,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0039,CONFIGNO-0039,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
40,40,CF-ACTUATORCO-0040,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0040,CONFIGNO-0040,PLM_HOLD,Locking Nut aviation,PLM_HOLD
41,41,CF-ACTUATORCO-0041,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0041,CONFIGNO-0041,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
42,42,CF-ACTUATORCO-0042,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0042,CONFIGNO-0042,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
43,43,CF-ACTUATORCO-0043,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0043,CONFIGNO-0043,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
44,44,CF-ACTUATORCO-0044,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0044,CONFIGNO-0044,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
45,45,CF-ACTUATORCO-0045,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0045,CONFIGNO-0045,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
46,46,CF-ACTUATORCO-0046,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0046,CONFIGNO-0046,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
47,47,CF-ACTUATORCO-0047,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0047,CONFIGNO-0047,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
48,48,CF-ACTUATORCO-0048,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0048,CONFIGNO-0048,PLM_HOLD,Throttle Connector a,PLM_HOLD
49,49,CF-ACTUATORCO-0049,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0049,CONFIGNO-0049,PLM_OPEN,Displacement Sensor ,PLM_OPEN
50,50,CF-ACTUATORCO-0050,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0050,CONFIGNO-0050,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
51,51,CF-ACTUATORCO-0051,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0051,CONFIGNO-0051,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
52,52,CF-ACTUATORCO-0052,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0052,CONFIGNO-0052,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
53,53,CF-ACTUATORCO-0053,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0053,CONFIGNO-0053,PLM_OPEN,Front End Cap aviati,PLM_OPEN
54,54,CF-ACTUATORCO-0054,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0054,CONFIGNO-0054,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
55,55,CF-ACTUATORCO-0055,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0055,CONFIGNO-0055,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
56,56,CF-ACTUATORCO-0056,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0056,CONFIGNO-0056,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
57,57,CF-ACTUATORCO-0057,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0057,CONFIGNO-0057,PLM_OPEN,Spherical Bearing av,PLM_OPEN
58,58,CF-ACTUATORCO-0058,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0058,CONFIGNO-0058,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
59,59,CF-ACTUATORCO-0059,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0059,CONFIGNO-0059,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
60,60,CF-ACTUATORCO-0060,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0060,CONFIGNO-0060,PLM_HOLD,Locking Nut aviation,PLM_HOLD
61,61,CF-ACTUATORCO-0061,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0061,CONFIGNO-0061,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
62,62,CF-ACTUATORCO-0062,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0062,CONFIGNO-0062,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
63,63,CF-ACTUATORCO-0063,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0063,CONFIGNO-0063,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
64,64,CF-ACTUATORCO-0064,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0064,CONFIGNO-0064,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
65,65,CF-ACTUATORCO-0065,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0065,CONFIGNO-0065,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
66,66,CF-ACTUATORCO-0066,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0066,CONFIGNO-0066,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
67,67,CF-ACTUATORCO-0067,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0067,CONFIGNO-0067,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
68,68,CF-ACTUATORCO-0068,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0068,CONFIGNO-0068,PLM_HOLD,Throttle Connector a,PLM_HOLD
