bom_line_id,bom_header_id,parent_part_master_id,child_part_master_id,line_no,item_no,qty_per_txt,uom,install_pos_code,find_no,alt_group,line_status_cd
1,1,1,1,1,MAT-LG-0001,20.850 MPa,PLM_EA,POS-LG-02,FINDNO-0001,Piston Rod Assembly is used for actuator assembly and issued,PLM_OPEN
2,2,2,2,2,MAT-LG-0002,0.080 mL/min,PLM_SET,POS-LG-03,FINDNO-0002,Cylinder Barrel Assembly is used for actuator assembly and i,PLM_RUNNING
3,3,3,3,3,MAT-LG-0003,155.150 mm,PLM_KG,POS-LG-04,FINDNO-0003,Front End Cap is used for actuator assembly and issued accor,PLM_CLOSED
4,4,4,4,4,MAT-LG-0004,5.100 s,PLM_M,POS-LG-05,FINDNO-0004,Rear End Cap is used for actuator assembly and issued accord,PLM_HOLD
5,5,5,5,5,MAT-LG-0005,37.7 C,PLM_EA,POS-LG-06,FINDNO-0005,Seal Ring Assembly is used for actuator assembly and issued ,PLM_OPEN
6,6,6,6,6,MAT-LG-0006,0.150 mm,PLM_SET,POS-LG-01,FINDNO-0006,Trunnion Bushing is used for actuator assembly and issued ac,PLM_RUNNING
7,7,7,7,7,MAT-LG-0007,23.400 MPa,PLM_KG,POS-LG-02,FINDNO-0007,Spherical Bearing is used for actuator assembly and issued a,PLM_CLOSED
8,8,8,8,8,MAT-LG-0008,0.220 mL/min,PLM_M,POS-LG-03,FINDNO-0008,Throttle Connector is used for actuator assembly and issued ,PLM_HOLD
9,9,9,9,9,MAT-LG-0009,155.300 mm,PLM_EA,POS-LG-04,FINDNO-0009,Displacement Sensor Bracket is used for actuator assembly an,PLM_OPEN
10,10,10,10,10,MAT-LG-0010,4.500 s,PLM_SET,POS-LG-05,FINDNO-0010,Locking Nut is used for actuator assembly and issued accordi,PLM_RUNNING
11,11,11,11,11,MAT-LG-0011,37.9 C,PLM_KG,POS-LG-06,FINDNO-0011,Piston Rod Assembly is used for actuator assembly and issued,PLM_CLOSED
12,12,12,12,12,MAT-LG-0012,0.180 mm,PLM_M,POS-LG-01,FINDNO-0012,Cylinder Barrel Assembly is used for actuator assembly and i,PLM_HOLD
13,13,13,13,13,MAT-LG-0013,23.400 MPa,PLM_EA,POS-LG-02,FINDNO-0013,Front End Cap is used for actuator assembly and issued accor,PLM_OPEN
14,14,14,14,14,MAT-LG-0014,0.140 mL/min,PLM_SET,POS-LG-03,FINDNO-0014,Rear End Cap is used for actuator assembly and issued accord,PLM_RUNNING
15,15,15,15,15,MAT-LG-0015,154.700 mm,PLM_KG,POS-LG-04,FINDNO-0015,Seal Ring Assembly is used for actuator assembly and issued ,PLM_CLOSED
16,16,16,16,16,MAT-LG-0016,4.650 s,PLM_M,POS-LG-05,FINDNO-0016,Trunnion Bushing is used for actuator assembly and issued ac,PLM_HOLD
17,17,17,17,17,MAT-LG-0017,38.0 C,PLM_EA,POS-LG-06,FINDNO-0017,Spherical Bearing is used for actuator assembly and issued a,PLM_OPEN
18,18,18,18,18,MAT-LG-0018,0.210 mm,PLM_SET,POS-LG-01,FINDNO-0018,Throttle Connector is used for actuator assembly and issued ,PLM_RUNNING
19,19,19,19,19,MAT-LG-0019,21.300 MPa,PLM_KG,POS-LG-02,FINDNO-0019,Displacement Sensor Bracket is used for actuator assembly an,PLM_CLOSED
20,20,20,20,20,MAT-LG-0020,0.020 mL/min,PLM_M,POS-LG-03,FINDNO-0020,Locking Nut is used for actuator assembly and issued accordi,PLM_HOLD
21,21,21,21,21,MAT-LG-0021,154.850 mm,PLM_EA,POS-LG-04,FINDNO-0021,Piston Rod Assembly is used for actuator assembly and issued,PLM_OPEN
22,22,22,22,22,MAT-LG-0022,4.800 s,PLM_SET,POS-LG-05,FINDNO-0022,Cylinder Barrel Assembly is used for actuator assembly and i,PLM_RUNNING
23,23,23,23,23,MAT-LG-0023,38.1 C,PLM_KG,POS-LG-06,FINDNO-0023,Front End Cap is used for actuator assembly and issued accor,PLM_CLOSED
24,24,24,24,24,MAT-LG-0024,0.240 mm,PLM_M,POS-LG-01,FINDNO-0024,Rear End Cap is used for actuator assembly and issued accord,PLM_HOLD
25,25,25,25,25,MAT-LG-0025,20.700 MPa,PLM_EA,POS-LG-02,FINDNO-0025,Seal Ring Assembly is used for actuator assembly and issued ,PLM_OPEN
26,26,26,26,26,MAT-LG-0026,0.220 mL/min,PLM_SET,POS-LG-03,FINDNO-0026,Trunnion Bushing is used for actuator assembly and issued ac,PLM_RUNNING
27,27,27,27,27,MAT-LG-0027,155.000 mm,PLM_KG,POS-LG-04,FINDNO-0027,Spherical Bearing is used for actuator assembly and issued a,PLM_CLOSED
28,28,28,28,28,MAT-LG-0028,4.950 s,PLM_M,POS-LG-05,FINDNO-0028,Throttle Connector is used for actuator assembly and issued ,PLM_HOLD
29,29,29,29,29,MAT-LG-0029,38.3 C,PLM_EA,POS-LG-06,FINDNO-0029,Displacement Sensor Bracket is used for actuator assembly an,PLM_OPEN
30,30,30,30,30,MAT-LG-0030,0.120 mm,PLM_SET,POS-LG-01,FINDNO-0030,Locking Nut is used for actuator assembly and issued accordi,PLM_RUNNING
31,31,31,31,31,MAT-LG-0031,20.850 MPa,PLM_KG,POS-LG-02,FINDNO-0031,Piston Rod Assembly is used for actuator assembly and issued,PLM_CLOSED
32,32,32,32,32,MAT-LG-0032,0.080 mL/min,PLM_M,POS-LG-03,FINDNO-0032,Cylinder Barrel Assembly is used for actuator assembly and i,PLM_HOLD
33,33,33,33,33,MAT-LG-0033,155.150 mm,PLM_EA,POS-LG-04,FINDNO-0033,Front End Cap is used for actuator assembly and issued accor,PLM_OPEN
34,34,34,34,34,MAT-LG-0034,5.100 s,PLM_SET,POS-LG-05,FINDNO-0034,Rear End Cap is used for actuator assembly and issued accord,PLM_RUNNING
35,35,35,35,35,MAT-LG-0035,37.7 C,PLM_KG,POS-LG-06,FINDNO-0035,Seal Ring Assembly is used for actuator assembly and issued ,PLM_CLOSED
36,36,36,36,36,MAT-LG-0036,0.150 mm,PLM_M,POS-LG-01,FINDNO-0036,Trunnion Bushing is used for actuator assembly and issued ac,PLM_HOLD
37,37,37,37,37,MAT-LG-0037,21.000 MPa,PLM_EA,POS-LG-02,FINDNO-0037,Spherical Bearing is used for actuator assembly and issued a,PLM_OPEN
38,38,38,38,38,MAT-LG-0038,0.110 mL/min,PLM_SET,POS-LG-03,FINDNO-0038,Throttle Connector is used for actuator assembly and issued ,PLM_RUNNING
39,39,39,39,39,MAT-LG-0039,158.400 mm,PLM_KG,POS-LG-04,FINDNO-0039,Displacement Sensor Bracket is used for actuator assembly an,PLM_CLOSED
40,40,40,40,40,MAT-LG-0040,4.500 s,PLM_M,POS-LG-05,FINDNO-0040,Locking Nut is used for actuator assembly and issued accordi,PLM_HOLD
41,41,41,41,41,MAT-LG-0041,37.9 C,PLM_EA,POS-LG-06,FINDNO-0041,Piston Rod Assembly is used for actuator assembly and issued,PLM_OPEN
42,42,42,42,42,MAT-LG-0042,0.180 mm,PLM_SET,POS-LG-01,FINDNO-0042,Cylinder Barrel Assembly is used for actuator assembly and i,PLM_RUNNING
43,43,43,43,43,MAT-LG-0043,21.150 MPa,PLM_KG,POS-LG-02,FINDNO-0043,Front End Cap is used for actuator assembly and issued accor,PLM_CLOSED
