design_revision_id,actuator_model_id,rev_no,rev_name,dwg_no,doc_rev,issue_status_cd,eff_date_txt,expire_date_txt,released_by
1,1,REV-2.0,Piston Rod Assembly 001,DWG-LGACT-0001,REV-2.0,PLM_OPEN,20260509,20260509,Piston Rod Assembly aviation manufacturing business record used for actuator qua
2,2,REV-3.0,Cylinder Barrel Assembly 002,DWG-LGACT-0002,REV-3.0,PLM_RUNNING,20260510,20260510,Cylinder Barrel Assembly aviation manufacturing business record used for actuato
3,3,REV-4.0,Front End Cap 003,DWG-LGACT-0003,REV-4.0,PLM_CLOSED,20260511,20260511,Front End Cap aviation manufacturing business record used for actuator quality t
4,4,REV-5.0,Rear End Cap 004,DWG-LGACT-0004,REV-5.0,PLM_HOLD,20260512,20260512,Rear End Cap aviation manufacturing business record used for actuator quality tr
5,5,REV-1.0,Seal Ring Assembly 005,DWG-LGACT-0005,REV-1.0,PLM_OPEN,20260513,20260513,Seal Ring Assembly aviation manufacturing business record used for actuator qual
6,6,REV-2.0,Trunnion Bushing 006,DWG-LGACT-0006,REV-2.0,PLM_RUNNING,20260514,20260514,Trunnion Bushing aviation manufacturing business record used for actuator qualit
7,7,REV-3.0,Spherical Bearing 007,DWG-LGACT-0007,REV-3.0,PLM_CLOSED,20260515,20260515,Spherical Bearing aviation manufacturing business record used for actuator quali
8,8,REV-4.0,Throttle Connector 008,DWG-LGACT-0008,REV-4.0,PLM_HOLD,20260516,20260516,Throttle Connector aviation manufacturing business record used for actuator qual
9,9,REV-5.0,Displacement Sensor Bracket 009,DWG-LGACT-0009,REV-5.0,PLM_OPEN,20260517,20260517,Displacement Sensor Bracket aviation manufacturing business record used for actu
10,10,REV-1.0,Locking Nut 010,DWG-LGACT-0010,REV-1.0,PLM_RUNNING,20260518,20260518,Locking Nut aviation manufacturing business record used for actuator quality tra
11,11,REV-2.0,Piston Rod Assembly 011,DWG-LGACT-0011,REV-2.0,PLM_CLOSED,20260519,20260519,Piston Rod Assembly aviation manufacturing business record used for actuator qua
12,12,REV-3.0,Cylinder Barrel Assembly 012,DWG-LGACT-0012,REV-3.0,PLM_HOLD,20260520,20260520,Cylinder Barrel Assembly aviation manufacturing business record used for actuato
13,13,REV-4.0,Front End Cap 013,DWG-LGACT-0013,REV-4.0,PLM_OPEN,20260521,20260521,Front End Cap aviation manufacturing business record used for actuator quality t
14,14,REV-5.0,Rear End Cap 014,DWG-LGACT-0014,REV-5.0,PLM_RUNNING,20260522,20260522,Rear End Cap aviation manufacturing business record used for actuator quality tr
15,15,REV-1.0,Seal Ring Assembly 015,DWG-LGACT-0015,REV-1.0,PLM_CLOSED,20260523,20260523,Seal Ring Assembly aviation manufacturing business record used for actuator qual
16,16,REV-2.0,Trunnion Bushing 016,DWG-LGACT-0016,REV-2.0,PLM_HOLD,20260524,20260524,Trunnion Bushing aviation manufacturing business record used for actuator qualit
17,17,REV-3.0,Spherical Bearing 017,DWG-LGACT-0017,REV-3.0,PLM_OPEN,20260525,20260525,Spherical Bearing aviation manufacturing business record used for actuator quali
