operation_card_id,route_card_id,op_no,workid,op_name,seq_no_txt,std_hours_txt,resource_type,special_proc_cd,key_op_flag
1,1,OP020,WO-LG-2026-0001,Cylinder Barrel Rough Machining,002,21.000 MPa,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
2,2,OP030,WO-LG-2026-0002,Piston Rod Precision Grinding,003,0.080 mL/min,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
3,3,OP040,WO-LG-2026-0003,Inner Bore Honing,004,155.000 mm,PLM_ASSEMBLY,Inner Bore Honing process reco,PLM_QUALIF
4,4,OP050,WO-LG-2026-0004,Chrome Plating Layer Grinding,005,4.800 s,PLM_SERVICE,Chrome Plating Layer Grinding ,PLM_CLOSED
5,5,OP060,WO-LG-2026-0005,Seal Component Assembly,006,38.0 C,PLM_MAKE,Seal Component Assembly proces,PLM_NORMAL
6,6,OP070,WO-LG-2026-0006,Actuator Final Assembly,007,0.180 mm,PLM_BUY,Actuator Final Assembly proces,PLM_WARNIN
7,7,OP080,WO-LG-2026-0007,Pressure Holding Test,008,21.000 MPa,PLM_ASSEMBLY,Pressure Holding Test process ,PLM_QUALIF
8,8,OP010,WO-LG-2026-0008,Extension and Retraction Function Test,009,0.080 mL/min,PLM_SERVICE,Extension and Retraction Funct,PLM_CLOSED
9,9,OP020,WO-LG-2026-0009,Cylinder Barrel Rough Machining,001,155.000 mm,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
10,10,OP030,WO-LG-2026-0010,Piston Rod Precision Grinding,002,4.800 s,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
11,11,OP040,WO-LG-2026-0011,Inner Bore Honing,003,38.0 C,PLM_ASSEMBLY,Inner Bore Honing process reco,PLM_QUALIF
12,12,OP050,WO-LG-2026-0012,Chrome Plating Layer Grinding,004,0.180 mm,PLM_SERVICE,Chrome Plating Layer Grinding ,PLM_CLOSED
13,13,OP060,WO-LG-2026-0013,Seal Component Assembly,005,21.000 MPa,PLM_MAKE,Seal Component Assembly proces,PLM_NORMAL
14,14,OP070,WO-LG-2026-0014,Actuator Final Assembly,006,0.080 mL/min,PLM_BUY,Actuator Final Assembly proces,PLM_WARNIN
15,15,OP080,WO-LG-2026-0015,Pressure Holding Test,007,155.000 mm,PLM_ASSEMBLY,Pressure Holding Test process ,PLM_QUALIF
16,16,OP010,WO-LG-2026-0016,Extension and Retraction Function Test,008,4.800 s,PLM_SERVICE,Extension and Retraction Funct,PLM_CLOSED
17,17,OP020,WO-LG-2026-0017,Cylinder Barrel Rough Machining,009,38.0 C,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
18,18,OP030,WO-LG-2026-0018,Piston Rod Precision Grinding,001,0.180 mm,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
19,19,OP040,WO-LG-2026-0019,Inner Bore Honing,002,21.000 MPa,PLM_ASSEMBLY,Inner Bore Honing process reco,PLM_QUALIF
20,20,OP050,WO-LG-2026-0020,Chrome Plating Layer Grinding,003,0.080 mL/min,PLM_SERVICE,Chrome Plating Layer Grinding ,PLM_CLOSED
21,21,OP060,WO-LG-2026-0021,Seal Component Assembly,004,155.000 mm,PLM_MAKE,Seal Component Assembly proces,PLM_NORMAL
22,22,OP070,WO-LG-2026-0022,Actuator Final Assembly,005,4.800 s,PLM_BUY,Actuator Final Assembly proces,PLM_WARNIN
23,23,OP080,WO-LG-2026-0023,Pressure Holding Test,006,38.0 C,PLM_ASSEMBLY,Pressure Holding Test process ,PLM_QUALIF
24,24,OP010,WO-LG-2026-0024,Extension and Retraction Function Test,007,0.180 mm,PLM_SERVICE,Extension and Retraction Funct,PLM_CLOSED
25,25,OP020,WO-LG-2026-0025,Cylinder Barrel Rough Machining,008,21.000 MPa,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
26,26,OP030,WO-LG-2026-0026,Piston Rod Precision Grinding,009,0.080 mL/min,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
27,27,OP040,WO-LG-2026-0027,Inner Bore Honing,001,155.000 mm,PLM_ASSEMBLY,Inner Bore Honing process reco,PLM_QUALIF
28,28,OP050,WO-LG-2026-0028,Chrome Plating Layer Grinding,002,4.800 s,PLM_SERVICE,Chrome Plating Layer Grinding ,PLM_CLOSED
29,29,OP060,WO-LG-2026-0029,Seal Component Assembly,003,38.0 C,PLM_MAKE,Seal Component Assembly proces,PLM_NORMAL
30,30,OP070,WO-LG-2026-0030,Actuator Final Assembly,004,0.180 mm,PLM_BUY,Actuator Final Assembly proces,PLM_WARNIN
31,31,OP080,WO-LG-2026-0031,Pressure Holding Test,005,21.000 MPa,PLM_ASSEMBLY,Pressure Holding Test process ,PLM_QUALIF
32,32,OP010,WO-LG-2026-0032,Extension and Retraction Function Test,006,0.080 mL/min,PLM_SERVICE,Extension and Retraction Funct,PLM_CLOSED
33,33,OP020,WO-LG-2026-0033,Cylinder Barrel Rough Machining,007,155.000 mm,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
34,34,OP030,WO-LG-2026-0034,Piston Rod Precision Grinding,008,4.800 s,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
35,35,OP040,WO-LG-2026-0035,Inner Bore Honing,009,38.0 C,PLM_ASSEMBLY,Inner Bore Honing process reco,PLM_QUALIF
36,36,OP050,WO-LG-2026-0036,Chrome Plating Layer Grinding,001,0.180 mm,PLM_SERVICE,Chrome Plating Layer Grinding ,PLM_CLOSED
37,37,OP060,WO-LG-2026-0037,Seal Component Assembly,002,21.000 MPa,PLM_MAKE,Seal Component Assembly proces,PLM_NORMAL
38,38,OP070,WO-LG-2026-0038,Actuator Final Assembly,003,0.080 mL/min,PLM_BUY,Actuator Final Assembly proces,PLM_WARNIN
39,39,OP080,WO-LG-2026-0039,Pressure Holding Test,004,155.000 mm,PLM_ASSEMBLY,Pressure Holding Test process ,PLM_QUALIF
40,40,OP010,WO-LG-2026-0040,Extension and Retraction Function Test,005,4.800 s,PLM_SERVICE,Extension and Retraction Funct,PLM_CLOSED
41,41,OP020,WO-LG-2026-0041,Cylinder Barrel Rough Machining,006,38.0 C,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
42,42,OP030,WO-LG-2026-0042,Piston Rod Precision Grinding,007,0.180 mm,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
43,43,OP040,WO-LG-2026-0043,Inner Bore Honing,008,21.000 MPa,PLM_ASSEMBLY,Inner Bore Honing process reco,PLM_QUALIF
44,44,OP050,WO-LG-2026-0044,Chrome Plating Layer Grinding,009,0.080 mL/min,PLM_SERVICE,Chrome Plating Layer Grinding ,PLM_CLOSED
45,45,OP060,WO-LG-2026-0045,Seal Component Assembly,001,155.000 mm,PLM_MAKE,Seal Component Assembly proces,PLM_NORMAL
46,46,OP070,WO-LG-2026-0046,Actuator Final Assembly,002,4.800 s,PLM_BUY,Actuator Final Assembly proces,PLM_WARNIN
47,47,OP080,WO-LG-2026-0047,Pressure Holding Test,003,38.0 C,PLM_ASSEMBLY,Pressure Holding Test process ,PLM_QUALIF
48,48,OP010,WO-LG-2026-0048,Extension and Retraction Function Test,004,0.180 mm,PLM_SERVICE,Extension and Retraction Funct,PLM_CLOSED
49,49,OP020,WO-LG-2026-0049,Cylinder Barrel Rough Machining,005,21.000 MPa,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
50,50,OP030,WO-LG-2026-0050,Piston Rod Precision Grinding,006,0.080 mL/min,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
