route_card_id,actuator_model_id,part_master_id,design_revision_id,route_no,route_name,route_class_cd,proc_doc_rev,release_state_cd,planned_time_unit
1,1,1,1,RT-LGACT-0001,Piston Rod Assembly Manufacturing Process Route,PLM_MAKE,REV-2.0,PLM_OPEN,EA
2,2,2,2,RT-LGACT-0002,Cylinder Barrel Assembly Manufacturing Process Route,PLM_BUY,REV-3.0,PLM_RUNNING,EA
3,3,3,3,RT-LGACT-0003,Front End Cap Manufacturing Process Route,PLM_ASSEMBLY,REV-4.0,PLM_CLOSED,EA
4,4,4,4,RT-LGACT-0004,Rear End Cap Manufacturing Process Route,PLM_SERVICE,REV-5.0,PLM_HOLD,EA
5,5,5,5,RT-LGACT-0005,Seal Ring Assembly Manufacturing Process Route,PLM_MAKE,REV-1.0,PLM_OPEN,EA
6,6,6,6,RT-LGACT-0006,Trunnion Bushing Manufacturing Process Route,PLM_BUY,REV-2.0,PLM_RUNNING,EA
7,7,7,7,RT-LGACT-0007,Spherical Bearing Manufacturing Process Route,PLM_ASSEMBLY,REV-3.0,PLM_CLOSED,EA
8,8,8,8,RT-LGACT-0008,Throttle Connector Manufacturing Process Route,PLM_SERVICE,REV-4.0,PLM_HOLD,EA
9,9,9,9,RT-LGACT-0009,Displacement Sensor Bracket Manufacturing Process Route,PLM_MAKE,REV-5.0,PLM_OPEN,EA
10,10,10,10,RT-LGACT-0010,Locking Nut Manufacturing Process Route,PLM_BUY,REV-1.0,PLM_RUNNING,EA
11,11,11,11,RT-LGACT-0011,Piston Rod Assembly Manufacturing Process Route,PLM_ASSEMBLY,REV-2.0,PLM_CLOSED,EA
12,12,12,12,RT-LGACT-0012,Cylinder Barrel Assembly Manufacturing Process Route,PLM_SERVICE,REV-3.0,PLM_HOLD,EA
13,13,13,13,RT-LGACT-0013,Front End Cap Manufacturing Process Route,PLM_MAKE,REV-4.0,PLM_OPEN,EA
14,14,14,14,RT-LGACT-0014,Rear End Cap Manufacturing Process Route,PLM_BUY,REV-5.0,PLM_RUNNING,EA
15,15,15,15,RT-LGACT-0015,Seal Ring Assembly Manufacturing Process Route,PLM_ASSEMBLY,REV-1.0,PLM_CLOSED,EA
16,16,16,16,RT-LGACT-0016,Trunnion Bushing Manufacturing Process Route,PLM_SERVICE,REV-2.0,PLM_HOLD,EA
17,17,17,17,RT-LGACT-0017,Spherical Bearing Manufacturing Process Route,PLM_MAKE,REV-3.0,PLM_OPEN,EA
18,18,18,18,RT-LGACT-0018,Throttle Connector Manufacturing Process Route,PLM_BUY,REV-4.0,PLM_RUNNING,EA
19,19,19,19,RT-LGACT-0019,Displacement Sensor Bracket Manufacturing Process Route,PLM_ASSEMBLY,REV-5.0,PLM_CLOSED,EA
20,20,20,20,RT-LGACT-0020,Locking Nut Manufacturing Process Route,PLM_SERVICE,REV-1.0,PLM_HOLD,EA
21,21,21,21,RT-LGACT-0021,Piston Rod Assembly Manufacturing Process Route,PLM_MAKE,REV-2.0,PLM_OPEN,EA
22,22,22,22,RT-LGACT-0022,Cylinder Barrel Assembly Manufacturing Process Route,PLM_BUY,REV-3.0,PLM_RUNNING,EA
23,23,23,23,RT-LGACT-0023,Front End Cap Manufacturing Process Route,PLM_ASSEMBLY,REV-4.0,PLM_CLOSED,EA
24,24,24,24,RT-LGACT-0024,Rear End Cap Manufacturing Process Route,PLM_SERVICE,REV-5.0,PLM_HOLD,EA
25,25,25,25,RT-LGACT-0025,Seal Ring Assembly Manufacturing Process Route,PLM_MAKE,REV-1.0,PLM_OPEN,EA
26,26,26,26,RT-LGACT-0026,Trunnion Bushing Manufacturing Process Route,PLM_BUY,REV-2.0,PLM_RUNNING,EA
27,27,27,27,RT-LGACT-0027,Spherical Bearing Manufacturing Process Route,PLM_ASSEMBLY,REV-3.0,PLM_CLOSED,EA
28,28,28,28,RT-LGACT-0028,Throttle Connector Manufacturing Process Route,PLM_SERVICE,REV-4.0,PLM_HOLD,EA
29,29,29,29,RT-LGACT-0029,Displacement Sensor Bracket Manufacturing Process Route,PLM_MAKE,REV-5.0,PLM_OPEN,EA
30,30,30,30,RT-LGACT-0030,Locking Nut Manufacturing Process Route,PLM_BUY,REV-1.0,PLM_RUNNING,EA
31,31,31,31,RT-LGACT-0031,Piston Rod Assembly Manufacturing Process Route,PLM_ASSEMBLY,REV-2.0,PLM_CLOSED,EA
32,32,32,32,RT-LGACT-0032,Cylinder Barrel Assembly Manufacturing Process Route,PLM_SERVICE,REV-3.0,PLM_HOLD,EA
33,33,33,33,RT-LGACT-0033,Front End Cap Manufacturing Process Route,PLM_MAKE,REV-4.0,PLM_OPEN,EA
34,34,34,34,RT-LGACT-0034,Rear End Cap Manufacturing Process Route,PLM_BUY,REV-5.0,PLM_RUNNING,EA
35,35,35,35,RT-LGACT-0035,Seal Ring Assembly Manufacturing Process Route,PLM_ASSEMBLY,REV-1.0,PLM_CLOSED,EA
36,36,36,36,RT-LGACT-0036,Trunnion Bushing Manufacturing Process Route,PLM_SERVICE,REV-2.0,PLM_HOLD,EA
37,37,37,37,RT-LGACT-0037,Spherical Bearing Manufacturing Process Route,PLM_MAKE,REV-3.0,PLM_OPEN,EA
38,38,38,38,RT-LGACT-0038,Throttle Connector Manufacturing Process Route,PLM_BUY,REV-4.0,PLM_RUNNING,EA
39,39,39,39,RT-LGACT-0039,Displacement Sensor Bracket Manufacturing Process Route,PLM_ASSEMBLY,REV-5.0,PLM_CLOSED,EA
40,40,40,40,RT-LGACT-0040,Locking Nut Manufacturing Process Route,PLM_SERVICE,REV-1.0,PLM_HOLD,EA
41,41,41,41,RT-LGACT-0041,Piston Rod Assembly Manufacturing Process Route,PLM_MAKE,REV-2.0,PLM_OPEN,EA
42,42,42,42,RT-LGACT-0042,Cylinder Barrel Assembly Manufacturing Process Route,PLM_BUY,REV-3.0,PLM_RUNNING,EA
43,43,43,43,RT-LGACT-0043,Front End Cap Manufacturing Process Route,PLM_ASSEMBLY,REV-4.0,PLM_CLOSED,EA
44,44,44,44,RT-LGACT-0044,Rear End Cap Manufacturing Process Route,PLM_SERVICE,REV-5.0,PLM_HOLD,EA
45,45,45,45,RT-LGACT-0045,Seal Ring Assembly Manufacturing Process Route,PLM_MAKE,REV-1.0,PLM_OPEN,EA
46,46,46,46,RT-LGACT-0046,Trunnion Bushing Manufacturing Process Route,PLM_BUY,REV-2.0,PLM_RUNNING,EA
47,47,47,47,RT-LGACT-0047,Spherical Bearing Manufacturing Process Route,PLM_ASSEMBLY,REV-3.0,PLM_CLOSED,EA
48,48,48,48,RT-LGACT-0048,Throttle Connector Manufacturing Process Route,PLM_SERVICE,REV-4.0,PLM_HOLD,EA
49,49,49,49,RT-LGACT-0049,Displacement Sensor Bracket Manufacturing Process Route,PLM_MAKE,REV-5.0,PLM_OPEN,EA
