technical_parameter_id,operation_card_id,para_code,para_short_name,unit_txt,nominal_txt,lsl_txt,usl_txt,ctrl_grade_cd,spec_expr
1,1,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 20.850 MPa, with standard range from 19.500 MPa to 22.500 MPa."
2,2,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.080 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
3,3,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.150 mm, with standard range from 153.000 mm to 157.000 mm."
4,4,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 5.100 s, with standard range from 4.000 s to 5.500 s."
5,5,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 37.7 C, with standard range from 20.0 C to 55.0 C."
6,6,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.150 mm, with standard range from 0.100 mm to 0.250 mm."
7,7,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 23.400 MPa, with standard range from 19.500 MPa to 22.500 MPa."
8,8,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.220 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
9,9,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.300 mm, with standard range from 153.000 mm to 157.000 mm."
10,10,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.500 s, with standard range from 4.000 s to 5.500 s."
11,11,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 37.9 C, with standard range from 20.0 C to 55.0 C."
12,12,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.180 mm, with standard range from 0.100 mm to 0.250 mm."
13,13,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 23.400 MPa, with standard range from 19.500 MPa to 22.500 MPa."
14,14,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.140 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
15,15,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 154.700 mm, with standard range from 153.000 mm to 157.000 mm."
16,16,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.650 s, with standard range from 4.000 s to 5.500 s."
17,17,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.0 C, with standard range from 20.0 C to 55.0 C."
18,18,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.210 mm, with standard range from 0.100 mm to 0.250 mm."
19,19,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.300 MPa, with standard range from 19.500 MPa to 22.500 MPa."
20,20,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.020 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
21,21,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 154.850 mm, with standard range from 153.000 mm to 157.000 mm."
22,22,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.800 s, with standard range from 4.000 s to 5.500 s."
23,23,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 38.1 C, with standard range from 20.0 C to 55.0 C."
24,24,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.240 mm, with standard range from 0.100 mm to 0.250 mm."
25,25,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 20.700 MPa, with standard range from 19.500 MPa to 22.500 MPa."
26,26,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.220 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
27,27,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.000 mm, with standard range from 153.000 mm to 157.000 mm."
28,28,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.950 s, with standard range from 4.000 s to 5.500 s."
29,29,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.3 C, with standard range from 20.0 C to 55.0 C."
30,30,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.120 mm, with standard range from 0.100 mm to 0.250 mm."
31,31,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 20.850 MPa, with standard range from 19.500 MPa to 22.500 MPa."
32,32,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.080 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
33,33,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.150 mm, with standard range from 153.000 mm to 157.000 mm."
34,34,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 5.100 s, with standard range from 4.000 s to 5.500 s."
35,35,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 37.7 C, with standard range from 20.0 C to 55.0 C."
36,36,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.150 mm, with standard range from 0.100 mm to 0.250 mm."
37,37,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 21.000 MPa, with standard range from 19.500 MPa to 22.500 MPa."
38,38,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.110 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
39,39,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 158.400 mm, with standard range from 153.000 mm to 157.000 mm."
40,40,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.500 s, with standard range from 4.000 s to 5.500 s."
41,41,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 37.9 C, with standard range from 20.0 C to 55.0 C."
42,42,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.180 mm, with standard range from 0.100 mm to 0.250 mm."
43,43,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.150 MPa, with standard range from 19.500 MPa to 22.500 MPa."
44,44,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.140 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
45,45,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 154.700 mm, with standard range from 153.000 mm to 157.000 mm."
46,46,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.650 s, with standard range from 4.000 s to 5.500 s."
47,47,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 38.0 C, with standard range from 20.0 C to 55.0 C."
48,48,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.210 mm, with standard range from 0.100 mm to 0.250 mm."
49,49,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 21.300 MPa, with standard range from 19.500 MPa to 22.500 MPa."
50,50,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.020 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
51,51,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 154.850 mm, with standard range from 153.000 mm to 157.000 mm."
52,52,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 6.200 s, with standard range from 4.000 s to 5.500 s."
53,53,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.1 C, with standard range from 20.0 C to 55.0 C."
54,54,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.240 mm, with standard range from 0.100 mm to 0.250 mm."
55,55,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 20.700 MPa, with standard range from 19.500 MPa to 22.500 MPa."
56,56,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.050 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
