disposal_order_id,quality_event_doc_id,iqs_failure_id,iqs_failure_content_id,work_order_no,responsible_user_code,disposal_no,deal_type_find_code,deal_type_pass_code,deal_type_tech_code,disposal_type_code,disposal_desc,disposal_date_text,disposal_status_code
1,1,1,1,WO-LG-2026-0001,PERS-0001,DSP-CF-0001,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/09 08:07:00,QMS_OPEN
2,2,2,2,WO-LG-2026-0002,PERS-0002,DSP-CF-0002,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/10 08:14:00,QMS_RUNNING
3,3,3,3,WO-LG-2026-0003,PERS-0003,DSP-CF-0003,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/11 08:21:00,QMS_CLOSED
4,4,4,4,WO-LG-2026-0004,PERS-0004,DSP-CF-0004,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Actuation Time was rechecked against acceptance requirements.",2026/05/12 08:28:00,QMS_HOLD
5,5,5,5,WO-LG-2026-0005,PERS-0005,DSP-CF-0005,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/13 08:35:00,QMS_OPEN
6,6,6,6,WO-LG-2026-0006,PERS-0006,DSP-CF-0006,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Locking Clearance was rechecked against acceptance requirements.",2026/05/14 08:42:00,QMS_RUNNING
7,7,7,7,WO-LG-2026-0007,PERS-0007,DSP-CF-0007,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/15 08:49:00,QMS_CLOSED
8,8,8,8,WO-LG-2026-0008,PERS-0008,DSP-CF-0008,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/16 08:56:00,QMS_HOLD
9,9,9,9,WO-LG-2026-0009,PERS-0009,DSP-CF-0009,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/17 09:03:00,QMS_OPEN
10,10,10,10,WO-LG-2026-0010,PERS-0010,DSP-CF-0010,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Actuation Time was rechecked against acceptance requirements.",2026/05/18 09:10:00,QMS_RUNNING
