inspection_item_id,inspection_doc_id,spec_code,item_code,item_name,measured_text,standard_text,lower_limit_text,upper_limit_text,uom,judge_code
1,1,SPEC-HYD-0001,CHK-02,Piston Rod Chrome Plating Visual Inspection,20.850 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_MPA,QMS_Q_PASS
2,2,SPEC-HYD-0002,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,0.080 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_MM,QMS_Q_FAIL
3,3,SPEC-HYD-0003,CHK-04,Sealing Performance Inspection,155.150 mm,155.000 mm,153.000 mm,157.000 mm,QMS_ML_MIN,QMS_Q_RECHECK
4,4,SPEC-HYD-0004,CHK-05,Pressure Holding Leakage Rate Recheck,5.100 s,4.800 s,4.000 s,5.500 s,QMS_SEC,QMS_Q_WAIT
5,5,SPEC-HYD-0005,CHK-06,Extension and Retraction Stroke Measurement,37.7 C,38.0 C,20.0 C,55.0 C,QMS_MPA,QMS_Q_PASS
6,6,SPEC-HYD-0006,CHK-07,Trunnion Bushing Fit Clearance Inspection,0.150 mm,0.180 mm,0.100 mm,0.250 mm,QMS_MM,QMS_Q_FAIL
7,7,SPEC-HYD-0007,CHK-08,Hydraulic Fitting Leakage Inspection,23.400 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_ML_MIN,QMS_Q_RECHECK
8,8,SPEC-HYD-0008,CHK-01,Final Functional Test,0.220 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_SEC,QMS_Q_WAIT
9,9,SPEC-HYD-0009,CHK-02,Piston Rod Chrome Plating Visual Inspection,155.300 mm,155.000 mm,153.000 mm,157.000 mm,QMS_MPA,QMS_Q_PASS
10,10,SPEC-HYD-0010,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,4.500 s,4.800 s,4.000 s,5.500 s,QMS_MM,QMS_Q_FAIL
11,11,SPEC-HYD-0011,CHK-04,Sealing Performance Inspection,37.9 C,38.0 C,20.0 C,55.0 C,QMS_ML_MIN,QMS_Q_RECHECK
12,12,SPEC-HYD-0012,CHK-05,Pressure Holding Leakage Rate Recheck,0.180 mm,0.180 mm,0.100 mm,0.250 mm,QMS_SEC,QMS_Q_WAIT
13,13,SPEC-HYD-0013,CHK-06,Extension and Retraction Stroke Measurement,23.400 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_MPA,QMS_Q_PASS
14,14,SPEC-HYD-0014,CHK-07,Trunnion Bushing Fit Clearance Inspection,0.140 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_MM,QMS_Q_FAIL
15,15,SPEC-HYD-0015,CHK-08,Hydraulic Fitting Leakage Inspection,154.700 mm,155.000 mm,153.000 mm,157.000 mm,QMS_ML_MIN,QMS_Q_RECHECK
16,16,SPEC-HYD-0016,CHK-01,Final Functional Test,4.650 s,4.800 s,4.000 s,5.500 s,QMS_SEC,QMS_Q_WAIT
17,17,SPEC-HYD-0017,CHK-02,Piston Rod Chrome Plating Visual Inspection,38.0 C,38.0 C,20.0 C,55.0 C,QMS_MPA,QMS_Q_PASS
