iqs_failure_id,quality_event_doc_id,inspection_doc_id,defect_log_id,component_serial_no,part_serial_no,work_order_no,op_no,supplier_code,maintenance_event_no,doc_source,failure_type,quality_code,iqs_failure_order,task_code,product_code,product_name,piece_no,find_dept_code,find_dept_name,doc_status_code,secret_level_code,starttime_text,finishtime_text
1,1,1,1,LGACT-2026-0001,PIN-2026-0001,WO-LG-2026-0001,OP020,SUP-CF-0001,MRO-EVT-0001,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0001,IQS-CF-0001,TASK-LG-0001,AC-LGACT-PROD-0001,Piston Rod Assembly 001,PIECENO-0001,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/09 08:07:00,2026/05/09 08:07:00
2,2,2,2,LGACT-2026-0002,PIN-2026-0002,WO-LG-2026-0002,OP030,SUP-CF-0002,MRO-EVT-0002,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0002,IQS-CF-0002,TASK-LG-0002,AC-LGACT-PROD-0002,Cylinder Barrel Assembly 002,PIECENO-0002,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/10 08:14:00,2026/05/10 08:14:00
3,3,3,3,LGACT-2026-0003,PIN-2026-0003,WO-LG-2026-0003,OP040,SUP-CF-0003,MRO-EVT-0003,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0003,IQS-CF-0003,TASK-LG-0003,AC-LGACT-PROD-0003,Front End Cap 003,PIECENO-0003,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/11 08:21:00,2026/05/11 08:21:00
4,4,4,4,LGACT-2026-0004,PIN-2026-0004,WO-LG-2026-0004,OP050,SUP-CF-0004,MRO-EVT-0004,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0004,IQS-CF-0004,TASK-LG-0004,AC-LGACT-PROD-0004,Rear End Cap 004,PIECENO-0004,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/05/12 08:28:00,2026/05/12 08:28:00
5,5,5,5,LGACT-2026-0005,PIN-2026-0005,WO-LG-2026-0005,OP060,SUP-CF-0005,MRO-EVT-0005,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0005,IQS-CF-0005,TASK-LG-0005,AC-LGACT-PROD-0005,Seal Ring Assembly 005,PIECENO-0005,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/13 08:35:00,2026/05/13 08:35:00
6,6,6,6,LGACT-2026-0006,PIN-2026-0006,WO-LG-2026-0006,OP070,SUP-CF-0006,MRO-EVT-0006,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0006,IQS-CF-0006,TASK-LG-0006,AC-LGACT-PROD-0006,Trunnion Bushing 006,PIECENO-0006,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/14 08:42:00,2026/05/14 08:42:00
7,7,7,7,LGACT-2026-0007,PIN-2026-0007,WO-LG-2026-0007,OP080,SUP-CF-0007,MRO-EVT-0007,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0007,IQS-CF-0007,TASK-LG-0007,AC-LGACT-PROD-0007,Spherical Bearing 007,PIECENO-0007,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/15 08:49:00,2026/05/15 08:49:00
8,8,8,8,LGACT-2026-0008,PIN-2026-0008,WO-LG-2026-0008,OP010,SUP-CF-0008,MRO-EVT-0008,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0008,IQS-CF-0008,TASK-LG-0008,AC-LGACT-PROD-0008,Throttle Connector 008,PIECENO-0008,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/05/16 08:56:00,2026/05/16 08:56:00
9,9,9,9,LGACT-2026-0009,PIN-2026-0009,WO-LG-2026-0009,OP020,SUP-CF-0009,MRO-EVT-0009,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0009,IQS-CF-0009,TASK-LG-0009,AC-LGACT-PROD-0009,Displacement Sensor Bracket 009,PIECENO-0009,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/17 09:03:00,2026/05/17 09:03:00
10,10,10,10,LGACT-2026-0010,PIN-2026-0010,WO-LG-2026-0010,OP030,SUP-CF-0010,MRO-EVT-0010,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0010,IQS-CF-0010,TASK-LG-0010,AC-LGACT-PROD-0010,Locking Nut 010,PIECENO-0010,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/18 09:10:00,2026/05/18 09:10:00
11,11,11,11,LGACT-2026-0011,PIN-2026-0011,WO-LG-2026-0011,OP040,SUP-CF-0011,QE-CF-2026-0011,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0011,IQS-CF-0011,TASK-LG-0011,AC-LGACT-PROD-0011,Piston Rod Assembly 011,PIECENO-0011,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/19 09:17:00,2026/05/19 09:17:00
12,12,12,12,LGACT-2026-0012,PIN-2026-0012,WO-LG-2026-0012,OP050,SUP-CF-0012,QE-CF-2026-0012,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0012,IQS-CF-0012,TASK-LG-0012,AC-LGACT-PROD-0012,Cylinder Barrel Assembly 012,PIECENO-0012,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/05/20 09:24:00,2026/05/20 09:24:00
13,13,13,13,LGACT-2026-0013,PIN-2026-0013,WO-LG-2026-0013,OP060,SUP-CF-0013,QE-CF-2026-0013,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0013,IQS-CF-0013,TASK-LG-0013,AC-LGACT-PROD-0013,Front End Cap 013,PIECENO-0013,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/21 09:31:00,2026/05/21 09:31:00
