iqs_failure_content_id,iqs_failure_id,start_piece_no_text,end_piece_no_text,failure_desc,failure_place_brief,find_type_code,find_date_text,finder_type_code,find_user_code,find_user_name,duty_worksec_code,duty_worksec_name,duty_dept_code,duty_dept_name,actual_method,doc_no
1,1,002,002,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/09 08:07:00,QMS_MAKE,PERS-0001,Piston Rod Assembly 001,WS-HYD-02,Machining Section 1,DEPT-QA-02,Quality Management Department,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0001
2,2,003,003,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/10 08:14:00,QMS_BUY,PERS-0002,Cylinder Barrel Assembly 002,WS-HYD-03,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0002
3,3,004,004,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/11 08:21:00,QMS_ASSEMBLY,PERS-0003,Front End Cap 003,WS-HYD-04,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0003
4,4,005,005,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/12 08:28:00,QMS_SERVICE,PERS-0004,Rear End Cap 004,WS-HYD-05,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0004
5,5,006,006,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/13 08:35:00,QMS_MAKE,PERS-0005,Seal Ring Assembly 005,WS-HYD-06,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0005
6,6,007,007,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/14 08:42:00,QMS_BUY,PERS-0006,Trunnion Bushing 006,WS-HYD-07,Repair Processing Section,DEPT-QA-01,Field Support Department,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0006
7,7,008,008,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/15 08:49:00,QMS_ASSEMBLY,PERS-0007,Spherical Bearing 007,WS-HYD-08,Machining Section 1,DEPT-QA-02,Quality Management Department,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0007
8,8,009,009,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/16 08:56:00,QMS_SERVICE,PERS-0008,Throttle Connector 008,WS-HYD-01,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0008
9,9,001,001,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/17 09:03:00,QMS_MAKE,PERS-0009,Displacement Sensor Bracket 009,WS-HYD-02,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0009
10,10,002,002,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/18 09:10:00,QMS_BUY,PERS-0010,Locking Nut 010,WS-HYD-03,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0010
