iqs_failure_duty_id,iqs_failure_id,iqs_failure_content_id,duty_user_code,duty_user_name,duty_dept_code,duty_dept_name,supplier_code,duty_person_ratio_text,responsibility_date_text
1,1,1,PERS-0001,Piston Rod Assembly 001,DEPT-QA-02,Quality Management Department,SUP-CF-0001,51%,2026/05/09 08:07:00
2,2,2,PERS-0002,Cylinder Barrel Assembly 002,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0002,52%,2026/05/10 08:14:00
3,3,3,PERS-0003,Front End Cap 003,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0003,53%,2026/05/11 08:21:00
4,4,4,PERS-0004,Rear End Cap 004,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0004,54%,2026/05/12 08:28:00
5,5,5,PERS-0005,Seal Ring Assembly 005,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0005,55%,2026/05/13 08:35:00
6,6,6,PERS-0006,Trunnion Bushing 006,DEPT-QA-01,Field Support Department,SUP-CF-0006,56%,2026/05/14 08:42:00
7,7,7,PERS-0007,Spherical Bearing 007,DEPT-QA-02,Quality Management Department,SUP-CF-0007,57%,2026/05/15 08:49:00
8,8,8,PERS-0008,Throttle Connector 008,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0008,58%,2026/05/16 08:56:00
9,9,9,PERS-0009,Displacement Sensor Bracket 009,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0009,59%,2026/05/17 09:03:00
10,10,10,PERS-0010,Locking Nut 010,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0010,60%,2026/05/18 09:10:00
11,11,11,PERS-0011,Piston Rod Assembly 011,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0011,61%,2026/05/19 09:17:00
12,12,12,PERS-0012,Cylinder Barrel Assembly 012,DEPT-QA-01,Field Support Department,SUP-CF-0012,62%,2026/05/20 09:24:00
13,13,13,PERS-0013,Front End Cap 013,DEPT-QA-02,Quality Management Department,SUP-CF-0013,63%,2026/05/21 09:31:00
14,14,14,PERS-0014,Rear End Cap 014,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0014,64%,2026/05/22 09:38:00
15,15,15,PERS-0015,Seal Ring Assembly 015,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0015,65%,2026/05/23 09:45:00
16,16,16,PERS-0016,Trunnion Bushing 016,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0016,66%,2026/05/24 09:52:00
17,17,17,PERS-0017,Spherical Bearing 017,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0017,67%,2026/05/25 09:59:00
18,18,18,PERS-0018,Throttle Connector 018,DEPT-QA-01,Field Support Department,SUP-CF-0018,68%,2026/05/26 10:06:00
19,19,19,PERS-0019,Displacement Sensor Bracket 019,DEPT-QA-02,Quality Management Department,SUP-CF-0019,69%,2026/05/27 10:13:00
20,20,20,PERS-0020,Locking Nut 020,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0020,70%,2026/05/28 10:20:00
21,21,21,PERS-0021,Piston Rod Assembly 021,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0021,71%,2026/05/29 10:27:00
