quality_event_doc_id,quality_event_no,event_source_code,event_type_code,event_title,event_desc,event_time_text,severity_code,event_status_code,trigger_source_no,component_serial_no,part_serial_no,work_order_no,subject_type_code,subject_role_code,impact_desc
1,QE-CF-2026-0001,QMS_MAKE,QMS_QE_MFG,Piston Rod Assembly 001,"Chrome Plating Scratch on Piston Rod was found on Piston Rod Assembly during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/05/09 08:07:00,QMS_SEV_MINOR,QMS_EV_OPEN,FB-CF-0001,LGACT-2026-0001,PIN-2026-0001,WO-LG-2026-0001,QMS_MAKE,QMS_NORMAL,"Chrome Plating Scratch on Piston Rod was found on Piston Rod Assembly during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
2,QE-CF-2026-0002,QMS_BUY,QMS_QE_PUR,Cylinder Barrel Assembly 002,"Seal Ring Compression Damage was found on Cylinder Barrel Assembly during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/05/10 08:14:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,FB-CF-0002,LGACT-2026-0002,PIN-2026-0002,WO-LG-2026-0002,QMS_BUY,QMS_WARNING,"Seal Ring Compression Damage was found on Cylinder Barrel Assembly during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
3,QE-CF-2026-0003,QMS_ASSEMBLY,QMS_QE_ASM,Front End Cap 003,"Scratch on Cylinder Barrel Inner Wall was found on Front End Cap during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026/05/11 08:21:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,FB-CF-0003,LGACT-2026-0003,PIN-2026-0003,WO-LG-2026-0003,QMS_ASSEMBLY,QMS_QUALIFIED,"Scratch on Cylinder Barrel Inner Wall was found on Front End Cap during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process."
4,QE-CF-2026-0004,QMS_SERVICE,QMS_QE_PARAM,Rear End Cap 004,"Pressure Holding Leakage Rate Out of Tolerance was found on Rear End Cap during Actuation Time inspection, and the issue has entered the quality event closure process.",2026/05/12 08:28:00,QMS_SEV_WARN,QMS_EV_CLOSED,FB-CF-0004,LGACT-2026-0004,PIN-2026-0004,WO-LG-2026-0004,QMS_SERVICE,QMS_CLOSED,"Pressure Holding Leakage Rate Out of Tolerance was found on Rear End Cap during Actuation Time inspection, and the issue has entered the quality event closure process."
5,QE-CF-2026-0005,QMS_MAKE,QMS_QE_MRO,Seal Ring Assembly 005,"Actuation Hysteresis was found on Seal Ring Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026/05/13 08:35:00,QMS_SEV_MINOR,QMS_EV_OPEN,FB-CF-0005,LGACT-2026-0005,PIN-2026-0005,WO-LG-2026-0005,QMS_MAKE,QMS_NORMAL,"Actuation Hysteresis was found on Seal Ring Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process."
6,QE-CF-2026-0006,QMS_BUY,QMS_QE_MFG,Trunnion Bushing 006,"Minor Leakage at Hydraulic Fitting was found on Trunnion Bushing during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026/05/14 08:42:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,FB-CF-0006,LGACT-2026-0006,PIN-2026-0006,WO-LG-2026-0006,QMS_BUY,QMS_WARNING,"Minor Leakage at Hydraulic Fitting was found on Trunnion Bushing during Locking Clearance inspection, and the issue has entered the quality event closure process."
7,QE-CF-2026-0007,QMS_ASSEMBLY,QMS_QE_PUR,Spherical Bearing 007,"Excessive Trunnion Bushing Clearance was found on Spherical Bearing during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/05/15 08:49:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,FB-CF-0007,LGACT-2026-0007,PIN-2026-0007,WO-LG-2026-0007,QMS_ASSEMBLY,QMS_QUALIFIED,"Excessive Trunnion Bushing Clearance was found on Spherical Bearing during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
8,QE-CF-2026-0008,QMS_SERVICE,QMS_QE_ASM,Throttle Connector 008,"Loose Displacement Sensor Bracket was found on Throttle Connector during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/05/16 08:56:00,QMS_SEV_WARN,QMS_EV_CLOSED,FB-CF-0008,LGACT-2026-0008,PIN-2026-0008,WO-LG-2026-0008,QMS_SERVICE,QMS_CLOSED,"Loose Displacement Sensor Bracket was found on Throttle Connector during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
9,QE-CF-2026-0009,QMS_MAKE,QMS_QE_PARAM,Displacement Sensor Bracket 009,"Chrome Plating Scratch on Piston Rod was found on Displacement Sensor Bracket during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026/05/17 09:03:00,QMS_SEV_MINOR,QMS_EV_OPEN,FB-CF-0009,LGACT-2026-0009,PIN-2026-0009,WO-LG-2026-0009,QMS_MAKE,QMS_NORMAL,"Chrome Plating Scratch on Piston Rod was found on Displacement Sensor Bracket during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process."
10,QE-CF-2026-0010,QMS_BUY,QMS_QE_MRO,Locking Nut 010,"Seal Ring Compression Damage was found on Locking Nut during Actuation Time inspection, and the issue has entered the quality event closure process.",2026/05/18 09:10:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,FB-CF-0010,LGACT-2026-0010,PIN-2026-0010,WO-LG-2026-0010,QMS_BUY,QMS_WARNING,"Seal Ring Compression Damage was found on Locking Nut during Actuation Time inspection, and the issue has entered the quality event closure process."
11,QE-CF-2026-0011,QMS_ASSEMBLY,QMS_QE_MFG,Piston Rod Assembly 011,"Scratch on Cylinder Barrel Inner Wall was found on Piston Rod Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026/05/19 09:17:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0011,PIN-2026-0011,WO-LG-2026-0011,QMS_ASSEMBLY,QMS_QUALIFIED,"Scratch on Cylinder Barrel Inner Wall was found on Piston Rod Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process."
