recheck_record_id,disposal_order_id,inspection_doc_id,inspector_no,recheck_no,recheck_date_text,recheck_result_code,conclusion_desc
1,1,1,PERS-0001,RCHK-CF-0001,2026/05/09 08:07:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 20.850 MPa."
2,2,2,PERS-0002,RCHK-CF-0002,2026/05/10 08:14:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.080 mL/min."
3,3,3,PERS-0003,RCHK-CF-0003,2026/05/11 08:21:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 155.150 mm."
4,4,4,PERS-0004,RCHK-CF-0004,2026/05/12 08:28:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 5.100 s."
5,5,5,PERS-0005,RCHK-CF-0005,2026/05/13 08:35:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 37.7 C."
6,6,6,PERS-0006,RCHK-CF-0006,2026/05/14 08:42:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.150 mm."
7,7,7,PERS-0007,RCHK-CF-0007,2026/05/15 08:49:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is nonconforming, with recorded value 23.400 MPa."
8,8,8,PERS-0008,RCHK-CF-0008,2026/05/16 08:56:00,QMS_Q_WAIT,"Final Functional Test result is nonconforming, with recorded value 0.220 mL/min."
9,9,9,PERS-0009,RCHK-CF-0009,2026/05/17 09:03:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 155.300 mm."
10,10,10,PERS-0010,RCHK-CF-0010,2026/05/18 09:10:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 4.500 s."
11,11,11,PERS-0011,RCHK-CF-0011,2026/05/19 09:17:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 37.9 C."
12,12,12,PERS-0012,RCHK-CF-0012,2026/05/20 09:24:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.180 mm."
13,13,13,PERS-0013,RCHK-CF-0013,2026/05/21 09:31:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is nonconforming, with recorded value 23.400 MPa."
14,14,14,PERS-0014,RCHK-CF-0014,2026/05/22 09:38:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.140 mL/min."
15,15,15,PERS-0015,RCHK-CF-0015,2026/05/23 09:45:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 154.700 mm."
16,16,16,PERS-0016,RCHK-CF-0016,2026/05/24 09:52:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 4.650 s."
17,17,17,PERS-0017,RCHK-CF-0017,2026/05/25 09:59:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 38.0 C."
18,18,18,PERS-0018,RCHK-CF-0018,2026/05/26 10:06:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.210 mm."
