component_instance_id,component_type_id,installed_position_id,design_version_id,component_serial_no,component_batch_no,quality_code,assembly_order_no,delivery_date,component_status,created_at,updated_at
1,1,1,1,LGACT-2026-0001,CB-LGACT-2026-0001,QC-LG-0001,WO-LG-2026-0001,2026-05-09,NORMAL,2026-05-09 08:07:00,2026-05-09 08:07:00
2,2,2,2,LGACT-2026-0002,CB-LGACT-2026-0002,QC-LG-0002,WO-LG-2026-0002,2026-05-10,WARNING,2026-05-10 08:14:00,2026-05-10 08:14:00
3,3,3,3,LGACT-2026-0003,CB-LGACT-2026-0003,QC-LG-0003,WO-LG-2026-0003,2026-05-11,QUALIFIED,2026-05-11 08:21:00,2026-05-11 08:21:00
4,4,4,4,LGACT-2026-0004,CB-LGACT-2026-0004,QC-LG-0004,WO-LG-2026-0004,2026-05-12,CLOSED,2026-05-12 08:28:00,2026-05-12 08:28:00
5,5,5,5,LGACT-2026-0005,CB-LGACT-2026-0005,QC-LG-0005,WO-LG-2026-0005,2026-05-13,NORMAL,2026-05-13 08:35:00,2026-05-13 08:35:00
6,6,6,6,LGACT-2026-0006,CB-LGACT-2026-0006,QC-LG-0006,WO-LG-2026-0006,2026-05-14,WARNING,2026-05-14 08:42:00,2026-05-14 08:42:00
7,7,7,7,LGACT-2026-0007,CB-LGACT-2026-0007,QC-LG-0007,WO-LG-2026-0007,2026-05-15,QUALIFIED,2026-05-15 08:49:00,2026-05-15 08:49:00
8,8,8,8,LGACT-2026-0008,CB-LGACT-2026-0008,QC-LG-0008,WO-LG-2026-0008,2026-05-16,CLOSED,2026-05-16 08:56:00,2026-05-16 08:56:00
9,9,9,9,LGACT-2026-0009,CB-LGACT-2026-0009,QC-LG-0009,WO-LG-2026-0009,2026-05-17,NORMAL,2026-05-17 09:03:00,2026-05-17 09:03:00
10,10,10,10,LGACT-2026-0010,CB-LGACT-2026-0010,QC-LG-0010,WO-LG-2026-0010,2026-05-18,WARNING,2026-05-18 09:10:00,2026-05-18 09:10:00
