inspection_record_id,inspection_spec_id,component_instance_id,part_instance_id,operation_execution_id,inventory_batch_id,work_order_id,inspector_id,inspection_no,inspection_type,find_date,find_type,inspection_result
1,1,1,1,1,1,1,1,INSP-CF-0001,IN_PROCESS,2026-05-09 08:07:00,NORMAL,PASS
2,2,2,2,2,2,2,2,INSP-CF-0002,FINAL,2026-05-10 08:14:00,WARNING,FAIL
3,3,3,3,3,3,3,3,INSP-CF-0003,INCOMING,2026-05-11 08:21:00,QUALIFIED,RECHECK
4,4,4,4,4,4,4,4,INSP-CF-0004,SERVICE,2026-05-12 08:28:00,CLOSED,WAIT
5,5,5,5,5,5,5,5,INSP-CF-0005,IN_PROCESS,2026-05-13 08:35:00,NORMAL,PASS
6,6,6,6,6,6,6,6,INSP-CF-0006,FINAL,2026-05-14 08:42:00,WARNING,FAIL
7,7,7,7,7,7,7,7,INSP-CF-0007,INCOMING,2026-05-15 08:49:00,QUALIFIED,RECHECK
8,8,8,8,8,8,8,8,INSP-CF-0008,SERVICE,2026-05-16 08:56:00,CLOSED,WAIT
9,9,9,9,9,9,9,9,INSP-CF-0009,IN_PROCESS,2026-05-17 09:03:00,NORMAL,PASS
10,10,10,10,10,10,10,10,INSP-CF-0010,FINAL,2026-05-18 09:10:00,WARNING,FAIL
