inspection_spec_id,operation_definition_id,component_type_id,part_definition_id,spec_code,spec_name,inspection_type,item_code,item_name,acceptance_criteria
1,1,1,1,INSPSPEC-0001,Piston Rod Chrome Plating Visual Inspection Specification,IN_PROCESS,CHK-02,Piston Rod Chrome Plating Visual Inspection,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 20.850 MPa."
2,2,2,2,INSPSPEC-0002,Cylinder Barrel Inner Bore Dimension Measurement Specification,FINAL,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.080 mL/min."
3,3,3,3,INSPSPEC-0003,Sealing Performance Inspection Specification,INCOMING,CHK-04,Sealing Performance Inspection,"Sealing Performance Inspection result is qualified, with recorded value 155.150 mm."
4,4,4,4,INSPSPEC-0004,Pressure Holding Leakage Rate Recheck Specification,SERVICE,CHK-05,Pressure Holding Leakage Rate Recheck,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 5.100 s."
5,5,5,5,INSPSPEC-0005,Extension and Retraction Stroke Measurement Specification,IN_PROCESS,CHK-06,Extension and Retraction Stroke Measurement,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 37.7 C."
6,6,6,6,INSPSPEC-0006,Trunnion Bushing Fit Clearance Inspection Specification,FINAL,CHK-07,Trunnion Bushing Fit Clearance Inspection,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.150 mm."
7,7,7,7,INSPSPEC-0007,Hydraulic Fitting Leakage Inspection Specification,INCOMING,CHK-08,Hydraulic Fitting Leakage Inspection,"Hydraulic Fitting Leakage Inspection result is nonconforming, with recorded value 23.400 MPa."
8,8,8,8,INSPSPEC-0008,Final Functional Test Specification,SERVICE,CHK-01,Final Functional Test,"Final Functional Test result is nonconforming, with recorded value 0.220 mL/min."
9,9,9,9,INSPSPEC-0009,Piston Rod Chrome Plating Visual Inspection Specification,IN_PROCESS,CHK-02,Piston Rod Chrome Plating Visual Inspection,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 155.300 mm."
10,10,10,10,INSPSPEC-0010,Cylinder Barrel Inner Bore Dimension Measurement Specification,FINAL,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 4.500 s."
