inventory_batch_id,supplier_batch_id,material_id,inventory_batch_no,warehouse_code,location_code,amount,unit,batch_status
1,1,1,INV-LOT-2026-0001,WH-CF-HYD-02,BIN-LG-02-0001,20.850,EA,NORMAL
2,2,2,INV-LOT-2026-0002,WH-CF-HYD-03,BIN-LG-03-0002,0.080,SET,WARNING
3,3,3,INV-LOT-2026-0003,WH-CF-HYD-04,BIN-LG-04-0003,155.150,KG,QUALIFIED
4,4,4,INV-LOT-2026-0004,WH-CF-HYD-01,BIN-LG-05-0004,5.100,M,CLOSED
5,5,5,INV-LOT-2026-0005,WH-CF-HYD-02,BIN-LG-06-0005,37.700,EA,NORMAL
6,6,6,INV-LOT-2026-0006,WH-CF-HYD-03,BIN-LG-07-0006,0.150,SET,WARNING
7,7,7,INV-LOT-2026-0007,WH-CF-HYD-04,BIN-LG-08-0007,23.400,KG,QUALIFIED
8,8,8,INV-LOT-2026-0008,WH-CF-HYD-01,BIN-LG-09-0008,0.220,M,CLOSED
9,9,9,INV-LOT-2026-0009,WH-CF-HYD-02,BIN-LG-10-0009,155.300,EA,NORMAL
10,10,10,INV-LOT-2026-0010,WH-CF-HYD-03,BIN-LG-11-0010,4.500,SET,WARNING
