maintenance_event_id,component_instance_id,installed_position_id,event_no,service_date,event_type,service_unit_code,service_unit_name,event_status
1,1,1,MRO-EVT-0001,2026-05-09 08:07:00,FIELD_REPAIR,EA,EA,NORMAL
2,2,2,MRO-EVT-0002,2026-05-10 08:14:00,SHOP_REPAIR,EA,EA,WARNING
3,3,3,MRO-EVT-0003,2026-05-11 08:21:00,INSPECTION,EA,EA,QUALIFIED
4,4,4,MRO-EVT-0004,2026-05-12 08:28:00,RETROFIT,EA,EA,CLOSED
5,5,5,MRO-EVT-0005,2026-05-13 08:35:00,FIELD_REPAIR,EA,EA,NORMAL
6,6,6,MRO-EVT-0006,2026-05-14 08:42:00,SHOP_REPAIR,EA,EA,WARNING
7,7,7,MRO-EVT-0007,2026-05-15 08:49:00,INSPECTION,EA,EA,QUALIFIED
8,8,8,MRO-EVT-0008,2026-05-16 08:56:00,RETROFIT,EA,EA,CLOSED
9,9,9,MRO-EVT-0009,2026-05-17 09:03:00,FIELD_REPAIR,EA,EA,NORMAL
10,10,10,MRO-EVT-0010,2026-05-18 09:10:00,SHOP_REPAIR,EA,EA,WARNING
