part_definition_id,material_id,design_version_id,part_no,part_name,part_type,drawing_code,source_type,critical_level,created_at,updated_at
1,1,1,LGACT-PART-002,Piston Rod Assembly,NORMAL,DWG-LGACT-0001,MAKE,NORMAL,2026-05-09 08:07:00,2026-05-09 08:07:00
2,2,2,LGACT-PART-003,Cylinder Barrel Assembly,WARNING,DWG-LGACT-0002,BUY,WARNING,2026-05-10 08:14:00,2026-05-10 08:14:00
3,3,3,LGACT-PART-004,Front End Cap,QUALIFIED,DWG-LGACT-0003,OUTSOURCE,QUALIFIED,2026-05-11 08:21:00,2026-05-11 08:21:00
4,4,4,LGACT-PART-005,Rear End Cap,CLOSED,DWG-LGACT-0004,REPAIR,CLOSED,2026-05-12 08:28:00,2026-05-12 08:28:00
5,5,5,LGACT-PART-006,Seal Ring Assembly,NORMAL,DWG-LGACT-0005,MAKE,NORMAL,2026-05-13 08:35:00,2026-05-13 08:35:00
6,6,6,LGACT-PART-007,Trunnion Bushing,WARNING,DWG-LGACT-0006,BUY,WARNING,2026-05-14 08:42:00,2026-05-14 08:42:00
7,7,7,LGACT-PART-008,Spherical Bearing,QUALIFIED,DWG-LGACT-0007,OUTSOURCE,QUALIFIED,2026-05-15 08:49:00,2026-05-15 08:49:00
8,8,8,LGACT-PART-009,Throttle Connector,CLOSED,DWG-LGACT-0008,REPAIR,CLOSED,2026-05-16 08:56:00,2026-05-16 08:56:00
9,9,9,LGACT-PART-010,Displacement Sensor Bracket,NORMAL,DWG-LGACT-0009,MAKE,NORMAL,2026-05-17 09:03:00,2026-05-17 09:03:00
10,10,10,LGACT-PART-011,Locking Nut,WARNING,DWG-LGACT-0010,BUY,WARNING,2026-05-18 09:10:00,2026-05-18 09:10:00
