purchase_order_id,supplier_id,order_no,task_code,order_date,delivery_date,order_status,priority_level,urgent_flag
1,1,PO-CF-2026-0001,TASKNO-0001,2026-05-09,2026-05-09,NORMAL,2,True
2,2,PO-CF-2026-0002,TASKNO-0002,2026-05-10,2026-05-10,WARNING,3,True
3,3,PO-CF-2026-0003,TASKNO-0003,2026-05-11,2026-05-11,QUALIFIED,4,False
4,4,PO-CF-2026-0004,TASKNO-0004,2026-05-12,2026-05-12,CLOSED,5,True
5,5,PO-CF-2026-0005,TASKNO-0005,2026-05-13,2026-05-13,NORMAL,6,True
6,6,PO-CF-2026-0006,TASKNO-0006,2026-05-14,2026-05-14,WARNING,7,False
7,7,PO-CF-2026-0007,TASKNO-0007,2026-05-15,2026-05-15,QUALIFIED,8,True
8,8,PO-CF-2026-0008,TASKNO-0008,2026-05-16,2026-05-16,CLOSED,9,True
9,9,PO-CF-2026-0009,TASKNO-0009,2026-05-17,2026-05-17,NORMAL,1,False
10,10,PO-CF-2026-0010,TASKNO-0010,2026-05-18,2026-05-18,WARNING,2,True
