purchase_order_line_id,purchase_order_id,material_id,line_no,amount,unit,required_date,delivery_date,line_status
1,1,1,2,20.850,EA,2026-05-09,2026-05-09,NORMAL
2,2,2,3,0.080,SET,2026-05-10,2026-05-10,WARNING
3,3,3,4,155.150,KG,2026-05-11,2026-05-11,QUALIFIED
4,4,4,5,5.100,M,2026-05-12,2026-05-12,CLOSED
5,5,5,6,37.700,EA,2026-05-13,2026-05-13,NORMAL
6,6,6,7,0.150,SET,2026-05-14,2026-05-14,WARNING
7,7,7,8,23.400,KG,2026-05-15,2026-05-15,QUALIFIED
8,8,8,9,0.220,M,2026-05-16,2026-05-16,CLOSED
9,9,9,1,155.300,EA,2026-05-17,2026-05-17,NORMAL
10,10,10,2,4.500,SET,2026-05-18,2026-05-18,WARNING
