resource_usage_id,operation_execution_id,step_execution_id,equipment_id,personnel_id,workstation_id,tooling_id,usage_start_time,usage_finish_time,mastery,usage_status
1,1,1,1,1,1,1,2026-05-09 08:07:00,2026-05-09 08:07:00,20.850,NORMAL
2,2,2,2,2,2,2,2026-05-10 08:14:00,2026-05-10 08:14:00,0.080,WARNING
3,3,3,3,3,3,3,2026-05-11 08:21:00,2026-05-11 08:21:00,155.150,QUALIFIED
4,4,4,4,4,4,4,2026-05-12 08:28:00,2026-05-12 08:28:00,5.100,CLOSED
5,5,5,5,5,5,5,2026-05-13 08:35:00,2026-05-13 08:35:00,37.700,NORMAL
6,6,6,6,6,6,6,2026-05-14 08:42:00,2026-05-14 08:42:00,0.150,WARNING
7,7,7,7,7,7,7,2026-05-15 08:49:00,2026-05-15 08:49:00,23.400,QUALIFIED
8,8,8,8,8,8,8,2026-05-16 08:56:00,2026-05-16 08:56:00,0.220,CLOSED
9,9,9,9,9,9,9,2026-05-17 09:03:00,2026-05-17 09:03:00,155.300,NORMAL
10,10,10,10,10,10,10,2026-05-18 09:10:00,2026-05-18 09:10:00,4.500,WARNING
