dict_id,dict_type,standard_code,standard_name,standard_desc,enabled,sort_no
1,equipment_type,NORMAL,Normal,equipment_type standard enumeration value: Normal,True,1
2,equipment_type,WARNING,Warning,equipment_type standard enumeration value: Warning,True,2
3,equipment_type,QUALIFIED,Qualified,equipment_type standard enumeration value: Qualified,True,3
4,equipment_type,CLOSED,Closed,equipment_type standard enumeration value: Closed,True,4
5,secret_level,NORMAL,Normal,secret_level standard enumeration value: Normal,True,5
6,secret_level,WARNING,Warning,secret_level standard enumeration value: Warning,True,6
7,secret_level,QUALIFIED,Qualified,secret_level standard enumeration value: Qualified,True,7
8,secret_level,CLOSED,Closed,secret_level standard enumeration value: Closed,True,8
9,system_position,NORMAL,Normal,system_position standard enumeration value: Normal,True,9
10,system_position,WARNING,Warning,system_position standard enumeration value: Warning,True,10
11,system_position,QUALIFIED,Qualified,system_position standard enumeration value: Qualified,True,11
12,system_position,CLOSED,Closed,system_position standard enumeration value: Closed,True,12
13,technical_status,NORMAL,Normal,technical_status standard enumeration value: Normal,True,13
14,technical_status,WARNING,Warning,technical_status standard enumeration value: Warning,True,14
15,technical_status,QUALIFIED,Qualified,technical_status standard enumeration value: Qualified,True,15
16,technical_status,CLOSED,Closed,technical_status standard enumeration value: Closed,True,16
17,side_code,NORMAL,Normal,side_code standard enumeration value: Normal,True,17
18,side_code,WARNING,Warning,side_code standard enumeration value: Warning,True,18
19,side_code,QUALIFIED,Qualified,side_code standard enumeration value: Qualified,True,19
20,side_code,CLOSED,Closed,side_code standard enumeration value: Closed,True,20
21,design_release_status,NORMAL,Normal,design_release_status standard enumeration value: Normal,True,21
22,design_release_status,WARNING,Warning,design_release_status standard enumeration value: Warning,True,22
23,design_release_status,QUALIFIED,Qualified,design_release_status standard enumeration value: Qualified,True,23
24,design_release_status,CLOSED,Closed,design_release_status standard enumeration value: Closed,True,24
25,material_type,NORMAL,Normal,material_type standard enumeration value: Normal,True,25
26,material_type,WARNING,Warning,material_type standard enumeration value: Warning,True,26
27,material_type,QUALIFIED,Qualified,material_type standard enumeration value: Qualified,True,27
28,material_type,CLOSED,Closed,material_type standard enumeration value: Closed,True,28
29,unit_code,EA,Each,unit_code standard enumeration value: Each,True,29
30,unit_code,SET,Set,unit_code standard enumeration value: Set,True,30
31,unit_code,KG,Kilogram,unit_code standard enumeration value: Kilogram,True,31
32,unit_code,M,Meter,unit_code standard enumeration value: Meter,True,32
33,part_type,NORMAL,Normal,part_type standard enumeration value: Normal,True,33
34,part_type,WARNING,Warning,part_type standard enumeration value: Warning,True,34
35,part_type,QUALIFIED,Qualified,part_type standard enumeration value: Qualified,True,35
36,part_type,CLOSED,Closed,part_type standard enumeration value: Closed,True,36
37,part_source_type,MAKE,Self-made,part_source_type standard enumeration value: Self-made,True,37
38,part_source_type,BUY,Purchased,part_source_type standard enumeration value: Purchased,True,38
39,part_source_type,OUTSOURCE,Outsourced,part_source_type standard enumeration value: Outsourced,True,39
40,part_source_type,REPAIR,Repaired Part,part_source_type standard enumeration value: Repaired Part,True,40
41,critical_level,NORMAL,Normal,critical_level standard enumeration value: Normal,True,41
42,critical_level,WARNING,Warning,critical_level standard enumeration value: Warning,True,42
43,critical_level,QUALIFIED,Qualified,critical_level standard enumeration value: Qualified,True,43
44,critical_level,CLOSED,Closed,critical_level standard enumeration value: Closed,True,44
45,route_type,NORMAL,Normal,route_type standard enumeration value: Normal,True,45
46,route_type,WARNING,Warning,route_type standard enumeration value: Warning,True,46
47,route_type,QUALIFIED,Qualified,route_type standard enumeration value: Qualified,True,47
48,route_type,CLOSED,Closed,route_type standard enumeration value: Closed,True,48
49,route_release_status,NORMAL,Normal,route_release_status standard enumeration value: Normal,True,49
50,route_release_status,WARNING,Warning,route_release_status standard enumeration value: Warning,True,50
51,route_release_status,QUALIFIED,Qualified,route_release_status standard enumeration value: Qualified,True,51
52,route_release_status,CLOSED,Closed,route_release_status standard enumeration value: Closed,True,52
53,parameter_unit,MPA,Megapascal,parameter_unit standard enumeration value: Megapascal,True,53
54,parameter_unit,MM,Millimeter,parameter_unit standard enumeration value: Millimeter,True,54
55,parameter_unit,ML_MIN,Milliliter per Minute,parameter_unit standard enumeration value: Milliliter per Minute,True,55
56,parameter_unit,SEC,Second,parameter_unit standard enumeration value: Second,True,56
57,control_level,NORMAL,Normal,control_level standard enumeration value: Normal,True,57
58,control_level,WARNING,Warning,control_level standard enumeration value: Warning,True,58
59,control_level,QUALIFIED,Qualified,control_level standard enumeration value: Qualified,True,59
60,control_level,CLOSED,Closed,control_level standard enumeration value: Closed,True,60
61,inspection_type,IN_PROCESS,In-process Inspection,inspection_type standard enumeration value: In-process Inspection,True,61
62,inspection_type,FINAL,Final Inspection,inspection_type standard enumeration value: Final Inspection,True,62
63,inspection_type,INCOMING,Incoming Inspection,inspection_type standard enumeration value: Incoming Inspection,True,63
64,inspection_type,SERVICE,In-service Inspection,inspection_type standard enumeration value: In-service Inspection,True,64
65,supplier_type,NORMAL,Normal,supplier_type standard enumeration value: Normal,True,65
66,supplier_type,WARNING,Warning,supplier_type standard enumeration value: Warning,True,66
67,supplier_type,QUALIFIED,Qualified,supplier_type standard enumeration value: Qualified,True,67
68,supplier_type,CLOSED,Closed,supplier_type standard enumeration value: Closed,True,68
69,supplier_qualification_level,NORMAL,Normal,supplier_qualification_level standard enumeration value: Normal,True,69
70,supplier_qualification_level,WARNING,Warning,supplier_qualification_level standard enumeration value: Warning,True,70
71,supplier_qualification_level,QUALIFIED,Qualified,supplier_qualification_level standard enumeration value: Qualified,True,71
72,supplier_qualification_level,CLOSED,Closed,supplier_qualification_level standard enumeration value: Closed,True,72
73,purchase_order_status,NORMAL,Normal,purchase_order_status standard enumeration value: Normal,True,73
74,purchase_order_status,WARNING,Warning,purchase_order_status standard enumeration value: Warning,True,74
75,purchase_order_status,QUALIFIED,Qualified,purchase_order_status standard enumeration value: Qualified,True,75
76,purchase_order_status,CLOSED,Closed,purchase_order_status standard enumeration value: Closed,True,76
77,purchase_line_status,NORMAL,Normal,purchase_line_status standard enumeration value: Normal,True,77
78,purchase_line_status,WARNING,Warning,purchase_line_status standard enumeration value: Warning,True,78
79,purchase_line_status,QUALIFIED,Qualified,purchase_line_status standard enumeration value: Qualified,True,79
