supplier_batch_id,purchase_order_line_id,supplier_id,material_id,supplier_batch_no,certificate_no,manufacture_date,expire_date,batch_status
1,1,1,1,SUP-LOT-2026-0001,CERTDOCN-0001,2026-05-09,2026-05-09,NORMAL
2,2,2,2,SUP-LOT-2026-0002,CERTDOCN-0002,2026-05-10,2026-05-10,WARNING
3,3,3,3,SUP-LOT-2026-0003,CERTDOCN-0003,2026-05-11,2026-05-11,QUALIFIED
4,4,4,4,SUP-LOT-2026-0004,CERTDOCN-0004,2026-05-12,2026-05-12,CLOSED
5,5,5,5,SUP-LOT-2026-0005,CERTDOCN-0005,2026-05-13,2026-05-13,NORMAL
6,6,6,6,SUP-LOT-2026-0006,CERTDOCN-0006,2026-05-14,2026-05-14,WARNING
7,7,7,7,SUP-LOT-2026-0007,CERTDOCN-0007,2026-05-15,2026-05-15,QUALIFIED
8,8,8,8,SUP-LOT-2026-0008,CERTDOCN-0008,2026-05-16,2026-05-16,CLOSED
9,9,9,9,SUP-LOT-2026-0009,CERTDOCN-0009,2026-05-17,2026-05-17,NORMAL
10,10,10,10,SUP-LOT-2026-0010,CERTDOCN-0010,2026-05-18,2026-05-18,WARNING
