upper_equipment_id,equipment_code,equipment_name,equipment_type,product_code,product_name,actual_plane_no,secret_level,created_at,updated_at
1,AC-LGACT-260A-0001,Piston Rod Assembly 001,NORMAL,AC-LGACT-260A-0001,Piston Rod Assembly 001,AC-C919-1001,NORMAL,2026-05-09 08:07:00,2026-05-09 08:07:00
2,AC-LGACT-260A-0002,Cylinder Barrel Assembly 002,WARNING,AC-LGACT-260A-0002,Cylinder Barrel Assembly 002,AC-C919-1002,WARNING,2026-05-10 08:14:00,2026-05-10 08:14:00
3,AC-LGACT-260A-0003,Front End Cap 003,QUALIFIED,AC-LGACT-260A-0003,Front End Cap 003,AC-C919-1003,QUALIFIED,2026-05-11 08:21:00,2026-05-11 08:21:00
4,AC-LGACT-260A-0004,Rear End Cap 004,CLOSED,AC-LGACT-260A-0004,Rear End Cap 004,AC-C919-1004,CLOSED,2026-05-12 08:28:00,2026-05-12 08:28:00
5,AC-LGACT-260A-0005,Seal Ring Assembly 005,NORMAL,AC-LGACT-260A-0005,Seal Ring Assembly 005,AC-C919-1005,NORMAL,2026-05-13 08:35:00,2026-05-13 08:35:00
6,AC-LGACT-260A-0006,Trunnion Bushing 006,WARNING,AC-LGACT-260A-0006,Trunnion Bushing 006,AC-C919-1006,WARNING,2026-05-14 08:42:00,2026-05-14 08:42:00
7,AC-LGACT-260A-0007,Spherical Bearing 007,QUALIFIED,AC-LGACT-260A-0007,Spherical Bearing 007,AC-C919-1007,QUALIFIED,2026-05-15 08:49:00,2026-05-15 08:49:00
8,AC-LGACT-260A-0008,Throttle Connector 008,CLOSED,AC-LGACT-260A-0008,Throttle Connector 008,AC-C919-1008,CLOSED,2026-05-16 08:56:00,2026-05-16 08:56:00
9,AC-LGACT-260A-0009,Displacement Sensor Bracket 009,NORMAL,AC-LGACT-260A-0009,Displacement Sensor Bracket 009,AC-C919-1009,NORMAL,2026-05-17 09:03:00,2026-05-17 09:03:00
10,AC-LGACT-260A-0010,Locking Nut 010,WARNING,AC-LGACT-260A-0010,Locking Nut 010,AC-C919-1010,WARNING,2026-05-18 09:10:00,2026-05-18 09:10:00
