assembly_id,interference_fit,preload,alignment_error,operator_id,station_id,assembly_risk_score,assembly_risk_level
BASM-00001,0.0257,1.054,0.0465,OP-B-089,ST-B-03,0.1915,low
BASM-00002,0.0149,0.453,0.002,OP-B-103,ST-B-29,0.2167,low
BASM-00003,0.0214,1.187,0.0827,OP-B-150,ST-B-09,0.2818,medium
BASM-00004,0.0029,0.969,0.1074,OP-B-101,ST-B-21,0.3959,medium
BASM-00005,0.0224,0.796,0.1627,OP-B-125,ST-B-10,0.509,high
BASM-00006,0.0181,0.492,0.0349,OP-B-033,ST-B-24,0.2111,low
BASM-00007,0.015,0.548,0.0083,OP-B-124,ST-B-26,0.2282,low
BASM-00008,0.0192,0.606,0.0802,OP-B-049,ST-B-10,0.3745,medium
BASM-00009,0.0025,1.167,0.0479,OP-B-048,ST-B-22,0.3839,medium
BASM-00010,0.0005,1.029,0.0064,OP-B-002,ST-B-22,0.2847,medium
BASM-00011,0.0224,1.02,0.0169,OP-B-086,ST-B-20,0.0937,low
BASM-00012,0.0231,1.399,0.0186,OP-B-148,ST-B-08,0.2625,medium
BASM-00013,0.0068,0.529,0.012,OP-B-069,ST-B-10,0.3347,medium
BASM-00014,0.0083,1.317,0.0927,OP-B-105,ST-B-07,0.3901,medium
BASM-00015,0.004,1.353,0.0872,OP-B-083,ST-B-19,0.522,high
BASM-00016,0.0056,1.049,0.1244,OP-B-051,ST-B-23,0.419,medium
BASM-00017,0.0169,0.884,0.0235,OP-B-051,ST-B-01,0.0603,low
BASM-00018,0.0249,1.154,0.0352,OP-B-058,ST-B-17,0.1769,low
BASM-00019,0.0143,1.174,0.0616,OP-B-047,ST-B-04,0.2635,medium
BASM-00020,0.0276,1.174,0.1021,OP-B-029,ST-B-04,0.4003,medium
BASM-00021,0.025,1.488,0.0187,OP-B-089,ST-B-26,0.2771,medium
BASM-00022,0.0307,0.807,0.0214,OP-B-121,ST-B-07,0.2819,medium
BASM-00023,0.0175,0.892,0.0821,OP-B-028,ST-B-02,0.2489,low
BASM-00024,0.0147,1.057,0.0284,OP-B-088,ST-B-22,0.1437,low
BASM-00025,0.0067,1.037,0.022,OP-B-105,ST-B-15,0.3054,medium
BASM-00026,0.027,0.983,0.0659,OP-B-112,ST-B-08,0.2463,low
BASM-00027,0.0288,1.107,0.0703,OP-B-118,ST-B-05,0.3348,medium
BASM-00028,0.0175,0.652,0.0262,OP-B-020,ST-B-30,0.2079,low
BASM-00029,0.0247,0.584,0.002,OP-B-087,ST-B-19,0.2604,medium
BASM-00030,0.012,0.917,0.0748,OP-B-077,ST-B-04,0.2361,low
BASM-00031,0.0226,1.211,0.1644,OP-B-041,ST-B-26,0.4624,medium
BASM-00032,0.0144,1.117,0.077,OP-B-147,ST-B-07,0.2708,medium
BASM-00033,0.0274,0.553,0.1308,OP-B-027,ST-B-11,0.5923,high
BASM-00034,0.0105,1.364,0.1285,OP-B-059,ST-B-17,0.5106,high
BASM-00035,0.0197,0.836,0.033,OP-B-050,ST-B-02,0.1443,low
BASM-00036,0.0261,0.467,0.0138,OP-B-083,ST-B-05,0.339,medium
BASM-00037,0.0105,1.002,0.047,OP-B-063,ST-B-28,0.1676,low
BASM-00038,0.0222,1.275,0.0578,OP-B-029,ST-B-10,0.2329,low
BASM-00039,0.0015,0.648,0.004,OP-B-120,ST-B-30,0.3787,medium
BASM-00040,0.0147,0.907,0.0897,OP-B-123,ST-B-04,0.3088,medium
BASM-00041,0.0191,0.915,0.0726,OP-B-070,ST-B-01,0.2058,low
BASM-00042,0.0032,0.906,0.0532,OP-B-111,ST-B-04,0.3479,medium
BASM-00043,0.009,1.168,0.0184,OP-B-041,ST-B-13,0.2819,medium
BASM-00044,0.0138,0.3,0.0541,OP-B-141,ST-B-30,0.431,medium
BASM-00045,0.0164,1.459,0.103,OP-B-059,ST-B-15,0.4014,medium
BASM-00046,0.0179,1.193,0.0075,OP-B-079,ST-B-09,0.1617,low
BASM-00047,0.0203,0.758,0.0934,OP-B-136,ST-B-30,0.2768,medium
BASM-00048,0.0144,0.3,0.058,OP-B-029,ST-B-26,0.4287,medium
BASM-00049,0.0184,1.346,0.0922,OP-B-101,ST-B-29,0.3208,medium
BASM-00050,0.0274,1.132,0.0185,OP-B-109,ST-B-20,0.24,low
BASM-00051,0.0095,1.163,0.0879,OP-B-050,ST-B-11,0.3795,medium
BASM-00052,0.0191,1.189,0.1105,OP-B-125,ST-B-27,0.3843,medium
BASM-00053,-0.0032,0.805,0.1434,OP-B-075,ST-B-21,0.6351,high
BASM-00054,0.0287,1.092,0.1109,OP-B-022,ST-B-12,0.4841,medium
BASM-00055,0.0177,0.3,0.037,OP-B-110,ST-B-19,0.3686,medium
BASM-00056,0.0194,1.499,0.0514,OP-B-071,ST-B-01,0.3657,medium
BASM-00057,0.0136,1.414,0.0229,OP-B-055,ST-B-28,0.2724,medium
BASM-00058,0.0055,0.784,0.0291,OP-B-069,ST-B-25,0.2499,low
BASM-00059,0.012,1.1,0.0122,OP-B-126,ST-B-09,0.1322,low
BASM-00060,0.0159,0.653,0.1446,OP-B-133,ST-B-25,0.4313,medium
BASM-00061,0.029,0.915,0.0302,OP-B-021,ST-B-08,0.2329,low
BASM-00062,0.0261,0.738,0.0396,OP-B-063,ST-B-27,0.3425,medium
BASM-00063,0.0345,1.214,0.0211,OP-B-131,ST-B-19,0.3652,medium
BASM-00064,0.0204,0.526,0.0284,OP-B-055,ST-B-29,0.2761,medium
BASM-00065,0.0054,1.05,0.017,OP-B-058,ST-B-10,0.2499,low
BASM-00066,0.0285,0.701,0.0981,OP-B-066,ST-B-22,0.4243,medium
BASM-00067,0.0209,0.945,0.0345,OP-B-142,ST-B-06,0.0876,low
BASM-00068,0.0161,0.576,0.1164,OP-B-013,ST-B-03,0.4357,medium
BASM-00069,0.0054,0.631,0.0597,OP-B-122,ST-B-30,0.4587,medium
BASM-00070,0.0152,0.956,0.0961,OP-B-038,ST-B-01,0.2445,low
BASM-00071,0.0344,0.816,0.0992,OP-B-148,ST-B-01,0.5001,high
BASM-00072,0.03,0.746,0.1462,OP-B-127,ST-B-14,0.5557,high
BASM-00073,0.0264,0.604,0.0414,OP-B-017,ST-B-27,0.4675,medium
BASM-00074,0.008,1.359,0.1104,OP-B-100,ST-B-29,0.5057,high
BASM-00075,0.0012,0.574,0.0335,OP-B-098,ST-B-07,0.472,medium
BASM-00076,0.0234,1.497,0.017,OP-B-004,ST-B-05,0.3232,medium
BASM-00077,0.0149,1.562,0.0939,OP-B-098,ST-B-03,0.4727,medium
BASM-00078,0.0216,1.33,0.079,OP-B-060,ST-B-23,0.3304,medium
BASM-00079,0.0169,1.237,0.0765,OP-B-077,ST-B-26,0.3124,medium
BASM-00080,0.0066,0.587,0.039,OP-B-121,ST-B-26,0.3538,medium
BASM-00081,0.0057,0.637,0.0449,OP-B-071,ST-B-26,0.3323,medium
BASM-00082,0.0158,0.957,0.0398,OP-B-039,ST-B-06,0.1242,low
BASM-00083,0.0321,0.669,0.0903,OP-B-104,ST-B-14,0.4979,medium
BASM-00084,0.0291,0.692,0.0694,OP-B-057,ST-B-20,0.4022,medium
BASM-00085,0.0029,0.808,0.0676,OP-B-122,ST-B-14,0.4252,medium
BASM-00086,0.0225,0.843,0.0816,OP-B-010,ST-B-07,0.303,medium
BASM-00087,0.0269,1.437,0.1044,OP-B-040,ST-B-06,0.5681,high
BASM-00088,0.0331,0.4,0.0893,OP-B-024,ST-B-09,0.5492,high
BASM-00089,0.0104,0.714,0.0163,OP-B-008,ST-B-06,0.2649,medium
BASM-00090,0.0215,1.296,0.0511,OP-B-018,ST-B-08,0.2877,medium
BASM-00091,-0.006,1.264,0.0591,OP-B-125,ST-B-17,0.5688,high
BASM-00092,0.0318,1.223,0.0839,OP-B-056,ST-B-21,0.4005,medium
BASM-00093,0.0177,0.834,0.0373,OP-B-129,ST-B-13,0.1247,low
BASM-00094,0.0066,1.216,0.0775,OP-B-085,ST-B-12,0.38,medium
BASM-00095,0.0103,0.528,0.0193,OP-B-126,ST-B-09,0.3295,medium
BASM-00096,0.0334,1.205,0.0611,OP-B-082,ST-B-18,0.443,medium
BASM-00097,0.0248,1.452,0.0202,OP-B-108,ST-B-22,0.2734,medium
BASM-00098,0.0123,1.409,0.1082,OP-B-041,ST-B-20,0.4726,medium
BASM-00099,0.0109,0.863,0.0809,OP-B-119,ST-B-30,0.3323,medium
BASM-00100,0.0394,1.115,0.0555,OP-B-090,ST-B-07,0.4588,medium
BASM-00101,0.0305,0.917,0.0344,OP-B-053,ST-B-03,0.2633,medium
BASM-00102,0.0128,0.808,0.0285,OP-B-003,ST-B-04,0.1454,low
BASM-00103,0.0232,1.535,0.0566,OP-B-143,ST-B-22,0.3806,medium
BASM-00104,0.0129,1.291,0.0073,OP-B-076,ST-B-01,0.2137,low
BASM-00105,0.0067,0.947,0.0349,OP-B-099,ST-B-26,0.1953,low
BASM-00106,0.0216,1.426,0.0163,OP-B-048,ST-B-14,0.2049,low
BASM-00107,0.0127,0.643,0.0917,OP-B-040,ST-B-17,0.36,medium
BASM-00108,0.0057,1.481,0.0569,OP-B-083,ST-B-30,0.4138,medium
BASM-00109,0.0228,0.884,0.0314,OP-B-122,ST-B-05,0.1739,low
BASM-00110,0.03,0.863,0.0201,OP-B-022,ST-B-25,0.2961,medium
BASM-00111,0.0302,0.898,0.0538,OP-B-124,ST-B-11,0.2943,medium
BASM-00112,0.0105,1.027,0.0783,OP-B-047,ST-B-14,0.2581,medium
BASM-00113,0.0234,1.063,0.0703,OP-B-076,ST-B-26,0.2426,low
BASM-00114,0.0221,0.954,0.0375,OP-B-127,ST-B-04,0.227,low
BASM-00115,0.0191,0.868,0.0183,OP-B-039,ST-B-14,0.0934,low
BASM-00116,0.0229,1.445,0.0132,OP-B-124,ST-B-11,0.2263,low
BASM-00117,0.0011,1.342,0.0328,OP-B-091,ST-B-22,0.4024,medium
BASM-00118,0.0324,1.128,0.0141,OP-B-089,ST-B-06,0.3235,medium
BASM-00119,0.026,0.97,0.1009,OP-B-129,ST-B-15,0.2567,medium
BASM-00120,0.0055,0.571,0.0069,OP-B-143,ST-B-21,0.2828,medium
BASM-00121,0.0219,1.308,0.1186,OP-B-143,ST-B-30,0.3696,medium
BASM-00122,0.012,0.796,0.0552,OP-B-003,ST-B-19,0.2557,medium
BASM-00123,0.0081,0.665,0.0411,OP-B-005,ST-B-22,0.2871,medium
BASM-00124,0.009,0.869,0.0919,OP-B-041,ST-B-21,0.3557,medium
BASM-00125,0.0198,0.882,0.02,OP-B-008,ST-B-05,0.1411,low
BASM-00126,0.03,0.989,0.0269,OP-B-064,ST-B-27,0.2806,medium
BASM-00127,0.0252,0.841,0.0612,OP-B-095,ST-B-22,0.236,low
BASM-00128,-0.006,1.156,0.042,OP-B-095,ST-B-29,0.432,medium
BASM-00129,0.0173,1.375,0.1631,OP-B-136,ST-B-03,0.5545,high
BASM-00130,0.0055,0.805,0.0146,OP-B-047,ST-B-26,0.2682,medium
BASM-00131,0.0148,0.925,0.1683,OP-B-123,ST-B-03,0.3638,medium
BASM-00132,0.0303,1.101,0.037,OP-B-115,ST-B-28,0.221,low
BASM-00133,0.0121,0.926,0.027,OP-B-145,ST-B-01,0.1309,low
BASM-00134,0.008,1.583,0.1196,OP-B-132,ST-B-06,0.6098,high
BASM-00135,0.0325,1.137,0.0026,OP-B-125,ST-B-04,0.2354,low
BASM-00136,0.0088,0.98,0.0671,OP-B-063,ST-B-28,0.2201,low
BASM-00137,0.0209,0.97,0.0379,OP-B-094,ST-B-09,0.134,low
BASM-00138,0.0133,0.611,0.0295,OP-B-060,ST-B-21,0.2687,medium
BASM-00139,0.022,0.748,0.0477,OP-B-083,ST-B-16,0.2678,medium
BASM-00140,0.0277,0.662,0.0718,OP-B-055,ST-B-26,0.3877,medium
BASM-00141,0.008,1.573,0.0037,OP-B-091,ST-B-30,0.3902,medium
BASM-00142,0.0205,0.994,0.0738,OP-B-061,ST-B-24,0.1842,low
BASM-00143,0.0168,0.964,0.0479,OP-B-003,ST-B-06,0.1326,low
BASM-00144,0.0281,1.199,0.0444,OP-B-010,ST-B-05,0.2789,medium
BASM-00145,0.0046,0.787,0.024,OP-B-081,ST-B-21,0.3427,medium
BASM-00146,0.021,1.028,0.0276,OP-B-021,ST-B-18,0.1218,low
BASM-00147,0.0145,0.3,0.0496,OP-B-115,ST-B-20,0.3825,medium
BASM-00148,0.0231,1.163,0.0499,OP-B-031,ST-B-29,0.2418,low
BASM-00149,0.009,1.334,0.0908,OP-B-145,ST-B-26,0.4177,medium
