bearing_id,design_id,material_batch_id,manufacturing_batch_id,assembly_id,maintenance_record_id,operation_hours,lubrication_age_ratio,design_risk_score,material_risk_score,manufacturing_risk_score,assembly_risk_score,operation_risk_score,inspection_id,inspection_risk_score,overall_lifecycle_risk,overall_lifecycle_risk_level
BRG-00001,BDES-00407,BMAT-00415,BMAN-00361,BASM-00001,BOPR-00001,7009.3,0.265,0.2334,0.3374,0.348,0.1915,0.3708,BINSP-00001,0.2493,0.2922,medium
BRG-00002,BDES-00668,BMAT-00128,BMAN-00586,BASM-00002,BOPR-00002,3562.8,0.5651,0.0,0.249,0.3598,0.2167,0.3677,BINSP-00002,0.1473,0.234,low
BRG-00003,BDES-00547,BMAT-00359,BMAN-00852,BASM-00003,BOPR-00003,2043.7,0.2576,0.3636,0.4986,0.2653,0.2818,0.1322,BINSP-00003,0.2824,0.3164,medium
BRG-00004,BDES-00312,BMAT-00422,BMAN-00032,BASM-00004,BOPR-00004,3764.9,0.392,0.0,0.2035,0.286,0.3959,0.2676,BINSP-00004,0.2304,0.2358,low
BRG-00005,BDES-00611,BMAT-00429,BMAN-01161,BASM-00005,BOPR-00005,5748.3,0.1972,0.2511,0.1221,0.1544,0.509,0.3683,BINSP-00005,0.2116,0.2586,medium
BRG-00006,BDES-00095,BMAT-00156,BMAN-00852,BASM-00006,BOPR-00006,3812.3,0.3245,0.1082,0.388,0.2653,0.2111,0.2388,BINSP-00006,0.1841,0.2436,low
BRG-00007,BDES-00761,BMAT-00182,BMAN-00194,BASM-00007,BOPR-00007,3763.7,0.4449,0.0149,0.2755,0.3292,0.2282,0.266,BINSP-00007,0.2189,0.2314,low
BRG-00008,BDES-00247,BMAT-00448,BMAN-00524,BASM-00008,BOPR-00008,4823.3,0.45,0.1134,0.1464,0.3839,0.3745,0.2516,BINSP-00008,0.1761,0.2548,medium
BRG-00009,BDES-00265,BMAT-00327,BMAN-00226,BASM-00009,BOPR-00009,2651.5,0.2775,0.1853,0.2627,0.2934,0.3839,0.2176,BINSP-00009,0.2074,0.2686,medium
BRG-00010,BDES-00597,BMAT-00322,BMAN-00361,BASM-00010,BOPR-00010,6930.1,0.7326,0.1023,0.2124,0.348,0.2847,0.4907,BINSP-00010,0.1985,0.2723,medium
BRG-00011,BDES-00632,BMAT-00109,BMAN-00841,BASM-00011,BOPR-00011,8067.1,0.5151,0.0821,0.4809,0.3858,0.0937,0.4314,BINSP-00011,0.2121,0.2918,medium
BRG-00012,BDES-00759,BMAT-00022,BMAN-01034,BASM-00012,BOPR-00012,2672.9,0.5563,0.3602,0.2617,0.1316,0.2625,0.2241,BINSP-00012,0.2014,0.2358,low
BRG-00013,BDES-00266,BMAT-00257,BMAN-00250,BASM-00013,BOPR-00013,2005.7,0.0888,0.2467,0.4765,0.3238,0.3347,0.1679,BINSP-00013,0.2447,0.3173,medium
BRG-00014,BDES-00017,BMAT-00442,BMAN-00467,BASM-00014,BOPR-00014,4780.5,0.7302,0.1523,0.4489,0.1449,0.3901,0.5092,BINSP-00014,0.2285,0.3031,medium
BRG-00015,BDES-00155,BMAT-00131,BMAN-00158,BASM-00015,BOPR-00015,5191.3,0.249,0.1242,0.1667,0.2982,0.522,0.2318,BINSP-00015,0.1867,0.2652,medium
BRG-00016,BDES-00125,BMAT-00112,BMAN-00821,BASM-00016,BOPR-00016,3047.5,0.3204,0.142,0.1472,0.247,0.419,0.2087,BINSP-00016,0.2467,0.2366,low
BRG-00017,BDES-00150,BMAT-00223,BMAN-01192,BASM-00017,BOPR-00017,2198.2,1.0,0.1375,0.3829,0.4522,0.0603,0.4705,BINSP-00017,0.2815,0.3026,medium
BRG-00018,BDES-00657,BMAT-00090,BMAN-00722,BASM-00018,BOPR-00018,7026.9,0.2019,0.1174,0.3152,0.3544,0.1769,0.2881,BINSP-00018,0.2465,0.2579,medium
BRG-00019,BDES-00007,BMAT-00309,BMAN-01017,BASM-00019,BOPR-00019,9286.9,0.1319,0.4369,0.2738,0.1861,0.2635,0.3792,BINSP-00019,0.286,0.2909,medium
BRG-00020,BDES-00027,BMAT-00099,BMAN-00032,BASM-00020,BOPR-00020,7500.9,0.7113,0.1053,0.2965,0.286,0.4003,0.4192,BINSP-00020,0.2342,0.2906,medium
BRG-00021,BDES-00231,BMAT-00125,BMAN-00040,BASM-00021,BOPR-00021,2172.6,0.5936,0.064,0.1554,0.1644,0.2771,0.3212,BINSP-00021,0.1955,0.1887,low
BRG-00022,BDES-00363,BMAT-00402,BMAN-00930,BASM-00022,BOPR-00022,1929.3,1.0,0.092,0.1519,0.1872,0.2819,0.4532,BINSP-00022,0.1981,0.215,low
BRG-00023,BDES-00122,BMAT-00035,BMAN-00893,BASM-00023,BOPR-00023,7392.5,0.0631,0.1157,0.2243,0.3158,0.2489,0.3097,BINSP-00023,0.3085,0.252,medium
BRG-00024,BDES-00058,BMAT-00212,BMAN-00796,BASM-00024,BOPR-00024,4727.9,0.237,0.1721,0.149,0.4688,0.1437,0.254,BINSP-00024,0.1877,0.245,low
BRG-00025,BDES-00520,BMAT-00298,BMAN-00206,BASM-00025,BOPR-00025,3347.3,0.3552,0.1819,0.3228,0.1837,0.3054,0.3291,BINSP-00025,0.2209,0.2543,medium
BRG-00026,BDES-00318,BMAT-00479,BMAN-00319,BASM-00026,BOPR-00026,2296.8,0.3455,0.1211,0.2665,0.2745,0.2463,0.2042,BINSP-00026,0.2237,0.2298,low
BRG-00027,BDES-00549,BMAT-00011,BMAN-00863,BASM-00027,BOPR-00027,4651.0,0.6404,0.0634,0.2491,0.4264,0.3348,0.4268,BINSP-00027,0.1826,0.292,medium
BRG-00028,BDES-00245,BMAT-00048,BMAN-01019,BASM-00028,BOPR-00028,1913.3,1.0,0.0283,0.2233,0.1923,0.2079,0.4909,BINSP-00028,0.1667,0.2083,low
