design_id,bearing_model,rated_load,rated_speed,clearance,expected_life_hours,lubrication_method,design_risk_score,design_risk_level
BDES-00001,NJ306,25.6,5756,0.0329,30483,grease,0.0743,low
BDES-00002,NU205,26.6,4613,0.0323,41113,grease,0.0849,low
BDES-00003,NU205,27.12,4573,0.0296,19473,grease,0.0217,low
BDES-00004,6205,17.13,2500,0.025,30329,oil_mist,0.1357,low
BDES-00005,NU205,27.35,7821,0.012,29442,grease,0.3055,medium
BDES-00006,6205,23.99,6387,0.0422,26334,oil_mist,0.09,low
BDES-00007,NJ306,27.33,8396,0.0663,21396,grease,0.4369,medium
BDES-00008,NJ306,33.52,6426,0.0501,16598,oil_mist,0.2755,medium
BDES-00009,NJ306,38.72,5787,0.0232,21808,grease,0.0457,low
BDES-00010,NU205,30.75,2855,0.0163,19118,oil_bath,0.1157,low
BDES-00011,6306,15.83,6820,0.0357,26551,grease,0.2339,low
BDES-00012,6205,20.02,4502,0.034,36663,oil_mist,0.0818,low
BDES-00013,7206AC,35.94,6510,0.0175,21307,oil_bath,0.122,low
BDES-00014,NU205,23.82,8663,0.0188,17565,grease,0.3018,medium
BDES-00015,NJ306,25.44,7985,0.0123,29974,grease,0.2742,medium
BDES-00016,6205,25.81,7961,0.0207,17149,grease,0.227,low
BDES-00017,NJ306,30.02,6020,0.0127,25161,grease,0.1523,low
BDES-00018,6306,32.67,9555,0.0259,12613,grease,0.3044,medium
BDES-00019,6306,25.06,5456,0.0189,16687,grease,0.2028,low
BDES-00020,7206AC,27.15,4952,0.0507,35023,oil_bath,0.2145,low
BDES-00021,NU205,13.95,10443,0.0296,27702,grease,0.4325,medium
BDES-00022,7206AC,28.45,6297,0.026,19971,grease,0.0429,low
BDES-00023,NU205,28.93,9170,0.0204,24835,grease,0.2843,medium
BDES-00024,7206AC,23.45,5120,0.026,22234,grease,0.0279,low
BDES-00025,7206AC,31.15,6340,0.0565,11999,oil_bath,0.3566,medium
BDES-00026,7206AC,20.1,7891,0.03,27436,oil_mist,0.1362,low
BDES-00027,7206AC,36.95,4245,0.0395,31751,grease,0.1053,low
BDES-00028,NU205,32.17,6240,0.0239,21111,grease,0.1412,low
BDES-00029,NU205,17.95,6028,0.0412,23633,grease,0.2233,low
BDES-00030,NJ306,21.07,7198,0.0417,27765,grease,0.1863,low
BDES-00031,6306,21.7,6628,0.0238,32520,oil_mist,0.1496,low
BDES-00032,NU205,27.21,7620,0.0229,21901,grease,0.1431,low
BDES-00033,NJ306,32.78,4136,0.0203,26919,oil_bath,0.1121,low
BDES-00034,7206AC,37.69,8103,0.0333,33746,grease,0.106,low
BDES-00035,NU205,21.15,5416,0.0419,23071,oil_bath,0.1559,low
BDES-00036,7206AC,34.78,5347,0.0087,22857,oil_mist,0.2066,low
BDES-00037,NJ306,32.2,3970,0.0237,32630,grease,0.0574,low
BDES-00038,7206AC,20.73,6582,0.0212,21631,oil_mist,0.1815,low
BDES-00039,6205,28.47,4967,0.0358,15881,oil_mist,0.1136,low
BDES-00040,7206AC,33.9,6016,0.0284,21893,oil_mist,0.0516,low
BDES-00041,NU205,27.92,6827,0.0327,24449,grease,0.0492,low
BDES-00042,6205,20.78,7838,0.0368,19017,grease,0.2673,medium
BDES-00043,NU205,21.37,7078,0.0256,23701,oil_bath,0.1287,low
BDES-00044,NU205,26.17,5785,0.0376,19488,grease,0.0666,low
BDES-00045,6205,30.25,6763,0.0128,22771,grease,0.2809,medium
