inspection_id,vibration_rms,kurtosis,temperature,hardness_check,roundness_check,inspection_result,inspection_risk_score,inspection_risk_level
BINSP-00001,1.1626,5.2817,47.95,62.69,3.457,pass,0.2493,low
BINSP-00002,0.9624,3.0267,43.93,60.4,2.397,pass,0.1473,low
BINSP-00003,1.04,5.1147,53.95,57.5,3.269,pass,0.2824,medium
BINSP-00004,0.8988,4.3205,44.59,65.07,3.016,pass,0.2304,low
BINSP-00005,0.8788,4.6528,56.12,60.75,2.546,pass,0.2116,low
BINSP-00006,0.9259,3.9072,48.91,61.61,2.804,pass,0.1841,low
BINSP-00007,0.7774,5.0591,47.21,64.56,1.452,pass,0.2189,low
BINSP-00008,0.8245,3.5232,50.74,60.26,2.701,pass,0.1761,low
BINSP-00009,0.9329,4.5711,45.39,58.26,1.925,pass,0.2074,low
BINSP-00010,0.9929,4.1281,46.92,60.04,3.358,pass,0.1985,low
BINSP-00011,0.8695,3.1407,54.22,58.58,2.982,pass,0.2121,low
BINSP-00012,0.9748,4.0624,47.23,63.07,2.338,pass,0.2014,low
BINSP-00013,0.9771,5.5039,50.27,63.3,2.386,pass,0.2447,low
BINSP-00014,1.1046,3.7585,51.29,62.92,3.382,pass,0.2285,low
BINSP-00015,0.936,4.2476,49.12,61.06,3.015,pass,0.1867,low
BINSP-00016,1.0902,4.0486,47.91,57.37,3.307,pass,0.2467,low
BINSP-00017,1.5524,5.1746,53.59,59.64,2.824,pass,0.2815,medium
BINSP-00018,0.7444,6.2649,50.14,58.01,1.821,pass,0.2465,low
BINSP-00019,1.0279,4.1791,54.23,65.53,3.831,pass,0.286,medium
BINSP-00020,1.0761,5.103,49.35,60.67,4.319,pass,0.2342,low
BINSP-00021,0.9162,5.0825,48.54,60.4,1.958,pass,0.1955,low
BINSP-00022,1.1904,5.092,45.98,61.79,1.024,pass,0.1981,low
BINSP-00023,1.1515,4.952,50.31,55.02,2.976,pass,0.3085,medium
BINSP-00024,0.3199,5.0699,48.47,58.43,2.441,pass,0.1877,low
BINSP-00025,0.4853,5.4324,53.27,59.35,3.416,pass,0.2209,low
BINSP-00026,0.9334,5.6077,46.38,62.34,3.021,pass,0.2237,low
BINSP-00027,0.6381,4.1499,52.59,61.65,2.897,pass,0.1826,low
BINSP-00028,1.0253,3.3233,43.83,61.96,2.718,pass,0.1667,low
BINSP-00029,1.1249,5.6942,52.28,59.83,3.022,pass,0.2565,medium
BINSP-00030,1.4129,4.8452,53.59,61.34,2.366,pass,0.2442,low
BINSP-00031,0.8777,4.5477,46.84,62.16,3.976,pass,0.2088,low
BINSP-00032,1.0936,4.3483,52.58,60.26,3.706,pass,0.2302,low
BINSP-00033,1.022,5.8347,52.17,63.67,3.297,pass,0.2774,medium
BINSP-00034,1.2193,5.1499,49.94,60.91,3.252,pass,0.2311,low
BINSP-00035,0.8109,3.9727,48.47,64.33,2.661,pass,0.2148,low
BINSP-00036,0.9729,4.3956,49.19,61.61,2.141,pass,0.1902,low
BINSP-00037,0.7987,3.9392,48.27,60.35,1.096,pass,0.1537,low
BINSP-00038,1.0602,5.2613,55.4,60.45,1.341,pass,0.2244,low
BINSP-00039,0.7702,5.0678,55.07,64.95,2.276,pass,0.2609,medium
BINSP-00040,0.7268,4.7387,52.65,59.04,3.145,pass,0.2235,low
BINSP-00041,0.6599,5.076,50.81,62.1,3.549,pass,0.2112,low
BINSP-00042,1.2108,4.8747,49.37,58.89,2.181,pass,0.2404,low
BINSP-00043,0.3405,3.6046,48.51,58.0,2.914,pass,0.1721,low
BINSP-00044,0.8503,4.9973,49.29,60.44,2.719,pass,0.2001,low
BINSP-00045,0.8914,4.7677,45.7,60.66,4.495,pass,0.2043,low
BINSP-00046,1.0377,4.8097,43.15,59.3,2.816,pass,0.2072,low
BINSP-00047,0.6398,3.9188,47.3,63.34,3.055,pass,0.1875,low
BINSP-00048,0.6122,4.6687,44.94,60.26,1.841,pass,0.1539,low
BINSP-00049,1.1077,4.7312,53.02,60.91,1.947,pass,0.2094,low
BINSP-00050,0.6843,2.5491,49.15,62.84,2.888,pass,0.16,low
BINSP-00051,0.7968,5.7631,55.09,61.63,2.655,pass,0.2314,low
BINSP-00052,1.061,5.9128,56.35,62.73,3.26,pass,0.2813,medium
BINSP-00053,1.1398,5.1372,52.01,64.76,3.39,pass,0.2889,medium
BINSP-00054,0.76,5.2148,48.6,57.23,1.77,pass,0.2324,low
BINSP-00055,0.7113,4.071,51.82,61.03,2.542,pass,0.1702,low
BINSP-00056,0.9475,3.4527,52.96,59.72,2.248,pass,0.1937,low
BINSP-00057,0.9822,2.6383,48.12,61.71,2.08,pass,0.153,low
BINSP-00058,1.0512,5.0564,49.18,58.61,2.857,pass,0.2444,low
BINSP-00059,0.614,4.6509,46.02,59.44,1.273,pass,0.1629,low
BINSP-00060,0.7545,4.954,57.72,63.62,2.858,pass,0.2536,medium
BINSP-00061,1.1798,5.1455,53.23,59.88,2.944,pass,0.251,medium
BINSP-00062,0.8748,4.1586,44.78,65.29,3.421,pass,0.2341,low
BINSP-00063,0.9707,3.7021,54.12,56.99,2.322,pass,0.2461,low
BINSP-00064,0.9948,5.0197,52.83,59.9,2.458,pass,0.2279,low
BINSP-00065,1.0926,3.9843,46.97,59.51,2.022,pass,0.1948,low
BINSP-00066,1.2505,5.0688,56.53,57.71,5.393,pass,0.3277,medium
BINSP-00067,0.7479,5.081,47.65,57.68,2.72,pass,0.2303,low
BINSP-00068,1.0815,4.119,47.94,59.59,1.543,pass,0.193,low
BINSP-00069,1.0601,4.4553,48.04,63.32,2.474,pass,0.2235,low
BINSP-00070,0.9086,2.8569,43.39,63.01,2.784,pass,0.1639,low
BINSP-00071,0.9704,3.7398,50.42,62.09,3.104,pass,0.1999,low
BINSP-00072,1.343,5.6065,51.46,57.07,2.494,pass,0.3026,medium
BINSP-00073,1.0915,5.3226,56.72,57.27,3.148,pass,0.3017,medium
BINSP-00074,1.0414,5.1513,56.23,63.86,3.171,pass,0.2802,medium
BINSP-00075,0.8792,4.299,51.47,58.05,3.992,pass,0.2467,low
BINSP-00076,1.1054,4.8504,54.29,59.05,2.047,pass,0.2451,low
BINSP-00077,1.0848,4.9927,50.94,57.58,2.45,pass,0.262,medium
BINSP-00078,1.1307,4.9725,56.08,63.22,3.928,pass,0.2819,medium
BINSP-00079,0.8285,4.4025,49.46,62.88,4.206,pass,0.2248,low
BINSP-00080,0.8265,5.4243,51.65,62.2,2.17,pass,0.2179,low
BINSP-00081,0.7956,5.7127,49.59,59.93,3.349,pass,0.2267,low
BINSP-00082,0.942,4.0051,47.07,62.57,3.119,pass,0.1993,low
BINSP-00083,0.8717,4.405,49.01,59.31,3.268,pass,0.2124,low
BINSP-00084,1.1661,3.0166,55.12,58.02,3.237,pass,0.2452,low
BINSP-00085,0.6753,4.0309,45.95,59.49,2.051,pass,0.1632,low
BINSP-00086,1.4408,5.0683,55.01,57.45,2.918,pass,0.3103,medium
BINSP-00087,0.871,3.6155,49.55,59.82,4.202,pass,0.2018,low
BINSP-00088,1.3442,5.0403,52.18,62.76,2.962,pass,0.2669,medium
BINSP-00089,0.8169,4.6952,52.29,60.39,2.657,pass,0.2019,low
BINSP-00090,0.8251,3.4848,45.48,60.58,1.365,pass,0.1367,low
BINSP-00091,1.4565,5.5073,50.45,63.69,3.269,pass,0.296,medium
BINSP-00092,0.8254,5.3963,51.61,60.35,2.512,pass,0.2131,low
BINSP-00093,0.9127,5.7257,53.05,61.22,1.83,pass,0.2161,low
BINSP-00094,0.9922,3.5116,48.26,64.85,2.695,pass,0.2261,low
BINSP-00095,0.7732,5.2376,49.6,58.38,2.186,pass,0.2249,low
BINSP-00096,0.809,4.7577,52.28,64.23,3.524,pass,0.2522,medium
BINSP-00097,0.8561,4.857,51.54,60.63,3.42,pass,0.2108,low
BINSP-00098,0.5512,3.9971,46.72,63.43,2.863,pass,0.1798,low
BINSP-00099,0.7652,4.0706,52.84,56.25,2.984,pass,0.2535,medium
BINSP-00100,1.1863,6.1059,57.9,59.7,2.852,pass,0.288,medium
BINSP-00101,1.3974,4.6819,47.73,62.81,3.979,pass,0.2614,medium
BINSP-00102,0.5494,4.4557,49.14,65.13,2.159,pass,0.214,low
BINSP-00103,0.984,5.1152,50.71,61.41,3.17,pass,0.2199,low
BINSP-00104,0.9282,4.4816,54.1,64.88,2.255,pass,0.2558,medium
