manufacturing_batch_id,heat_treatment_temp,tempering_temp,grinding_quality,roundness_error,roughness,equipment_id,manufacturing_risk_score,manufacturing_risk_level
BMAN-00001,835.7,191.7,0.8014,0.54,0.085,EQ-GR-022,0.0937,low
BMAN-00002,833.8,212.1,0.7301,0.609,0.164,EQ-GR-038,0.21,low
BMAN-00003,784.5,170.2,0.8277,1.079,0.11,EQ-GR-027,0.3062,medium
BMAN-00004,836.5,197.4,0.7024,1.414,0.53,EQ-GR-091,0.3205,medium
BMAN-00005,877.3,197.1,0.8217,0.271,0.122,EQ-GR-066,0.3088,medium
BMAN-00006,847.9,167.9,0.6409,0.647,0.087,EQ-GR-081,0.1151,low
BMAN-00007,833.2,167.2,0.6878,0.734,0.199,EQ-GR-066,0.1302,low
BMAN-00008,778.4,152.9,0.5755,1.758,0.16,EQ-GR-019,0.4172,medium
BMAN-00009,859.8,153.1,0.5658,2.043,0.454,EQ-GR-021,0.3799,medium
BMAN-00010,827.8,154.5,0.8125,1.608,0.05,EQ-GR-045,0.2559,medium
BMAN-00011,823.6,164.5,0.4438,4.257,0.639,EQ-GR-046,0.4905,medium
BMAN-00012,792.3,158.2,0.5601,3.936,0.079,EQ-GR-116,0.4437,medium
BMAN-00013,830.0,173.4,0.6713,3.139,0.644,EQ-GR-070,0.2931,medium
BMAN-00014,851.0,170.2,0.8118,1.754,1.25,EQ-GR-066,0.4533,medium
BMAN-00015,788.3,171.4,0.821,2.417,0.485,EQ-GR-044,0.4422,medium
BMAN-00016,889.4,189.8,0.7636,0.334,0.135,EQ-GR-113,0.3597,medium
BMAN-00017,900.0,208.3,0.3219,1.643,0.274,EQ-GR-004,0.6238,high
BMAN-00018,800.7,155.5,0.6935,0.527,0.767,EQ-GR-108,0.4334,medium
BMAN-00019,789.9,178.0,0.6187,1.291,0.511,EQ-GR-076,0.4534,medium
BMAN-00020,802.4,140.2,0.853,1.028,0.272,EQ-GR-015,0.3328,medium
BMAN-00021,864.4,199.3,0.5736,0.558,0.102,EQ-GR-059,0.248,low
