material_batch_id,material_grade,supplier_id,hardness,inclusion_level,fatigue_strength,material_risk_score,material_risk_level
BMAT-00001,GCr15,SUP-054,60.48,3.516,1288.8,0.3484,medium
BMAT-00002,GCr15SiMn,SUP-009,60.45,1.283,1431.8,0.0584,low
BMAT-00003,M50,SUP-043,66.34,0.746,1285.6,0.2462,low
BMAT-00004,GCr15,SUP-056,60.94,0.747,1192.7,0.1538,low
BMAT-00005,GCr15SiMn,SUP-021,62.05,1.99,1165.9,0.2692,medium
BMAT-00006,GCr15,SUP-033,58.74,2.279,1307.5,0.2924,medium
BMAT-00007,GCr15SiMn,SUP-024,60.15,1.044,1450.0,0.1461,low
BMAT-00008,GCr15,SUP-043,60.23,0.723,1323.5,0.094,low
BMAT-00009,GCr15,SUP-006,60.3,0.949,1295.7,0.1026,low
BMAT-00010,GCr15,SUP-007,56.21,4.699,1267.1,0.5978,high
BMAT-00011,GCr15SiMn,SUP-034,64.32,0.623,1220.1,0.2491,low
BMAT-00012,GCr15SiMn,SUP-038,60.95,1.1,1186.0,0.1533,low
BMAT-00013,GCr15,SUP-006,55.64,0.312,970.6,0.4711,medium
BMAT-00014,GCr15,SUP-053,64.9,0.378,1375.5,0.1418,low
BMAT-00015,GCr15SiMn,SUP-058,60.31,4.999,987.0,0.6155,high
BMAT-00016,GCr15SiMn,SUP-008,61.16,4.809,1269.5,0.3781,medium
BMAT-00017,GCr15,SUP-025,62.78,0.39,1296.8,0.0665,low
BMAT-00018,GCr15SiMn,SUP-027,62.47,1.692,1231.9,0.0999,low
BMAT-00019,GCr15SiMn,SUP-045,57.3,1.19,1425.2,0.2441,low
BMAT-00020,GCr15SiMn,SUP-003,59.38,0.666,1650.0,0.1396,low
BMAT-00021,GCr15,SUP-050,58.9,0.997,1477.0,0.0993,low
BMAT-00022,GCr15,SUP-036,59.27,2.098,1196.7,0.2617,medium
BMAT-00023,M50,SUP-004,57.2,0.701,1406.2,0.169,low
BMAT-00024,GCr15SiMn,SUP-035,63.76,3.364,1435.6,0.2794,medium
BMAT-00025,GCr15,SUP-024,58.67,4.197,949.8,0.6739,high
BMAT-00026,GCr15SiMn,SUP-010,57.85,3.096,1219.9,0.3106,medium
BMAT-00027,GCr15,SUP-029,62.98,3.377,1236.4,0.3411,medium
BMAT-00028,GCr15SiMn,SUP-039,59.47,1.93,1157.1,0.1792,low
BMAT-00029,GCr15,SUP-056,59.37,0.206,1572.0,0.0644,low
BMAT-00030,GCr15,SUP-010,61.18,0.947,1650.0,0.1025,low
BMAT-00031,GCr15SiMn,SUP-036,60.39,1.412,1115.3,0.2221,low
BMAT-00032,GCr15,SUP-048,56.48,2.232,1203.5,0.3784,medium
BMAT-00033,M50,SUP-021,61.47,1.721,1273.2,0.179,low
BMAT-00034,GCr15,SUP-017,57.08,3.912,1601.0,0.3267,medium
BMAT-00035,GCr15SiMn,SUP-005,62.33,1.153,1081.9,0.2243,low
BMAT-00036,SUJ2,SUP-034,56.9,2.08,1192.8,0.262,medium
BMAT-00037,M50,SUP-054,62.46,1.522,1303.0,0.1888,low
BMAT-00038,GCr15,SUP-036,58.74,1.996,1385.0,0.1612,low
BMAT-00039,GCr15,SUP-028,60.1,1.327,1288.1,0.1155,low
BMAT-00040,M50,SUP-042,62.41,1.119,1219.8,0.1344,low
BMAT-00041,GCr15,SUP-040,62.05,1.03,1329.9,0.131,low
BMAT-00042,M50,SUP-043,61.75,0.867,1200.1,0.1368,low
BMAT-00043,SUJ2,SUP-046,57.92,1.227,1608.3,0.1925,low
BMAT-00044,GCr15SiMn,SUP-038,59.28,1.065,1270.7,0.1252,low
BMAT-00045,GCr15,SUP-013,59.16,2.554,1040.7,0.3596,medium
BMAT-00046,GCr15,SUP-017,57.13,2.658,1519.5,0.331,medium
BMAT-00047,GCr15,SUP-058,65.48,2.589,1123.8,0.4705,medium
BMAT-00048,GCr15,SUP-006,59.53,2.429,1525.9,0.2233,low
BMAT-00049,GCr15,SUP-048,62.54,2.91,1405.3,0.2937,medium
BMAT-00050,GCr15,SUP-029,64.25,3.279,1207.0,0.4074,medium
BMAT-00051,GCr15SiMn,SUP-048,56.36,0.942,1057.6,0.514,high
BMAT-00052,SUJ2,SUP-056,57.61,2.659,1436.4,0.361,medium
BMAT-00053,GCr15,SUP-006,64.01,1.61,1321.8,0.2467,low
BMAT-00054,GCr15SiMn,SUP-053,57.69,0.214,1390.1,0.1975,low
BMAT-00055,GCr15,SUP-057,60.77,0.575,1556.8,0.0284,low
BMAT-00056,SUJ2,SUP-012,59.72,0.465,1169.6,0.1638,low
BMAT-00057,GCr15,SUP-057,60.96,0.849,1147.1,0.122,low
BMAT-00058,GCr15,SUP-021,63.96,0.352,1511.9,0.0822,low
BMAT-00059,GCr15,SUP-024,62.31,2.464,1099.8,0.2962,medium
BMAT-00060,GCr15,SUP-018,66.16,1.97,1364.4,0.3642,medium
BMAT-00061,M50,SUP-035,61.04,1.428,1358.1,0.1004,low
BMAT-00062,GCr15,SUP-051,56.42,0.994,1205.1,0.3046,medium
BMAT-00063,GCr15,SUP-014,59.11,1.295,1565.7,0.213,low
BMAT-00064,GCr15,SUP-058,62.68,1.808,1255.0,0.2169,low
BMAT-00065,GCr15,SUP-005,56.0,1.132,1359.9,0.2774,medium
BMAT-00066,GCr15,SUP-047,60.8,1.266,1261.3,0.1075,low
BMAT-00067,GCr15SiMn,SUP-052,63.47,1.015,1197.4,0.2538,medium
BMAT-00068,SUJ2,SUP-058,61.58,0.317,1118.3,0.2234,low
BMAT-00069,GCr15,SUP-047,60.54,0.792,1251.9,0.1185,low
BMAT-00070,GCr15,SUP-022,62.36,0.361,1045.5,0.223,low
BMAT-00071,GCr15,SUP-052,64.81,0.373,1173.5,0.3431,medium
BMAT-00072,GCr15SiMn,SUP-033,63.47,0.658,1325.1,0.1479,low
BMAT-00073,GCr15SiMn,SUP-029,62.16,0.718,1650.0,0.1148,low
