head,relation,tail,head_type,tail_type,domain,source_table,weight
BRG-00001,designed_by,BDES-00407,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00001,uses_material_batch,BMAT-00415,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00001,manufactured_in,BMAN-00361,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00001,assembled_in,BASM-00001,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00001,inspected_by,BINSP-00001,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00001,maintained_by,BOPR-00001,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00001,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00001,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2922
BRG-00002,designed_by,BDES-00668,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00002,uses_material_batch,BMAT-00128,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00002,manufactured_in,BMAN-00586,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00002,assembled_in,BASM-00002,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00002,inspected_by,BINSP-00002,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00002,maintained_by,BOPR-00002,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00002,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00002,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.234
BRG-00003,designed_by,BDES-00547,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00003,uses_material_batch,BMAT-00359,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00003,manufactured_in,BMAN-00852,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00003,assembled_in,BASM-00003,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00003,inspected_by,BINSP-00003,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00003,maintained_by,BOPR-00003,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00003,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00003,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.3164
BRG-00004,designed_by,BDES-00312,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00004,uses_material_batch,BMAT-00422,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00004,manufactured_in,BMAN-00032,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00004,assembled_in,BASM-00004,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00004,inspected_by,BINSP-00004,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00004,maintained_by,BOPR-00004,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00004,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
