assembly_id,assembly_torque,seal_preload,alignment_error,operator_id,station_id,assembly_risk_score,assembly_risk_level
HASM-00001,28.479,0.522,0.0564,OP-H-020,ST-H-38,0.3521,medium
HASM-00002,29.861,0.902,0.2429,OP-H-016,ST-H-15,0.5116,high
HASM-00003,47.975,0.829,0.023,OP-H-081,ST-H-33,0.0713,low
HASM-00004,45.13,1.305,0.1389,OP-H-145,ST-H-11,0.3519,medium
HASM-00005,58.805,0.746,0.0682,OP-H-162,ST-H-12,0.3479,medium
HASM-00006,42.885,1.132,0.0642,OP-H-082,ST-H-37,0.1157,low
HASM-00007,37.526,1.171,0.0141,OP-H-158,ST-H-33,0.105,low
HASM-00008,41.118,0.655,0.1499,OP-H-151,ST-H-12,0.3315,medium
HASM-00009,32.408,0.676,0.1866,OP-H-178,ST-H-17,0.5221,high
HASM-00010,43.889,1.19,0.1426,OP-H-117,ST-H-26,0.2549,medium
HASM-00011,26.192,1.246,0.0869,OP-H-073,ST-H-09,0.371,medium
HASM-00012,47.434,1.423,0.0512,OP-H-071,ST-H-25,0.2925,medium
HASM-00013,46.535,0.994,0.0205,OP-H-001,ST-H-06,0.0403,low
HASM-00014,42.94,1.154,0.022,OP-H-138,ST-H-04,0.1147,low
HASM-00015,53.254,0.899,0.0158,OP-H-029,ST-H-02,0.2159,low
HASM-00016,47.315,1.367,0.0513,OP-H-140,ST-H-03,0.2744,medium
HASM-00017,46.718,0.997,0.0497,OP-H-045,ST-H-32,0.1313,low
HASM-00018,31.342,1.061,0.0519,OP-H-041,ST-H-20,0.2087,low
HASM-00019,37.765,1.481,0.0604,OP-H-142,ST-H-23,0.2938,medium
HASM-00020,46.311,1.03,0.0638,OP-H-020,ST-H-13,0.0882,low
HASM-00021,36.097,0.866,0.1011,OP-H-042,ST-H-34,0.2188,low
HASM-00022,58.262,1.119,0.1295,OP-H-062,ST-H-22,0.3511,medium
HASM-00023,31.245,0.949,0.0306,OP-H-104,ST-H-37,0.122,low
HASM-00024,36.239,0.924,0.0304,OP-H-179,ST-H-12,0.0712,low
HASM-00025,43.784,1.095,0.1017,OP-H-133,ST-H-16,0.1984,low
HASM-00026,61.391,1.126,0.1315,OP-H-135,ST-H-39,0.4106,medium
HASM-00027,43.561,0.675,0.0576,OP-H-133,ST-H-10,0.2312,low
HASM-00028,44.92,0.952,0.0603,OP-H-052,ST-H-06,0.1684,low
HASM-00029,41.592,0.803,0.0861,OP-H-165,ST-H-19,0.2212,low
HASM-00030,34.529,1.171,0.0056,OP-H-036,ST-H-26,0.1147,low
HASM-00031,22.416,0.996,0.0233,OP-H-159,ST-H-07,0.1803,low
HASM-00032,40.947,1.078,0.0825,OP-H-078,ST-H-02,0.1392,low
HASM-00033,44.81,1.075,0.036,OP-H-010,ST-H-09,0.2029,low
HASM-00034,53.127,1.177,0.0314,OP-H-094,ST-H-19,0.198,low
HASM-00035,41.886,0.906,0.0361,OP-H-005,ST-H-05,0.0816,low
HASM-00036,52.8,1.524,0.0141,OP-H-058,ST-H-26,0.2642,medium
HASM-00037,48.203,0.711,0.0292,OP-H-133,ST-H-31,0.2072,low
HASM-00038,41.469,1.191,0.0355,OP-H-048,ST-H-09,0.1057,low
HASM-00039,20.363,1.168,0.0257,OP-H-123,ST-H-11,0.3089,medium
HASM-00040,57.537,0.959,0.1631,OP-H-018,ST-H-07,0.3506,medium
HASM-00041,43.287,1.402,0.0336,OP-H-069,ST-H-26,0.1908,low
HASM-00042,40.917,0.722,0.0631,OP-H-110,ST-H-03,0.2148,low
HASM-00043,53.639,0.964,0.0173,OP-H-174,ST-H-23,0.151,low
HASM-00044,40.081,1.504,0.0198,OP-H-129,ST-H-38,0.2575,medium
HASM-00045,30.135,0.95,0.0395,OP-H-164,ST-H-27,0.2338,low
HASM-00046,56.942,1.229,0.0305,OP-H-015,ST-H-26,0.3362,medium
