component_uid,component_code,component_name,design_id,material_batch_id,manufacturing_batch_id,assembly_id,maintenance_record_id,operation_hours,oil_age_ratio,material_risk_score,manufacturing_risk_score,assembly_risk_score,operation_risk_score,pipe_design_id,pipe_design_risk_score,design_risk_score,inspection_id,inspection_risk_score,overall_lifecycle_risk,overall_lifecycle_risk_level
HCU-00001,C006,冷却器,HDES-00156,HMAT-00144,HMAN-00541,HASM-00001,HOPR-00001,3540.0,0.7655,0.2059,0.2339,0.3521,0.5217,,0.0,0.0402,HINSP-00001,0.151,0.2631,medium
HCU-00002,C011,管路总成,HDES-01144,HMAT-00229,HMAN-00169,HASM-00002,HOPR-00002,4064.4,0.2474,0.2013,0.367,0.5116,0.2312,HPIP-00001,0.1377,0.1724,HINSP-00002,0.1698,0.2812,medium
HCU-00003,C001,液压泵总成,HDES-01119,HMAT-00005,HMAN-00027,HASM-00003,HOPR-00003,3010.2,0.511,0.3849,0.2246,0.0713,0.4161,,0.0,0.1302,HINSP-00003,0.1559,0.2379,low
HCU-00004,C010,节流阀,HDES-00758,HMAT-00343,HMAN-00843,HASM-00004,HOPR-00004,1928.9,0.3005,0.2234,0.3015,0.3519,0.1775,,0.0,0.1783,HINSP-00004,0.1463,0.2335,low
HCU-00005,C004,溢流阀,HDES-00058,HMAT-00099,HMAN-00515,HASM-00005,HOPR-00005,2755.1,0.5948,0.2333,0.1207,0.3479,0.4614,,0.0,0.1478,HINSP-00005,0.1728,0.2561,medium
HCU-00006,C002,方向控制阀,HDES-00141,HMAT-00502,HMAN-00205,HASM-00006,HOPR-00006,4378.8,0.2273,0.3439,0.1991,0.1157,0.2988,,0.0,0.1406,HINSP-00006,0.103,0.2069,low
HCU-00007,C002,方向控制阀,HDES-00466,HMAT-00056,HMAN-00273,HASM-00007,HOPR-00007,2520.5,0.6723,0.1642,0.2667,0.105,0.4531,,0.0,0.065,HINSP-00007,0.0955,0.205,low
HCU-00008,C011,管路总成,HDES-00812,HMAT-00525,HMAN-00826,HASM-00008,HOPR-00008,2856.9,0.3725,0.241,0.5747,0.3315,0.2952,HPIP-00002,0.4967,0.4719,HINSP-00008,0.1843,0.3626,medium
HCU-00009,C011,管路总成,HDES-00448,HMAT-00427,HMAN-00308,HASM-00009,HOPR-00009,5677.4,0.3819,0.188,0.4301,0.5221,0.3099,HPIP-00003,0.2002,0.1319,HINSP-00009,0.1592,0.2995,medium
HCU-00010,C009,单向阀,HDES-01019,HMAT-00143,HMAN-00124,HASM-00010,HOPR-00010,8237.4,0.3569,0.3272,0.4276,0.2549,0.4975,,0.0,0.3658,HINSP-00010,0.2218,0.3624,medium
HCU-00011,C002,方向控制阀,HDES-00466,HMAT-00010,HMAN-00961,HASM-00011,HOPR-00011,3536.8,0.4002,0.3119,0.4689,0.371,0.3188,,0.0,0.065,HINSP-00011,0.2181,0.2968,medium
HCU-00012,C003,作动筒,HDES-00094,HMAT-00461,HMAN-00382,HASM-00012,HOPR-00012,1195.7,0.048,0.1313,0.3392,0.2925,0.0367,,0.0,0.3454,HINSP-00012,0.1643,0.2194,low
HCU-00013,C005,蓄能器,HDES-00816,HMAT-00151,HMAN-00207,HASM-00013,HOPR-00013,1478.2,0.4836,0.4408,0.3495,0.0403,0.2976,,0.0,0.0003,HINSP-00013,0.1431,0.2156,low
HCU-00014,C007,过滤器,HDES-00640,HMAT-00050,HMAN-01123,HASM-00014,HOPR-00014,8972.9,0.2712,0.0713,0.4218,0.1147,0.4477,,0.0,0.0778,HINSP-00014,0.1425,0.2261,low
HCU-00015,C011,管路总成,HDES-00784,HMAT-00300,HMAN-00258,HASM-00015,HOPR-00015,4570.2,0.3099,0.1327,0.241,0.2159,0.3161,HPIP-00004,0.4265,0.3669,HINSP-00015,0.1335,0.2453,low
HCU-00016,C011,管路总成,HDES-00374,HMAT-00143,HMAN-00569,HASM-00016,HOPR-00016,1459.8,0.4941,0.3272,0.3307,0.2744,0.3523,HPIP-00005,0.2847,0.2875,HINSP-00016,0.2208,0.305,medium
HCU-00017,C009,单向阀,HDES-00316,HMAT-00424,HMAN-00332,HASM-00017,HOPR-00017,2340.0,0.5958,0.4401,0.3158,0.1313,0.4241,,0.0,0.2099,HINSP-00017,0.1406,0.2876,medium
HCU-00018,C004,溢流阀,HDES-00860,HMAT-00216,HMAN-00782,HASM-00018,HOPR-00018,3889.9,0.1175,0.3941,0.2172,0.2087,0.2128,,0.0,0.1821,HINSP-00018,0.1964,0.2346,low
