case_id,component_code,component_name,fault_type,severity,judgement,fault_level,rank_no
HCASE-00001,C006,冷却器,冷却器故障,0.70187,故障,重度故障,1
HCASE-00001,C008,液压油箱,油箱故障,0.25517,正常,轻微退化,2
HCASE-00001,C007,过滤器,过滤器堵塞,0.20103,正常,轻微退化,3
HCASE-00001,C012,卸荷阀,卸荷阀故障,0.09435,正常,正常,4
HCASE-00001,C005,蓄能器,蓄能器故障,0.05196,正常,正常,5
HCASE-00001,C009,单向阀,单向阀故障,0.0444,正常,正常,6
HCASE-00001,C002,方向控制阀,方向阀故障,0.038,正常,正常,7
HCASE-00001,C004,溢流阀,溢流阀故障,0.0252,正常,正常,8
HCASE-00001,C001,液压泵总成,液压泵故障,0.01426,正常,正常,9
HCASE-00001,C011,管路总成,管路泄漏,0.01271,正常,正常,10
HCASE-00001,C003,作动筒,作动筒故障,0.011,正常,正常,11
HCASE-00001,C010,节流阀,节流阀故障,0.00586,正常,正常,12
HCASE-00002,C011,管路总成,管路泄漏,0.60874,故障,中度故障,1
HCASE-00002,C003,作动筒,作动筒故障,0.35629,故障,中度故障,2
HCASE-00002,C001,液压泵总成,液压泵故障,0.30544,正常,轻微退化,3
HCASE-00002,C005,蓄能器,蓄能器故障,0.23889,正常,轻微退化,4
HCASE-00002,C002,方向控制阀,方向阀故障,0.20955,正常,轻微退化,5
HCASE-00002,C004,溢流阀,溢流阀故障,0.06548,正常,正常,6
HCASE-00002,C012,卸荷阀,卸荷阀故障,0.0624,正常,正常,7
HCASE-00002,C006,冷却器,冷却器故障,0.04282,正常,正常,8
HCASE-00002,C007,过滤器,过滤器堵塞,0.03144,正常,正常,9
HCASE-00002,C009,单向阀,单向阀故障,0.0171,正常,正常,10
HCASE-00002,C010,节流阀,节流阀故障,0.01263,正常,正常,11
HCASE-00002,C008,液压油箱,油箱故障,0.01166,正常,正常,12
HCASE-00003,C001,液压泵总成,液压泵故障,0.67418,故障,中度故障,1
HCASE-00003,C011,管路总成,管路泄漏,0.3884,故障,中度故障,2
HCASE-00003,C012,卸荷阀,卸荷阀故障,0.27843,正常,轻微退化,3
HCASE-00003,C008,液压油箱,油箱故障,0.26977,正常,轻微退化,4
HCASE-00003,C004,溢流阀,溢流阀故障,0.21831,正常,轻微退化,5
HCASE-00003,C007,过滤器,过滤器堵塞,0.08915,正常,正常,6
HCASE-00003,C005,蓄能器,蓄能器故障,0.06368,正常,正常,7
HCASE-00003,C002,方向控制阀,方向阀故障,0.05587,正常,正常,8
HCASE-00003,C006,冷却器,冷却器故障,0.04957,正常,正常,9
HCASE-00003,C003,作动筒,作动筒故障,0.03882,正常,正常,10
