design_id,component_code,component_name,rated_pressure,rated_flow,temperature_limit,design_margin,design_risk_score,design_risk_level
HDES-00001,C012,卸荷阀,25.29,45.61,77.02,0.2061,0.2872,medium
HDES-00002,C006,冷却器,11.7,65.11,64.27,0.3377,0.3043,medium
HDES-00003,C010,节流阀,23.55,93.56,72.76,0.0746,0.4353,medium
HDES-00004,C011,管路总成,31.44,44.92,57.46,0.3993,0.1872,low
HDES-00005,C007,过滤器,13.81,30.77,94.52,0.141,0.4582,medium
HDES-00006,C004,溢流阀,22.35,64.0,71.39,0.2118,0.4336,medium
HDES-00007,C004,溢流阀,30.54,30.55,75.77,0.3766,0.0423,low
HDES-00008,C009,单向阀,20.13,48.81,81.22,0.4,0.007,low
HDES-00009,C008,液压油箱,20.22,98.15,83.7,0.453,0.073,low
HDES-00010,C008,液压油箱,18.73,100.12,77.76,0.1792,0.315,medium
HDES-00011,C001,液压泵总成,18.69,96.06,104.28,0.2838,0.2665,medium
HDES-00012,C008,液压油箱,13.28,86.97,100.84,0.2372,0.3142,medium
HDES-00013,C012,卸荷阀,30.21,35.62,74.72,0.3687,0.0963,low
HDES-00014,C006,冷却器,19.96,63.28,74.32,0.372,0.0694,low
HDES-00015,C007,过滤器,21.85,39.47,85.58,0.2926,0.1773,low
HDES-00016,C012,卸荷阀,24.77,47.23,90.9,0.2376,0.2498,low
HDES-00017,C007,过滤器,12.07,44.3,91.87,0.4344,0.0688,low
HDES-00018,C008,液压油箱,8.49,106.29,86.64,0.3734,0.3406,medium
HDES-00019,C002,方向控制阀,18.6,105.34,74.33,0.3065,0.1532,low
HDES-00020,C004,溢流阀,18.21,91.26,67.66,0.4503,0.2036,low
HDES-00021,C006,冷却器,20.4,53.83,88.62,0.151,0.3955,medium
HDES-00022,C009,单向阀,20.43,69.26,96.5,0.3843,0.0,low
HDES-00023,C011,管路总成,20.6,48.15,82.8,0.3506,0.1181,low
HDES-00024,C007,过滤器,22.18,41.05,85.66,0.3867,0.0192,low
HDES-00025,C002,方向控制阀,18.37,83.86,75.13,0.4231,0.0,low
HDES-00026,C007,过滤器,12.92,48.49,89.5,0.347,0.2211,low
HDES-00027,C010,节流阀,15.07,88.84,84.93,0.3952,0.1049,low
HDES-00028,C009,单向阀,12.29,50.16,74.26,0.2836,0.3613,medium
HDES-00029,C001,液压泵总成,26.91,98.2,71.8,0.2848,0.2284,low
HDES-00030,C002,方向控制阀,14.57,83.1,78.75,0.3805,0.1665,low
HDES-00031,C003,作动筒,14.87,73.6,88.14,0.3983,0.1425,low
HDES-00032,C003,作动筒,22.14,96.48,70.49,0.4524,0.0753,low
HDES-00033,C008,液压油箱,20.65,51.58,83.83,0.3639,0.1049,low
HDES-00034,C012,卸荷阀,27.94,27.54,73.03,0.3351,0.1405,low
HDES-00035,C010,节流阀,28.47,105.23,78.94,0.3697,0.078,low
HDES-00036,C011,管路总成,14.32,48.79,82.05,0.3413,0.3744,medium
HDES-00037,C004,溢流阀,27.37,28.38,70.67,0.3958,0.0807,low
HDES-00038,C010,节流阀,17.16,113.65,78.28,0.2692,0.2301,low
HDES-00039,C003,作动筒,19.56,55.62,96.97,0.3103,0.0878,low
HDES-00040,C007,过滤器,21.31,25.56,99.34,0.315,0.129,low
HDES-00041,C007,过滤器,17.44,50.48,67.37,0.3121,0.2132,low
HDES-00042,C002,方向控制阀,16.12,91.24,79.93,0.4113,0.0338,low
HDES-00043,C008,液压油箱,11.73,79.18,70.77,0.345,0.2975,medium
HDES-00044,C004,溢流阀,28.92,54.26,95.27,0.3772,0.095,low
HDES-00045,C003,作动筒,9.61,77.5,94.29,0.341,0.2237,low
HDES-00046,C010,节流阀,22.86,92.25,92.64,0.472,0.0,low
HDES-00047,C001,液压泵总成,24.93,119.55,89.9,0.2587,0.1806,low
HDES-00048,C002,方向控制阀,30.73,91.17,97.8,0.2138,0.2689,medium
HDES-00049,C005,蓄能器,23.49,66.98,80.85,0.3003,0.1486,low
HDES-00050,C012,卸荷阀,17.31,59.59,69.78,0.2524,0.4265,medium
HDES-00051,C001,液压泵总成,25.69,92.1,86.63,0.388,0.0507,low
HDES-00052,C011,管路总成,24.26,60.08,87.6,0.4496,0.0,low
HDES-00053,C010,节流阀,23.0,85.52,85.23,0.2654,0.2062,low
HDES-00054,C004,溢流阀,28.69,62.27,77.84,0.1383,0.352,medium
HDES-00055,C006,冷却器,15.09,42.48,78.04,0.4262,0.0641,low
HDES-00056,C010,节流阀,9.75,78.94,79.45,0.3047,0.3899,medium
HDES-00057,C001,液压泵总成,34.86,80.48,79.29,0.4017,0.0,low
HDES-00058,C004,溢流阀,28.02,39.8,72.69,0.3423,0.1478,low
HDES-00059,C009,单向阀,18.72,47.06,108.75,0.3092,0.1203,low
HDES-00060,C012,卸荷阀,18.24,49.32,80.57,0.2961,0.3259,medium
HDES-00061,C009,单向阀,17.21,50.68,55.62,0.2482,0.4106,medium
HDES-00062,C011,管路总成,28.55,48.56,78.56,0.443,0.0,low
HDES-00063,C003,作动筒,15.23,49.14,74.85,0.2753,0.2269,low
HDES-00064,C003,作动筒,25.28,67.81,83.21,0.1958,0.2954,medium
HDES-00065,C012,卸荷阀,31.41,58.44,65.05,0.1547,0.4356,medium
HDES-00066,C002,方向控制阀,16.83,78.37,81.01,0.2819,0.2118,low
