inspection_id,pressure_test_value,leakage_rate,flow_test_value,temperature_test_value,vibration_value,inspection_result,inspection_risk_score,inspection_risk_level
HINSP-00001,22.8587,0.24548,75.2362,56.5945,1.24448,pass,0.151,low
HINSP-00002,23.0655,0.24585,86.4213,57.103,0.77971,pass,0.1698,low
HINSP-00003,22.2593,0.31162,61.6342,48.7978,0.73763,pass,0.1559,low
HINSP-00004,22.6573,0.27888,65.7908,50.788,0.70682,pass,0.1463,low
HINSP-00005,24.4641,0.23004,70.2839,56.5049,1.01041,pass,0.1728,low
HINSP-00006,21.4422,0.20189,74.3773,53.5692,0.46417,pass,0.103,low
HINSP-00007,22.0173,0.17549,78.3518,52.4576,0.41797,pass,0.0955,low
HINSP-00008,19.5601,0.25313,73.405,62.6578,1.09904,pass,0.1843,low
HINSP-00009,21.5897,0.32516,66.7056,52.1482,0.90726,pass,0.1592,low
HINSP-00010,24.6919,0.34674,65.6012,61.1808,1.06305,pass,0.2218,low
HINSP-00011,19.7027,0.46765,62.4219,53.8623,0.7665,pass,0.2181,low
HINSP-00012,20.7742,0.23462,60.1464,51.0121,0.72258,pass,0.1643,low
HINSP-00013,22.2557,0.23602,61.9503,50.4324,0.66513,pass,0.1431,low
HINSP-00014,21.6701,0.24098,62.6967,49.7964,0.69755,pass,0.1425,low
HINSP-00015,22.5028,0.20462,69.2848,55.0959,0.76426,pass,0.1335,low
HINSP-00016,19.5535,0.32299,55.486,59.7029,0.54027,pass,0.2208,low
HINSP-00017,21.1782,0.38838,69.685,48.8494,0.45649,pass,0.1406,low
HINSP-00018,19.9469,0.24169,58.1398,56.7307,0.7607,pass,0.1964,low
HINSP-00019,20.6166,0.32273,69.234,51.9758,0.8109,pass,0.1594,low
HINSP-00020,23.6989,0.18794,74.9457,57.7994,0.72011,pass,0.1333,low
HINSP-00021,24.0812,0.22414,73.2414,47.5382,0.79537,pass,0.1293,low
HINSP-00022,21.3679,0.40539,62.0688,56.142,1.12011,pass,0.2068,low
HINSP-00023,20.7713,0.15319,75.0059,47.1506,0.6812,pass,0.0958,low
HINSP-00024,21.46,0.13919,73.2209,51.1953,0.41503,pass,0.0885,low
HINSP-00025,19.9967,0.21662,82.7946,56.5326,0.62467,pass,0.1585,low
HINSP-00026,20.9816,0.21228,72.3505,52.0777,0.7242,pass,0.1237,low
HINSP-00027,24.6127,0.20757,71.0446,48.3668,0.9163,pass,0.1466,low
HINSP-00028,22.5766,0.33145,55.2199,56.7981,1.15499,pass,0.2172,low
HINSP-00029,22.1787,0.162,74.068,50.426,0.94871,pass,0.1047,low
HINSP-00030,18.3629,0.2333,76.9078,47.0431,0.98337,pass,0.1575,low
HINSP-00031,22.0879,0.23633,67.7552,50.0031,0.70264,pass,0.1241,low
HINSP-00032,20.9351,0.23611,61.5149,43.2514,0.57124,pass,0.1348,low
HINSP-00033,22.3513,0.26311,60.2432,49.3086,1.0485,pass,0.1667,low
HINSP-00034,25.5999,0.32265,64.3613,60.6838,0.60566,pass,0.2137,low
HINSP-00035,23.4495,0.21731,67.9094,48.9658,0.03073,pass,0.1087,low
HINSP-00036,21.5908,0.27913,64.0796,51.5213,0.8291,pass,0.1548,low
HINSP-00037,22.3611,0.34423,69.3609,51.2623,0.70192,pass,0.1436,low
HINSP-00038,20.3721,0.32012,45.2386,55.6833,0.78109,pass,0.2412,low
HINSP-00039,23.0544,0.22433,85.1468,49.3647,0.5743,pass,0.1366,low
HINSP-00040,21.459,0.31762,84.9642,49.558,0.57816,pass,0.1456,low
HINSP-00041,22.2193,0.22146,80.3384,58.5772,0.67286,pass,0.1357,low
HINSP-00042,22.7433,0.24207,73.057,58.8503,0.59727,pass,0.1332,low
HINSP-00043,20.9346,0.12992,74.4804,52.2039,0.97437,pass,0.1145,low
HINSP-00044,22.0211,0.22045,69.169,50.9282,0.64019,pass,0.116,low
HINSP-00045,19.2717,0.31469,69.2131,49.0066,0.80528,pass,0.1684,low
HINSP-00046,22.0316,0.3011,60.379,48.3062,0.87811,pass,0.1595,low
HINSP-00047,19.7701,0.16514,81.8454,61.0019,0.44795,pass,0.153,low
HINSP-00048,23.5424,0.19054,55.653,55.0858,0.79124,pass,0.1863,low
HINSP-00049,22.1672,0.21702,70.929,53.9816,1.14112,pass,0.1389,low
HINSP-00050,20.9471,0.17369,69.0168,57.1409,0.8683,pass,0.1449,low
HINSP-00051,20.7661,0.39152,57.3592,51.7923,0.8312,pass,0.205,low
HINSP-00052,22.3818,0.30327,57.8841,53.0082,0.54619,pass,0.1691,low
HINSP-00053,22.2189,0.23559,67.7585,50.5978,0.65087,pass,0.1249,low
HINSP-00054,23.292,0.22943,73.5333,49.528,0.80274,pass,0.1239,low
HINSP-00055,22.0891,0.25539,78.298,54.577,0.68179,pass,0.1249,low
HINSP-00056,19.5184,0.23768,64.5718,53.7937,0.87081,pass,0.1797,low
HINSP-00057,24.6733,0.36363,54.5171,59.4786,0.93617,pass,0.2487,low
HINSP-00058,25.6665,0.31914,77.8983,57.1656,1.16795,pass,0.2053,low
HINSP-00059,21.3579,0.27288,73.7349,60.6718,1.0627,pass,0.1577,low
HINSP-00060,16.9379,0.15329,77.5271,52.2607,0.34923,pass,0.1506,low
HINSP-00061,22.2854,0.19573,65.46,48.0979,0.98053,pass,0.1336,low
HINSP-00062,21.5247,0.17079,67.9703,56.0906,0.42754,pass,0.1202,low
HINSP-00063,24.1505,0.38122,86.3208,59.5761,0.85711,pass,0.2146,low
HINSP-00064,23.2682,0.29277,58.1896,49.6571,0.76854,pass,0.1792,low
HINSP-00065,22.2291,0.21711,66.3295,50.53,0.85896,pass,0.1344,low
HINSP-00066,22.3471,0.19438,69.4934,50.1381,0.71719,pass,0.1161,low
HINSP-00067,21.429,0.15346,82.6494,50.3593,0.85323,pass,0.1245,low
HINSP-00068,20.5533,0.32333,73.8534,60.3148,0.65553,pass,0.159,low
