manufacturing_batch_id,process_type,equipment_id,machining_error,surface_roughness,cleanliness_level,manufacturing_risk_score,manufacturing_risk_level
HMAN-00001,machining,HEQ-080,0.0525,1.2921,0.7055,0.5963,high
HMAN-00002,cleaning,HEQ-132,0.007,0.2531,0.1237,0.0755,low
HMAN-00003,machining,HEQ-084,0.0554,0.8415,0.5392,0.4907,medium
HMAN-00004,welding,HEQ-023,0.0155,0.8789,0.3517,0.299,medium
HMAN-00005,heat_treatment,HEQ-110,0.0297,0.8611,0.2393,0.2738,medium
HMAN-00006,grinding,HEQ-132,0.0133,0.4543,0.5919,0.2442,low
HMAN-00007,machining,HEQ-084,0.0045,0.4407,0.2956,0.1194,low
HMAN-00008,grinding,HEQ-124,0.0035,0.7352,0.3803,0.2465,low
HMAN-00009,heat_treatment,HEQ-039,0.021,0.5373,0.2156,0.2156,low
HMAN-00010,heat_treatment,HEQ-091,0.075,0.3593,0.4974,0.3378,medium
HMAN-00011,heat_treatment,HEQ-043,0.036,0.6583,0.3441,0.335,medium
HMAN-00012,cleaning,HEQ-009,0.0303,0.6532,0.1329,0.2165,low
HMAN-00013,cleaning,HEQ-109,0.0067,0.5251,0.4869,0.2324,low
HMAN-00014,grinding,HEQ-037,0.0065,0.3777,0.551,0.1881,low
HMAN-00015,machining,HEQ-023,0.0384,1.4419,0.7955,0.5208,high
HMAN-00016,machining,HEQ-062,0.0107,0.1619,0.3796,0.1245,low
HMAN-00017,heat_treatment,HEQ-124,0.0185,0.1962,0.2429,0.1834,low
HMAN-00018,grinding,HEQ-001,0.0101,0.2982,0.6279,0.2883,medium
HMAN-00019,machining,HEQ-137,0.0047,0.9673,0.2536,0.2464,low
HMAN-00020,heat_treatment,HEQ-006,0.0328,0.3536,0.1551,0.2471,low
HMAN-00021,welding,HEQ-099,0.0347,0.3961,0.3556,0.2022,low
HMAN-00022,heat_treatment,HEQ-042,0.0437,1.4803,0.4001,0.5158,high
HMAN-00023,welding,HEQ-036,0.0211,0.5011,0.2052,0.2495,low
HMAN-00024,heat_treatment,HEQ-107,0.031,0.5492,0.4647,0.327,medium
HMAN-00025,heat_treatment,HEQ-135,0.0282,0.8765,0.6273,0.4008,medium
HMAN-00026,grinding,HEQ-076,0.0633,0.853,0.5242,0.4909,medium
HMAN-00027,heat_treatment,HEQ-002,0.0144,0.3849,0.309,0.2246,low
HMAN-00028,machining,HEQ-116,0.0618,0.4433,0.8135,0.5271,high
HMAN-00029,cleaning,HEQ-030,0.0641,0.3282,0.4643,0.4417,medium
HMAN-00030,welding,HEQ-107,0.0199,0.6731,0.4862,0.2899,medium
HMAN-00031,welding,HEQ-139,0.0087,0.4446,0.7236,0.3196,medium
HMAN-00032,machining,HEQ-133,0.0151,0.7497,0.2404,0.241,low
HMAN-00033,heat_treatment,HEQ-139,0.0571,0.9874,0.4251,0.4447,medium
HMAN-00034,machining,HEQ-028,0.0368,0.2153,0.4814,0.2881,medium
HMAN-00035,cleaning,HEQ-137,0.0335,0.5622,0.3928,0.3192,medium
HMAN-00036,welding,HEQ-044,0.0112,0.7434,0.472,0.2511,medium
HMAN-00037,cleaning,HEQ-107,0.0381,0.4815,0.4117,0.2507,medium
HMAN-00038,grinding,HEQ-065,0.0524,0.7533,0.1672,0.2928,medium
HMAN-00039,cleaning,HEQ-001,0.007,0.0878,0.4145,0.2022,low
HMAN-00040,grinding,HEQ-098,0.0732,0.14,0.4227,0.3697,medium
HMAN-00041,grinding,HEQ-106,0.0213,0.4377,0.3379,0.1714,low
HMAN-00042,heat_treatment,HEQ-122,0.01,0.2112,0.3223,0.2191,low
HMAN-00043,heat_treatment,HEQ-080,0.0412,0.7295,0.5577,0.3816,medium
HMAN-00044,grinding,HEQ-133,0.0238,0.8478,0.1795,0.1732,low
HMAN-00045,heat_treatment,HEQ-128,0.01,0.2214,0.4429,0.2098,low
HMAN-00046,machining,HEQ-068,0.0117,0.3802,0.3101,0.2318,low
HMAN-00047,machining,HEQ-097,0.0224,0.6362,0.2565,0.19,low
HMAN-00048,grinding,HEQ-072,0.0025,0.1957,0.2348,0.1023,low
HMAN-00049,welding,HEQ-073,0.0429,0.3887,0.4606,0.3129,medium
HMAN-00050,cleaning,HEQ-045,0.0029,0.3617,0.0974,0.0813,low
HMAN-00051,machining,HEQ-101,0.0051,0.2781,0.3863,0.2102,low
HMAN-00052,grinding,HEQ-002,0.0374,0.4743,0.3422,0.1602,low
HMAN-00053,machining,HEQ-024,0.0067,0.0721,0.3044,0.1972,low
HMAN-00054,grinding,HEQ-134,0.0469,0.7862,0.459,0.4222,medium
HMAN-00055,heat_treatment,HEQ-036,0.0499,0.4605,0.498,0.3322,medium
HMAN-00056,welding,HEQ-108,0.0241,0.4785,0.3741,0.1366,low
HMAN-00057,heat_treatment,HEQ-096,0.1234,0.8014,0.2952,0.5873,high
HMAN-00058,machining,HEQ-015,0.0369,0.3692,0.3323,0.2822,medium
HMAN-00059,welding,HEQ-094,0.0733,0.6092,0.2451,0.3865,medium
HMAN-00060,cleaning,HEQ-037,0.0277,0.2173,0.2579,0.2185,low
HMAN-00061,grinding,HEQ-088,0.0357,1.3016,0.2697,0.3509,medium
HMAN-00062,welding,HEQ-070,0.038,0.5438,0.2034,0.2616,medium
HMAN-00063,grinding,HEQ-001,0.033,0.0962,0.6747,0.2224,low
HMAN-00064,heat_treatment,HEQ-051,0.0214,1.3931,0.481,0.4988,medium
HMAN-00065,cleaning,HEQ-132,0.0417,0.7629,0.3454,0.3984,medium
HMAN-00066,grinding,HEQ-046,0.0302,0.5035,0.3422,0.2388,low
HMAN-00067,grinding,HEQ-116,0.0387,0.6909,0.2722,0.31,medium
HMAN-00068,cleaning,HEQ-076,0.0239,0.4532,0.6389,0.297,medium
HMAN-00069,grinding,HEQ-077,0.0071,0.1338,0.4213,0.1695,low
HMAN-00070,machining,HEQ-041,0.0091,0.1194,0.3536,0.1242,low
HMAN-00071,welding,HEQ-089,0.0174,0.7359,0.257,0.273,medium
HMAN-00072,welding,HEQ-081,0.0161,0.5912,0.5125,0.2365,low
HMAN-00073,cleaning,HEQ-016,0.009,0.2348,0.4804,0.2288,low
HMAN-00074,heat_treatment,HEQ-103,0.0279,0.4603,0.296,0.1988,low
HMAN-00075,cleaning,HEQ-109,0.0374,0.3224,0.058,0.1566,low
HMAN-00076,machining,HEQ-062,0.0404,0.7797,0.401,0.2967,medium
HMAN-00077,machining,HEQ-063,0.0309,0.184,0.4464,0.2062,low
HMAN-00078,welding,HEQ-012,0.0118,0.7025,0.6651,0.3556,medium
HMAN-00079,cleaning,HEQ-119,0.0367,0.6058,0.2547,0.2455,low
HMAN-00080,welding,HEQ-137,0.02,1.377,0.529,0.4016,medium
HMAN-00081,welding,HEQ-126,0.0547,0.2685,0.4645,0.2823,medium
HMAN-00082,cleaning,HEQ-134,0.0217,0.6225,0.7506,0.4557,medium
HMAN-00083,machining,HEQ-012,0.0295,0.7503,0.5442,0.3125,medium
HMAN-00084,welding,HEQ-093,0.0365,0.3823,0.4192,0.3648,medium
HMAN-00085,heat_treatment,HEQ-010,0.0438,0.2229,0.4685,0.3857,medium
HMAN-00086,heat_treatment,HEQ-077,0.036,0.6805,0.2918,0.3409,medium
HMAN-00087,welding,HEQ-091,0.0873,0.5993,0.3267,0.4592,medium
HMAN-00088,cleaning,HEQ-083,0.0636,0.9275,0.4206,0.3867,medium
HMAN-00089,welding,HEQ-101,0.0085,0.2536,0.4355,0.156,low
HMAN-00090,machining,HEQ-083,0.0345,1.164,0.344,0.3741,medium
HMAN-00091,grinding,HEQ-056,0.0904,1.099,0.4181,0.4921,medium
HMAN-00092,welding,HEQ-070,0.0328,0.2375,0.3399,0.1915,low
HMAN-00093,heat_treatment,HEQ-039,0.0223,1.0373,0.7527,0.4413,medium
HMAN-00094,machining,HEQ-097,0.0184,0.4298,0.4258,0.2342,low
HMAN-00095,cleaning,HEQ-067,0.0867,0.3711,0.8327,0.6242,high
HMAN-00096,grinding,HEQ-058,0.0231,0.05,0.5431,0.1659,low
HMAN-00097,welding,HEQ-111,0.0496,0.3819,0.3307,0.2563,medium
HMAN-00098,grinding,HEQ-087,0.0104,0.8129,0.5339,0.3723,medium
HMAN-00099,welding,HEQ-097,0.0339,0.3614,0.4998,0.349,medium
HMAN-00100,heat_treatment,HEQ-062,0.0215,0.133,0.1984,0.1745,low
HMAN-00101,welding,HEQ-007,0.0054,0.3162,0.3597,0.1598,low
HMAN-00102,machining,HEQ-107,0.0961,0.4593,0.2878,0.4446,medium
HMAN-00103,grinding,HEQ-103,0.0192,0.2328,0.381,0.1465,low
HMAN-00104,cleaning,HEQ-140,0.0242,0.7578,0.6063,0.4114,medium
