material_batch_id,material_grade,supplier_id,hardness,aging_level,corrosion_resistance,material_risk_score,material_risk_level
HMAT-00001,316L,HSUP-064,57.26,0.1553,0.7014,0.2277,low
HMAT-00002,316L,HSUP-065,62.32,0.237,0.6262,0.352,medium
HMAT-00003,316L,HSUP-056,66.22,0.3005,0.3214,0.5575,high
HMAT-00004,35CrMo,HSUP-012,59.22,0.3596,0.8518,0.2336,low
HMAT-00005,316L,HSUP-057,61.22,0.5614,0.9482,0.3849,medium
HMAT-00006,35CrMo,HSUP-078,62.83,0.4176,0.9244,0.2826,medium
HMAT-00007,NBR,HSUP-046,60.23,0.3673,0.8464,0.2409,low
HMAT-00008,316L,HSUP-035,59.22,0.5437,0.5669,0.3979,medium
HMAT-00009,NBR,HSUP-020,52.0,0.5018,0.5531,0.4226,medium
HMAT-00010,NBR,HSUP-007,61.13,0.4017,0.8441,0.3119,medium
HMAT-00011,40Cr,HSUP-070,57.14,0.2025,0.8309,0.1806,low
HMAT-00012,FKM,HSUP-038,58.84,0.0838,0.7476,0.1139,low
HMAT-00013,40Cr,HSUP-011,67.72,0.2253,0.5122,0.4287,medium
HMAT-00014,FKM,HSUP-010,53.72,0.3278,0.6309,0.343,medium
HMAT-00015,NBR,HSUP-005,55.81,0.4251,0.5343,0.3879,medium
HMAT-00016,316L,HSUP-075,51.13,0.2215,0.4762,0.4045,medium
HMAT-00017,NBR,HSUP-023,57.46,0.1329,0.9473,0.1076,low
HMAT-00018,35CrMo,HSUP-055,60.75,0.1605,0.8659,0.1589,low
HMAT-00019,NBR,HSUP-022,62.47,0.4287,0.8303,0.3322,medium
HMAT-00020,FKM,HSUP-069,66.08,0.4356,0.4327,0.4739,medium
HMAT-00021,316L,HSUP-005,61.77,0.241,0.8159,0.1403,low
HMAT-00022,304,HSUP-026,58.23,0.1576,0.8893,0.1173,low
HMAT-00023,FKM,HSUP-076,56.27,0.6957,0.6841,0.4693,medium
HMAT-00024,NBR,HSUP-059,57.92,0.1874,0.6602,0.2336,low
HMAT-00025,NBR,HSUP-012,60.81,0.0985,0.9195,0.1345,low
HMAT-00026,FKM,HSUP-080,55.23,0.3186,0.7121,0.2565,medium
HMAT-00027,304,HSUP-001,53.59,0.1795,0.8727,0.1913,low
HMAT-00028,304,HSUP-009,64.54,0.1835,0.6613,0.2545,medium
HMAT-00029,35CrMo,HSUP-065,58.17,0.6044,0.8371,0.315,medium
HMAT-00030,NBR,HSUP-022,67.22,0.27,0.7987,0.3777,medium
HMAT-00031,NBR,HSUP-007,58.05,0.1853,0.523,0.216,low
HMAT-00032,35CrMo,HSUP-037,54.07,0.3513,0.5339,0.4548,medium
HMAT-00033,40Cr,HSUP-053,58.41,0.3643,0.4016,0.383,medium
HMAT-00034,40Cr,HSUP-008,57.52,0.2903,0.7569,0.1533,low
HMAT-00035,304,HSUP-022,58.36,0.5146,0.6935,0.3781,medium
HMAT-00036,NBR,HSUP-043,58.15,0.6251,0.9168,0.3151,medium
HMAT-00037,304,HSUP-058,63.82,0.1288,0.3982,0.32,medium
HMAT-00038,FKM,HSUP-037,55.69,0.245,0.888,0.1288,low
HMAT-00039,40Cr,HSUP-074,57.06,0.0618,0.7039,0.1671,low
HMAT-00040,35CrMo,HSUP-048,57.67,0.5759,0.815,0.3027,medium
HMAT-00041,FKM,HSUP-005,59.36,0.3427,0.4199,0.4178,medium
HMAT-00042,40Cr,HSUP-010,59.68,0.1707,0.5444,0.2509,medium
HMAT-00043,304,HSUP-009,59.4,0.6183,0.6787,0.442,medium
HMAT-00044,FKM,HSUP-071,47.87,0.1193,0.6506,0.3559,medium
HMAT-00045,304,HSUP-057,55.43,0.3499,0.9245,0.2468,low
HMAT-00046,304,HSUP-065,64.15,0.3193,0.3983,0.4019,medium
HMAT-00047,304,HSUP-029,60.21,0.1157,0.4676,0.194,low
HMAT-00048,35CrMo,HSUP-080,63.74,0.3644,0.7153,0.3476,medium
HMAT-00049,316L,HSUP-034,53.59,0.5677,0.5384,0.4924,medium
HMAT-00050,40Cr,HSUP-029,55.0,0.1395,0.8899,0.0713,low
HMAT-00051,40Cr,HSUP-020,61.95,0.1288,0.8421,0.1681,low
HMAT-00052,40Cr,HSUP-069,57.0,0.386,0.6817,0.2948,medium
HMAT-00053,304,HSUP-054,58.22,0.21,0.8939,0.1608,low
HMAT-00054,FKM,HSUP-035,54.98,0.2175,0.5943,0.2931,medium
HMAT-00055,NBR,HSUP-020,58.5,0.3788,0.8514,0.2308,low
HMAT-00056,316L,HSUP-065,58.56,0.1351,0.8857,0.1642,low
HMAT-00057,316L,HSUP-046,66.25,0.241,0.8428,0.3593,medium
HMAT-00058,NBR,HSUP-038,60.53,0.3699,0.7453,0.2937,medium
HMAT-00059,35CrMo,HSUP-016,58.69,0.2806,0.8148,0.1599,low
HMAT-00060,304,HSUP-024,53.39,0.1473,0.6106,0.2784,medium
HMAT-00061,FKM,HSUP-015,58.45,0.5223,0.4377,0.3823,medium
HMAT-00062,316L,HSUP-048,59.37,0.349,0.7787,0.2657,medium
HMAT-00063,NBR,HSUP-002,58.45,0.2766,0.3903,0.3778,medium
