case_id,PS1,PS2,PS3,PS4,PS5,PS6,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,VS1
HCASE-00001,0.03021,0.06521,0.08419,0.06117,0.0223,0.13876,0.02065,0.25837,0.30053,0.13784,0.52117,0.65253,0.13862,0.10744
HCASE-00002,0.70866,0.39464,0.15215,0.07803,0.0293,0.4798,0.14317,0.1554,0.04543,0.28891,0.07075,0.15105,0.02559,0.68609
HCASE-00003,0.62848,0.1427,0.10596,0.03626,0.10292,0.02076,0.25386,0.25925,0.0976,0.50967,0.08802,0.12171,0.11278,0.71723
HCASE-00004,0.11322,0.32274,0.8457,0.02598,0.4228,0.03699,0.08109,0.77685,0.13688,0.0288,0.03286,0.04846,0.03508,0.06796
HCASE-00005,0.17925,0.96588,0.1688,0.10009,0.08642,0.38282,0.62023,0.154,0.03353,0.09288,0.13698,0.12934,0.14313,0.03599
HCASE-00006,0.10614,0.26333,0.94496,0.43465,0.11841,0.1359,0.12366,0.62181,0.07996,0.08415,0.07262,0.06141,0.12108,0.1209
HCASE-00007,0.02969,0.30154,0.88742,0.46078,0.05156,0.14729,0.04693,0.74125,0.18986,0.11946,0.09363,0.1417,0.12991,0.05933
HCASE-00008,0.69593,0.47948,0.12541,0.0855,0.03609,0.5415,0.02178,0.22549,0.07929,0.29343,0.0536,0.09188,0.14147,0.66323
HCASE-00009,0.65279,0.45051,0.17962,0.15367,0.02045,0.46756,0.12178,0.11335,0.04763,0.23718,0.04717,0.14998,0.13364,0.68378
HCASE-00010,0.07685,0.90161,0.51431,0.10469,0.14963,0.0571,0.32703,0.5999,0.22754,0.08536,0.09424,0.09809,0.15228,0.06122
HCASE-00011,0.02443,0.12273,0.72018,0.64217,0.29637,0.0271,0.02669,0.64736,0.34685,0.15018,0.15446,0.11204,0.03217,0.02101
HCASE-00012,0.2973,0.30001,0.14967,0.53417,0.53631,0.33157,0.04373,0.1427,0.52479,0.13003,0.05494,0.04653,0.11706,0.30995
HCASE-00013,0.4539,0.43904,0.02319,0.08313,0.08812,0.54709,0.11084,0.12104,0.04094,0.14332,0.09348,0.02485,0.06728,0.52559
HCASE-00014,0.02965,0.03106,0.61127,0.15866,0.76639,0.15355,0.07937,0.80562,0.20328,0.14524,0.05426,0.05659,0.08814,0.03036
HCASE-00015,0.56145,0.74673,0.08292,0.08392,0.02592,0.90703,0.11117,0.05487,0.06043,0.07725,0.11187,0.10268,0.14959,0.67656
HCASE-00016,0.55849,0.51777,0.1088,0.31053,0.29882,0.58833,0.04892,0.18913,0.39763,0.13913,0.02684,0.02556,0.02094,0.50119
HCASE-00017,0.08814,0.75003,0.49881,0.06141,0.05376,0.04329,0.3013,0.41886,0.11458,0.14063,0.21755,0.09338,0.1854,0.1544
HCASE-00018,0.25664,0.67631,0.17528,0.13954,0.1214,0.08734,0.73154,0.38862,0.11963,0.29647,0.05303,0.03002,0.07409,0.07948
HCASE-00019,0.0923,0.85061,0.53073,0.11346,0.12816,0.12237,0.25481,0.34128,0.06172,0.07366,0.08453,0.12419,0.06668,0.21229
HCASE-00020,0.55595,0.59882,0.14041,0.08791,0.13884,0.60184,0.13929,0.14213,0.20262,0.0782,0.13122,0.03668,0.02845,0.4568
HCASE-00021,0.08317,0.12225,0.59291,0.17351,0.44321,0.03852,0.07059,0.64683,0.12675,0.20446,0.08582,0.18839,0.12351,0.10387
HCASE-00022,0.80008,0.53794,0.02916,0.13315,0.03553,0.56999,0.0662,0.19026,0.25315,0.28354,0.08854,0.14963,0.15968,0.71936
HCASE-00023,0.17438,0.89126,0.07238,0.04991,0.12703,0.40992,0.47638,0.07878,0.0443,0.09188,0.13523,0.15442,0.13896,0.11931
HCASE-00024,0.08003,0.10139,0.33637,0.57322,0.4884,0.166,0.10102,0.33717,0.46031,0.1243,0.10092,0.13366,0.07172,0.07534
HCASE-00025,0.4333,0.33472,0.44552,0.12446,0.12355,0.10334,0.4162,0.62421,0.13912,0.39705,0.14388,0.06091,0.14991,0.04793
HCASE-00026,0.18335,0.58911,0.02444,0.036,0.02397,0.73284,0.2817,0.06933,0.14148,0.07419,0.10142,0.03495,0.09708,0.08402
HCASE-00027,0.06371,0.7078,0.55857,0.09921,0.12684,0.13251,0.30341,0.39588,0.10207,0.03791,0.02604,0.11362,0.10063,0.05645
HCASE-00028,0.13447,0.13682,0.20042,0.11915,0.08175,0.09387,0.12285,0.77165,0.46003,0.08156,0.13946,0.58998,0.28878,0.06477
HCASE-00029,0.07249,0.13678,0.61347,0.12786,0.6743,0.04745,0.11661,0.86412,0.09103,0.06087,0.15252,0.15603,0.14762,0.12358
HCASE-00030,0.16021,0.13136,0.14677,0.14998,0.05259,0.13835,0.07634,0.63972,0.20066,0.12609,0.08526,0.24635,0.60521,0.0608
HCASE-00031,0.1357,0.56789,0.18063,0.04792,0.11486,0.55623,0.26442,0.14682,0.06589,0.12056,0.03239,0.03057,0.10569,0.07753
HCASE-00032,0.4933,0.62697,0.13172,0.10047,0.05234,0.70174,0.03904,0.035,0.05108,0.04615,0.0597,0.06063,0.08755,0.57344
HCASE-00033,0.73794,0.63524,0.18237,0.14522,0.16102,0.53234,0.08309,0.08092,0.12121,0.29534,0.09914,0.13902,0.13524,0.77164
HCASE-00034,0.08234,0.11533,0.10731,0.02201,0.12422,0.04289,0.10798,0.57834,0.55958,0.15645,0.37227,0.78054,0.09796,0.14994
HCASE-00035,0.11725,0.80025,0.35964,0.07682,0.08798,0.16305,0.55178,0.19804,0.03437,0.03202,0.15732,0.05022,0.10095,0.10125
HCASE-00036,0.11057,0.06218,0.2825,0.57322,0.43282,0.14331,0.03484,0.32341,0.55234,0.03517,0.02704,0.15137,0.15807,0.05377
HCASE-00037,0.0585,0.3173,0.72532,0.44279,0.09357,0.09354,0.09043,0.65948,0.05405,0.16859,0.13344,0.09111,0.19003,0.14512
HCASE-00038,0.10356,0.26602,0.64975,0.02795,0.51231,0.08899,0.06329,0.7854,0.23666,0.03906,0.06072,0.14436,0.06732,0.13591
HCASE-00039,0.18099,0.12219,0.36576,0.71001,0.58971,0.18962,0.04508,0.25276,0.49417,0.03919,0.09542,0.13108,0.15964,0.09362
HCASE-00040,0.83877,0.11061,0.15027,0.21762,0.13884,0.23253,0.15861,0.03821,0.14366,0.67053,0.0298,0.04548,0.14238,0.8822
HCASE-00041,0.13807,0.10166,0.15453,0.11426,0.11125,0.13258,0.10713,0.35072,0.16398,0.11285,0.48351,0.49631,0.2532,0.08902
HCASE-00042,0.03066,0.07333,0.67372,0.383,0.25908,0.0575,0.08171,0.55997,0.08829,0.11252,0.11171,0.07814,0.0962,0.15873
HCASE-00043,0.14179,0.06942,0.86506,0.39207,0.34675,0.14087,0.06826,0.81942,0.1229,0.13095,0.10826,0.02084,0.10236,0.07463
HCASE-00044,0.08384,0.37798,0.78334,0.40703,0.15911,0.15498,0.03396,0.71305,0.154,0.10458,0.03368,0.03274,0.12236,0.11194
HCASE-00045,0.83252,0.71165,0.04239,0.03599,0.13926,0.60474,0.04054,0.05845,0.03899,0.31679,0.13965,0.07649,0.11845,0.765
HCASE-00046,0.68233,0.11518,0.08143,0.09829,0.0461,0.13306,0.45526,0.55359,0.20606,0.5554,0.08602,0.13123,0.12908,0.30561
HCASE-00047,0.15333,0.76742,0.04609,0.03513,0.0729,1.0,0.07151,0.06077,0.10325,0.08215,0.09694,0.14867,0.06622,0.07885
HCASE-00048,0.10344,0.13539,0.1227,0.10883,0.04329,0.06632,0.13188,0.29744,0.32524,0.18753,0.72718,1.0,0.23254,0.0432
HCASE-00049,0.15855,0.04523,0.48511,0.57144,0.29663,0.15232,0.10891,0.50195,0.194,0.13316,0.13653,0.10236,0.14006,0.15212
HCASE-00050,0.0536,0.4647,0.59531,0.03455,0.32143,0.09421,0.12696,0.57413,0.10753,0.21618,0.15974,0.20656,0.1058,0.1396
HCASE-00051,0.10459,0.59496,0.87298,0.1272,0.25907,0.1335,0.12412,0.82429,0.08908,0.05545,0.02794,0.10241,0.03462,0.10957
HCASE-00052,0.5808,0.60086,0.10482,0.25717,0.28453,0.5013,0.08717,0.12664,0.29148,0.08617,0.11447,0.07344,0.09994,0.72692
HCASE-00053,0.15639,0.90794,0.30723,0.02302,0.11068,0.18527,0.56313,0.25266,0.14947,0.05869,0.07402,0.12788,0.15482,0.1031
HCASE-00054,0.09189,0.45446,0.57777,0.02945,0.22722,0.11497,0.05133,0.5287,0.05355,0.10901,0.13032,0.15546,0.1193,0.19053
HCASE-00055,0.60091,0.43868,0.14955,0.12869,0.22261,0.17031,0.7069,0.47387,0.07645,0.38844,0.12323,0.13956,0.0268,0.11435
HCASE-00056,0.60883,0.54803,0.11016,0.33173,0.31155,0.57752,0.14969,0.15717,0.29059,0.08066,0.07636,0.07674,0.03716,0.43471
HCASE-00057,0.76161,0.16317,0.14581,0.03478,0.15242,0.19489,0.03072,0.13455,0.0827,0.57693,0.11804,0.12799,0.09517,0.96938
HCASE-00058,0.19735,0.91893,0.55835,0.15268,0.15991,0.08627,0.38043,0.35602,0.10282,0.14728,0.13736,0.08152,0.02394,0.07814
HCASE-00059,0.11029,0.13975,0.76939,0.07007,0.66742,0.08284,0.15588,0.85526,0.13592,0.04198,0.13784,0.12286,0.10268,0.1479
HCASE-00060,0.54569,0.59954,0.08265,0.08356,0.09708,0.74609,0.13981,0.08875,0.12458,0.09564,0.03429,0.03022,0.0942,0.61469
HCASE-00061,0.37905,0.63291,0.18004,0.15377,0.20134,0.15161,0.71693,0.22862,0.15746,0.21675,0.08838,0.03437,0.07127,0.10135
HCASE-00062,0.04085,0.54649,0.63222,0.17626,0.15182,0.11439,0.08641,0.56576,0.07374,0.08235,0.06788,0.06855,0.13346,0.2302
HCASE-00063,0.56342,0.75309,0.02878,0.05826,0.14643,0.80287,0.03307,0.15779,0.13218,0.12531,0.11257,0.10685,0.07224,0.58016
HCASE-00064,0.6659,0.79177,0.10331,0.14246,0.04108,0.88961,0.15182,0.05149,0.08817,0.11614,0.14431,0.05897,0.09977,0.53596
HCASE-00065,0.41095,0.71234,0.13188,0.15533,0.10439,1.0,0.06218,0.14583,0.08378,0.0954,0.07267,0.04802,0.03669,0.20961
HCASE-00066,0.27242,0.09632,0.03252,0.07714,0.0918,0.14867,0.09821,0.41818,0.36324,0.33471,0.13626,0.38754,0.03855,0.39134
