case_id,component_code,component_name,subtype_id,subtype_name,fault_part,probability,is_precise_part
HCASE-00001,C001,液压泵总成,C001-S1,柱塞副磨损,柱塞-缸体配合副,0.266653,True
HCASE-00001,C001,液压泵总成,C001-S2,配流盘气蚀,配流盘,0.234703,True
HCASE-00001,C001,液压泵总成,C001-S3,轴承疲劳剥落,主轴滚动轴承,0.242493,True
HCASE-00001,C001,液压泵总成,C001-S4,轴封泄漏,主轴密封件,0.256151,True
HCASE-00001,C002,方向控制阀,C002-S1,阀芯卡滞,阀芯-阀体配合面,0.224055,True
HCASE-00001,C002,方向控制阀,C002-S2,电磁铁烧毁,电磁线圈,0.230156,True
HCASE-00001,C002,方向控制阀,C002-S3,复位弹簧断裂,复位弹簧,0.308514,True
HCASE-00001,C002,方向控制阀,C002-S4,阀体冲蚀,阀体内部流道,0.237276,True
HCASE-00001,C003,作动筒,C003-S1,活塞密封圈老化,活塞密封圈,0.249589,True
HCASE-00001,C003,作动筒,C003-S2,活塞杆拉伤,活塞杆表面,0.248236,True
HCASE-00001,C003,作动筒,C003-S3,缸筒内壁刮伤,缸筒内壁,0.246536,True
HCASE-00001,C003,作动筒,C003-S4,端盖密封渗漏,端盖O形圈,0.255639,True
HCASE-00001,C004,溢流阀,C004-S1,先导阀芯卡滞,-,0.198895,False
HCASE-00001,C004,溢流阀,C004-S2,主阀芯弹簧疲劳,-,0.177408,False
HCASE-00001,C004,溢流阀,C004-S3,阀口冲蚀泄漏,-,0.165286,False
HCASE-00001,C004,溢流阀,C004-S4,阻尼孔堵塞,-,0.458411,False
HCASE-00001,C005,蓄能器,C005-S1,气囊破裂,-,0.338847,False
HCASE-00001,C005,蓄能器,C005-S2,预充压力不足,-,0.315169,False
HCASE-00001,C005,蓄能器,C005-S3,菌形阀密封失效,-,0.345983,False
HCASE-00001,C006,冷却器,C006-S1,换热效率下降,-,0.191222,False
HCASE-00001,C006,冷却器,C006-S2,管束堵塞,-,0.582259,False
HCASE-00001,C006,冷却器,C006-S3,冷却介质泄漏,-,0.22652,False
HCASE-00001,C007,过滤器,C007-S1,滤芯堵塞,-,0.575437,False
HCASE-00001,C007,过滤器,C007-S2,旁通阀异常开启,-,0.212991,False
HCASE-00001,C007,过滤器,C007-S3,滤芯破损,-,0.211572,False
HCASE-00001,C008,液压油箱,C008-S1,油位过低,-,0.326706,False
HCASE-00001,C008,液压油箱,C008-S2,空气滤清器堵塞,-,0.293843,False
HCASE-00001,C008,液压油箱,C008-S3,回油泡沫化,-,0.379451,False
HCASE-00001,C009,单向阀,C009-S1,阀芯卡死,-,0.31918,False
HCASE-00001,C009,单向阀,C009-S2,反向泄漏,-,0.338055,False
HCASE-00001,C009,单向阀,C009-S3,弹簧断裂失效,-,0.342765,False
HCASE-00001,C010,节流阀,C010-S1,节流口堵塞,-,0.424567,False
HCASE-00001,C010,节流阀,C010-S2,阀芯卡滞,-,0.161368,False
HCASE-00001,C010,节流阀,C010-S3,节流口冲蚀,-,0.414064,False
HCASE-00001,C011,管路总成,C011-S1,管接头渗漏,-,0.173546,False
HCASE-00001,C011,管路总成,C011-S2,管路裂纹泄漏,-,0.15874,False
HCASE-00001,C011,管路总成,C011-S3,软管老化破裂,-,0.161226,False
HCASE-00001,C011,管路总成,C011-S4,管路堵塞,-,0.506488,False
HCASE-00001,C012,卸荷阀,C012-S1,卸荷压力漂移,-,0.28491,False
HCASE-00001,C012,卸荷阀,C012-S2,阀芯卡滞常开,-,0.364485,False
HCASE-00001,C012,卸荷阀,C012-S3,导阀密封失效,-,0.350605,False
HCASE-00002,C001,液压泵总成,C001-S1,柱塞副磨损,柱塞-缸体配合副,0.257326,True
HCASE-00002,C001,液压泵总成,C001-S2,配流盘气蚀,配流盘,0.231294,True
HCASE-00002,C001,液压泵总成,C001-S3,轴承疲劳剥落,主轴滚动轴承,0.248863,True
HCASE-00002,C001,液压泵总成,C001-S4,轴封泄漏,主轴密封件,0.262517,True
HCASE-00002,C002,方向控制阀,C002-S1,阀芯卡滞,阀芯-阀体配合面,0.543345,True
HCASE-00002,C002,方向控制阀,C002-S2,电磁铁烧毁,电磁线圈,0.149333,True
HCASE-00002,C002,方向控制阀,C002-S3,复位弹簧断裂,复位弹簧,0.144059,True
HCASE-00002,C002,方向控制阀,C002-S4,阀体冲蚀,阀体内部流道,0.163264,True
HCASE-00002,C003,作动筒,C003-S1,活塞密封圈老化,活塞密封圈,0.260504,True
HCASE-00002,C003,作动筒,C003-S2,活塞杆拉伤,活塞杆表面,0.256772,True
HCASE-00002,C003,作动筒,C003-S3,缸筒内壁刮伤,缸筒内壁,0.228416,True
HCASE-00002,C003,作动筒,C003-S4,端盖密封渗漏,端盖O形圈,0.254308,True
HCASE-00002,C004,溢流阀,C004-S1,先导阀芯卡滞,-,0.365293,False
HCASE-00002,C004,溢流阀,C004-S2,主阀芯弹簧疲劳,-,0.136151,False
HCASE-00002,C004,溢流阀,C004-S3,阀口冲蚀泄漏,-,0.134676,False
HCASE-00002,C004,溢流阀,C004-S4,阻尼孔堵塞,-,0.363881,False
HCASE-00002,C005,蓄能器,C005-S1,气囊破裂,-,0.337413,False
HCASE-00002,C005,蓄能器,C005-S2,预充压力不足,-,0.336491,False
HCASE-00002,C005,蓄能器,C005-S3,菌形阀密封失效,-,0.326097,False
HCASE-00002,C006,冷却器,C006-S1,换热效率下降,-,0.223064,False
HCASE-00002,C006,冷却器,C006-S2,管束堵塞,-,0.582374,False
HCASE-00002,C006,冷却器,C006-S3,冷却介质泄漏,-,0.194562,False
HCASE-00002,C007,过滤器,C007-S1,滤芯堵塞,-,0.600662,False
HCASE-00002,C007,过滤器,C007-S2,旁通阀异常开启,-,0.198411,False
HCASE-00002,C007,过滤器,C007-S3,滤芯破损,-,0.200927,False
HCASE-00002,C008,液压油箱,C008-S1,油位过低,-,0.179842,False
HCASE-00002,C008,液压油箱,C008-S2,空气滤清器堵塞,-,0.609937,False
HCASE-00002,C008,液压油箱,C008-S3,回油泡沫化,-,0.210221,False
HCASE-00002,C009,单向阀,C009-S1,阀芯卡死,-,0.584703,False
HCASE-00002,C009,单向阀,C009-S2,反向泄漏,-,0.21614,False
HCASE-00002,C009,单向阀,C009-S3,弹簧断裂失效,-,0.199157,False
HCASE-00002,C010,节流阀,C010-S1,节流口堵塞,-,0.410966,False
HCASE-00002,C010,节流阀,C010-S2,阀芯卡滞,-,0.441021,False
HCASE-00002,C010,节流阀,C010-S3,节流口冲蚀,-,0.148013,False
HCASE-00002,C011,管路总成,C011-S1,管接头渗漏,-,0.174811,False
HCASE-00002,C011,管路总成,C011-S2,管路裂纹泄漏,-,0.160329,False
HCASE-00002,C011,管路总成,C011-S3,软管老化破裂,-,0.152362,False
HCASE-00002,C011,管路总成,C011-S4,管路堵塞,-,0.512498,False
HCASE-00002,C012,卸荷阀,C012-S1,卸荷压力漂移,-,0.188205,False
HCASE-00002,C012,卸荷阀,C012-S2,阀芯卡滞常开,-,0.607483,False
HCASE-00002,C012,卸荷阀,C012-S3,导阀密封失效,-,0.204312,False
HCASE-00003,C001,液压泵总成,C001-S1,柱塞副磨损,柱塞-缸体配合副,0.203205,True
HCASE-00003,C001,液压泵总成,C001-S2,配流盘气蚀,配流盘,0.167816,True
HCASE-00003,C001,液压泵总成,C001-S3,轴承疲劳剥落,主轴滚动轴承,0.445672,True
HCASE-00003,C001,液压泵总成,C001-S4,轴封泄漏,主轴密封件,0.183307,True
HCASE-00003,C002,方向控制阀,C002-S1,阀芯卡滞,阀芯-阀体配合面,0.262563,True
HCASE-00003,C002,方向控制阀,C002-S2,电磁铁烧毁,电磁线圈,0.240484,True
HCASE-00003,C002,方向控制阀,C002-S3,复位弹簧断裂,复位弹簧,0.253358,True
HCASE-00003,C002,方向控制阀,C002-S4,阀体冲蚀,阀体内部流道,0.243595,True
HCASE-00003,C003,作动筒,C003-S1,活塞密封圈老化,活塞密封圈,0.198986,True
HCASE-00003,C003,作动筒,C003-S2,活塞杆拉伤,活塞杆表面,0.44663,True
HCASE-00003,C003,作动筒,C003-S3,缸筒内壁刮伤,缸筒内壁,0.180641,True
