pipe_design_id,component_uid,L1,L2,L3,theta1,theta2,R,max_deformation,max_equivalent_stress,allowable_stress,design_risk_score,design_risk_level
HPIP-00001,HCU-00002,254.917,319.978,119.856,108.01,86.877,39.81,1.6653,226.252,369.507,0.1377,low
HPIP-00002,HCU-00008,206.486,216.677,160.71,68.079,139.972,11.33,1.9579,343.735,384.517,0.4967,medium
HPIP-00003,HCU-00009,338.78,411.658,161.559,121.606,103.699,39.746,2.1715,233.043,344.701,0.2002,low
HPIP-00004,HCU-00015,303.034,238.164,164.886,157.53,103.179,21.04,1.7816,304.857,339.101,0.4265,medium
HPIP-00005,HCU-00016,347.045,153.44,75.138,84.784,94.742,37.187,1.6699,262.488,320.851,0.2847,medium
HPIP-00006,HCU-00022,308.867,407.111,204.353,108.832,92.662,12.842,2.4154,283.807,330.204,0.4457,medium
HPIP-00007,HCU-00032,414.651,381.829,129.591,102.45,77.176,34.997,2.389,278.079,330.726,0.3538,medium
HPIP-00008,HCU-00033,277.381,207.3,205.077,83.306,159.853,39.646,1.6882,302.92,387.163,0.29,medium
HPIP-00009,HCU-00040,283.071,176.569,100.009,66.058,116.149,14.871,1.7889,283.899,379.185,0.3637,medium
HPIP-00010,HCU-00045,162.021,375.685,84.224,148.907,120.648,32.473,1.7235,302.215,416.627,0.265,medium
HPIP-00011,HCU-00052,334.021,373.42,241.837,153.13,139.238,16.47,2.4468,372.535,429.589,0.4895,medium
HPIP-00012,HCU-00056,116.221,164.62,244.873,129.141,73.676,20.394,1.2047,243.066,377.039,0.2461,low
HPIP-00013,HCU-00057,354.779,146.99,146.157,115.402,135.283,28.877,1.7349,231.32,372.035,0.2032,low
HPIP-00014,HCU-00060,141.353,428.767,146.24,126.267,65.972,7.209,2.4604,375.606,362.296,0.619,high
HPIP-00015,HCU-00063,382.652,237.067,125.636,83.721,115.168,30.37,1.9696,244.642,374.509,0.2304,low
HPIP-00016,HCU-00064,106.498,165.676,103.055,106.219,128.764,11.216,1.2576,273.07,322.591,0.3756,medium
HPIP-00017,HCU-00074,134.544,114.736,100.569,75.167,99.629,21.847,1.1564,245.468,400.84,0.2074,low
HPIP-00018,HCU-00087,272.449,225.935,202.415,154.224,152.366,38.802,1.8273,328.882,319.082,0.4568,medium
HPIP-00019,HCU-00088,218.199,386.222,60.005,154.333,100.361,19.008,2.1007,272.706,332.636,0.4099,medium
HPIP-00020,HCU-00097,110.769,237.378,255.653,71.888,131.729,5.278,1.9146,404.339,390.13,0.5922,high
HPIP-00021,HCU-00098,357.695,418.608,129.383,69.714,141.801,13.888,2.6277,351.745,392.849,0.5289,high
HPIP-00022,HCU-00107,446.996,278.424,109.099,85.473,103.321,9.556,2.4391,305.176,339.073,0.4985,medium
HPIP-00023,HCU-00116,142.063,151.194,185.867,92.237,141.109,30.193,1.27,228.025,400.935,0.1548,low
HPIP-00024,HCU-00123,253.856,187.145,252.826,125.351,99.257,7.916,1.8626,296.517,409.13,0.3623,medium
HPIP-00025,HCU-00124,220.313,287.903,135.332,100.744,153.266,13.69,1.9664,317.039,428.8,0.3775,medium
HPIP-00026,HCU-00129,408.027,430.418,88.185,116.366,137.875,26.69,2.6392,282.538,366.289,0.3614,medium
HPIP-00027,HCU-00143,91.168,209.178,235.963,120.381,89.774,24.552,1.1388,240.618,376.925,0.1944,low
HPIP-00028,HCU-00150,362.889,346.726,193.689,81.045,118.37,24.92,2.3348,272.511,406.093,0.2949,medium
HPIP-00029,HCU-00153,215.653,180.466,190.287,77.926,111.289,13.615,1.7211,282.535,394.716,0.3293,medium
HPIP-00030,HCU-00156,418.118,234.258,61.709,89.402,159.332,25.257,2.2245,340.052,379.915,0.4488,medium
HPIP-00031,HCU-00157,249.99,142.764,88.796,98.472,73.079,38.017,1.5142,225.736,312.845,0.2229,low
HPIP-00032,HCU-00160,398.782,165.691,258.884,105.859,113.695,12.502,1.8663,274.254,417.378,0.2841,medium
HPIP-00033,HCU-00171,343.692,100.945,66.613,101.204,63.058,18.196,1.654,306.765,334.317,0.4435,medium
HPIP-00034,HCU-00172,128.406,129.716,174.81,122.704,76.015,9.276,1.4006,304.597,350.314,0.4311,medium
HPIP-00035,HCU-00182,219.189,412.971,236.732,98.88,97.95,30.541,1.8913,235.621,381.06,0.1961,low
HPIP-00036,HCU-00184,166.972,194.506,173.572,101.611,74.032,33.286,1.2029,228.092,367.925,0.1616,low
HPIP-00037,HCU-00195,122.221,196.656,57.659,107.774,122.667,19.198,1.2142,232.98,385.658,0.1881,low
HPIP-00038,HCU-00198,244.124,403.531,89.454,108.485,87.486,11.208,2.1367,304.886,407.487,0.3764,medium
HPIP-00039,HCU-00204,282.273,441.732,213.324,143.631,121.266,22.798,2.3265,276.704,356.71,0.3723,medium
HPIP-00040,HCU-00217,209.711,387.241,115.298,64.58,92.649,26.814,2.1078,322.851,339.971,0.4587,medium
HPIP-00041,HCU-00220,124.409,116.14,200.104,114.296,64.324,37.903,1.0682,267.635,340.911,0.2333,low
HPIP-00042,HCU-00221,333.223,220.257,71.104,91.857,124.547,7.128,2.1265,337.287,323.765,0.5733,high
HPIP-00043,HCU-00229,124.813,207.243,61.96,136.744,84.671,20.895,1.4379,277.812,382.659,0.3025,medium
HPIP-00044,HCU-00230,409.307,428.902,246.973,104.309,115.085,24.584,2.4411,271.689,375.056,0.3076,medium
HPIP-00045,HCU-00231,347.771,221.467,244.181,70.082,71.001,27.089,2.0721,298.271,369.89,0.3883,medium
HPIP-00046,HCU-00232,121.39,175.148,246.631,94.561,99.852,31.352,1.1015,240.679,324.085,0.2163,low
HPIP-00047,HCU-00235,94.962,247.76,113.562,152.366,65.55,29.381,1.5049,313.365,321.845,0.4464,medium
HPIP-00048,HCU-00236,333.139,130.481,187.184,98.704,112.64,16.479,1.5393,230.201,343.373,0.2588,medium
HPIP-00049,HCU-00237,297.933,287.254,258.255,157.545,137.013,38.137,1.9825,320.579,379.164,0.3503,medium
HPIP-00050,HCU-00243,292.42,434.455,229.519,77.569,125.824,28.071,2.2553,232.31,354.55,0.2772,medium
HPIP-00051,HCU-00249,125.828,375.045,197.715,129.733,146.16,17.156,1.8009,301.674,360.557,0.4109,medium
HPIP-00052,HCU-00250,84.968,123.044,208.056,66.52,129.11,6.941,1.4492,372.644,386.769,0.5153,high
HPIP-00053,HCU-00251,99.252,145.973,204.828,154.888,132.114,7.051,1.6629,379.914,357.743,0.59,high
HPIP-00054,HCU-00252,434.083,425.452,255.057,149.122,143.867,10.799,2.9443,372.155,355.31,0.6524,high
HPIP-00055,HCU-00254,111.058,391.666,128.069,109.002,121.611,10.096,1.8725,293.147,355.632,0.3972,medium
HPIP-00056,HCU-00257,378.508,86.693,74.209,89.075,92.094,30.276,1.5643,240.764,321.583,0.2676,medium
HPIP-00057,HCU-00265,311.535,240.177,120.688,132.59,76.544,18.158,1.917,291.018,402.816,0.3476,medium
HPIP-00058,HCU-00266,162.095,327.892,80.723,108.683,152.647,25.725,1.7009,252.401,363.685,0.2706,medium
HPIP-00059,HCU-00267,205.685,368.078,144.759,95.911,92.579,16.895,1.9411,276.261,348.385,0.3713,medium
HPIP-00060,HCU-00270,415.594,269.95,81.664,150.414,65.15,8.649,2.6204,407.789,358.272,0.7065,high
HPIP-00061,HCU-00285,349.825,186.938,232.895,147.645,67.726,7.833,2.4123,367.269,367.525,0.6109,high
HPIP-00062,HCU-00291,280.582,238.444,83.868,141.615,146.702,31.633,1.7721,303.918,320.317,0.4203,medium
HPIP-00063,HCU-00296,373.669,123.091,186.899,61.647,159.429,14.902,1.9451,358.416,361.633,0.5618,high
HPIP-00064,HCU-00297,194.437,391.781,118.602,147.312,122.032,34.526,1.9865,247.732,341.759,0.2719,medium
HPIP-00065,HCU-00300,275.07,447.894,217.081,132.826,136.079,6.461,2.7997,392.366,338.186,0.7043,high
HPIP-00066,HCU-00310,402.26,287.965,78.526,83.089,148.88,12.366,2.5545,331.782,339.266,0.5728,high
HPIP-00067,HCU-00314,353.259,103.85,80.607,150.158,138.996,8.428,2.058,365.546,341.761,0.6156,high
HPIP-00068,HCU-00315,141.919,201.349,225.538,115.093,149.661,22.49,1.4454,236.422,360.406,0.2478,low
HPIP-00069,HCU-00326,162.148,218.358,146.027,107.739,74.891,34.08,1.3543,235.16,344.976,0.1965,low
HPIP-00070,HCU-00329,293.72,234.727,121.804,108.233,111.106,37.832,1.6444,220.113,240.0,0.4143,medium
HPIP-00071,HCU-00342,205.971,190.779,202.004,138.243,107.354,34.903,1.2913,234.493,265.976,0.2982,medium
HPIP-00072,HCU-00344,320.281,153.814,181.742,94.795,73.58,17.343,1.7246,270.034,404.656,0.3026,medium
HPIP-00073,HCU-00350,246.107,250.79,128.085,93.246,151.165,8.686,2.0474,345.411,399.389,0.4837,medium
HPIP-00074,HCU-00353,317.675,429.454,142.33,144.347,127.565,26.247,2.3645,274.634,334.18,0.3928,medium
HPIP-00075,HCU-00360,390.252,176.837,167.366,107.412,83.67,12.572,1.9252,273.401,291.419,0.4717,medium
HPIP-00076,HCU-00365,115.468,384.093,68.889,149.437,152.815,6.412,2.2725,396.412,352.942,0.6827,high
HPIP-00077,HCU-00367,127.289,374.483,173.398,150.758,143.529,15.778,1.9317,328.78,340.135,0.5193,high
HPIP-00078,HCU-00368,270.528,399.182,87.152,122.037,82.582,15.304,2.2128,291.922,326.491,0.4626,medium
HPIP-00079,HCU-00371,408.438,368.942,249.619,105.021,144.237,37.888,2.3637,258.012,405.8,0.2189,low
HPIP-00080,HCU-00382,416.853,209.743,119.456,101.663,152.025,15.958,2.1137,317.116,378.236,0.4318,medium
HPIP-00081,HCU-00384,234.785,432.725,124.896,62.32,110.133,29.874,2.0944,263.107,400.942,0.2587,medium
HPIP-00082,HCU-00388,135.403,270.076,108.049,139.694,123.788,33.374,1.5227,272.939,376.697,0.2415,low
HPIP-00083,HCU-00390,326.966,366.842,198.382,85.2,69.488,28.232,2.1847,302.039,375.028,0.376,medium
HPIP-00084,HCU-00394,157.691,85.599,187.667,93.524,148.038,32.545,1.1382,224.911,394.157,0.1424,low
HPIP-00085,HCU-00404,241.599,135.129,237.092,87.983,122.56,12.078,1.5481,269.705,351.971,0.3557,medium
HPIP-00086,HCU-00407,196.572,342.679,80.267,146.496,100.141,19.448,1.9536,280.527,382.598,0.3406,medium
HPIP-00087,HCU-00408,241.998,125.38,232.111,147.913,79.936,31.485,1.4409,305.505,319.721,0.4033,medium
HPIP-00088,HCU-00413,225.458,411.276,235.936,106.449,146.822,5.395,2.5737,391.852,393.465,0.5909,high
HPIP-00089,HCU-00420,413.272,148.378,200.907,106.835,118.897,18.02,1.7814,242.356,332.542,0.2993,medium
HPIP-00090,HCU-00425,421.726,196.496,124.238,131.731,108.481,38.724,1.9004,260.059,337.941,0.247,low
HPIP-00091,HCU-00441,95.228,151.676,112.37,93.949,135.956,22.222,1.1795,237.121,389.302,0.202,low
HPIP-00092,HCU-00449,103.99,380.959,203.652,131.437,126.108,31.126,1.5801,272.681,339.11,0.2956,medium
HPIP-00093,HCU-00457,295.733,175.391,86.717,112.861,69.435,27.943,1.746,286.994,342.908,0.3457,medium
HPIP-00094,HCU-00468,434.846,432.341,119.059,112.401,136.345,29.97,2.6146,287.14,305.837,0.4365,medium
HPIP-00095,HCU-00473,169.971,394.202,175.446,82.889,66.19,37.702,1.9937,337.44,359.283,0.4038,medium
