h,r,t,relation,head_type,tail_type,weight
0,0,5406,designed_by,Bearing,BearingDesignSpec,1.0
0,1,6214,uses_material_batch,Bearing,MaterialBatch,1.0
0,2,6660,manufactured_in,Bearing,ManufacturingBatch,1.0
0,3,7500,assembled_in,Bearing,AssemblyRecord,1.0
0,4,12500,inspected_by,Bearing,InspectionRecord,1.0
0,5,24500,maintained_by,Bearing,MaintenanceRecord,1.0
0,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
0,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
1,0,5667,designed_by,Bearing,BearingDesignSpec,1.0
1,1,5927,uses_material_batch,Bearing,MaterialBatch,1.0
1,2,6885,manufactured_in,Bearing,ManufacturingBatch,1.0
1,3,7501,assembled_in,Bearing,AssemblyRecord,1.0
1,4,12501,inspected_by,Bearing,InspectionRecord,1.0
1,5,24503,maintained_by,Bearing,MaintenanceRecord,1.0
1,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
1,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
2,0,5546,designed_by,Bearing,BearingDesignSpec,1.0
2,1,6158,uses_material_batch,Bearing,MaterialBatch,1.0
2,2,7151,manufactured_in,Bearing,ManufacturingBatch,1.0
2,3,7502,assembled_in,Bearing,AssemblyRecord,1.0
2,4,12502,inspected_by,Bearing,InspectionRecord,1.0
2,5,24506,maintained_by,Bearing,MaintenanceRecord,1.0
2,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
2,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
3,0,5311,designed_by,Bearing,BearingDesignSpec,1.0
3,1,6221,uses_material_batch,Bearing,MaterialBatch,1.0
3,2,6331,manufactured_in,Bearing,ManufacturingBatch,1.0
3,3,7503,assembled_in,Bearing,AssemblyRecord,1.0
3,4,12503,inspected_by,Bearing,InspectionRecord,1.0
3,5,24507,maintained_by,Bearing,MaintenanceRecord,1.0
3,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
3,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
4,0,5610,designed_by,Bearing,BearingDesignSpec,1.0
4,1,6228,uses_material_batch,Bearing,MaterialBatch,1.0
4,2,7460,manufactured_in,Bearing,ManufacturingBatch,1.0
4,3,7504,assembled_in,Bearing,AssemblyRecord,1.0
4,4,12504,inspected_by,Bearing,InspectionRecord,1.0
4,5,24508,maintained_by,Bearing,MaintenanceRecord,1.0
4,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
4,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
5,0,5094,designed_by,Bearing,BearingDesignSpec,1.0
5,1,5955,uses_material_batch,Bearing,MaterialBatch,1.0
5,2,7151,manufactured_in,Bearing,ManufacturingBatch,1.0
5,3,7505,assembled_in,Bearing,AssemblyRecord,1.0
5,4,12505,inspected_by,Bearing,InspectionRecord,1.0
5,5,24509,maintained_by,Bearing,MaintenanceRecord,1.0
5,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
5,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
6,0,5760,designed_by,Bearing,BearingDesignSpec,1.0
6,1,5981,uses_material_batch,Bearing,MaterialBatch,1.0
6,2,6493,manufactured_in,Bearing,ManufacturingBatch,1.0
6,3,7506,assembled_in,Bearing,AssemblyRecord,1.0
6,4,12506,inspected_by,Bearing,InspectionRecord,1.0
6,5,24510,maintained_by,Bearing,MaintenanceRecord,1.0
6,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
6,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
7,0,5246,designed_by,Bearing,BearingDesignSpec,1.0
